stage,year,value,lower,upper
infected,1980,912.3041790907256,879.2379970484089,946.1376223011926
infected,1981,238.89803383491204,230.32202226804588,247.44293115762156
infected,1982,220.6119123458208,213.046770031686,228.0223718212979
infected,1983,683.3024684647244,661.2501363243836,704.7927661430894
infected,1984,3705.7613732466266,3602.3674509399675,3825.7464752776264
infected,1985,11470.833295758179,11154.783781127408,11837.974494992699
infected,1986,14491.262200943398,14050.771616305507,14966.76726131291
infected,1987,15778.850088210187,15290.529989110117,16322.602147218862
infected,1988,15827.560638133546,15294.85123772498,16397.346910473774
infected,1989,15798.930452627708,15233.672581169969,16381.59296304705
infected,1990,15274.481549524957,14676.720013289128,15862.90880742712
infected,1991,14558.707044750567,13921.740889211582,15136.233953763382
infected,1992,13836.240022010426,13177.563835843917,14451.090466084806
infected,1993,13032.704642977675,12361.837861851822,13670.613988299629
infected,1994,12131.116071384626,11469.425985434045,12812.084669111084
infected,1995,11625.734723385727,10972.747556212087,12344.264909960644
infected,1996,11394.152046742465,10726.992216050707,12146.439392987868
infected,1997,11388.935612104935,10704.804537593507,12140.087884167104
infected,1998,11473.480462397923,10770.882602013158,12241.062974103152
infected,1999,11768.140943749464,11037.358302927129,12575.894882803745
infected,2000,12080.312812114551,11313.523895504322,12952.061817493228
infected,2001,12455.868610318379,11632.311088329785,13365.553586360229
infected,2002,12981.845986839482,12101.67058325544,13950.681272021742
infected,2003,13497.436969483177,12561.590266303538,14510.285811557316
infected,2004,14137.568130723073,13105.804644303593,15242.658525890534
infected,2005,14815.678856779643,13681.040929737374,16028.344058970377
infected,2006,15489.411768363336,14242.751792878855,16813.54645314235
infected,2007,16158.444312288722,14792.677273629719,17595.620835714682
infected,2008,16680.72973831822,15178.493888408564,18228.43166453088
infected,2009,17403.317711491087,15747.592053222374,19053.39429023249
infected,2010,18088.666791232372,16290.13072840917,19879.11980787155
infected,2011,18796.777080777985,16863.56260143728,20725.292269001682
infected,2012,19599.603032019404,17513.031933556264,21701.737269068584
infected,2013,20287.446274273683,18037.016546765917,22555.502602498418
infected,2014,21018.861800754472,18615.026139874702,23445.362011144003
infected,2015,21870.146312766687,19325.604627059325,24428.855263165085
infected,2016,22632.664863544203,19915.658799463177,25398.557835809694
infected,2017,23292.138774965417,20347.461517910808,26330.7825504947
infected,2018,23860.204912362085,20687.78255620898,27183.24878991076
infected,2019,24476.705480144607,21026.502203056778,28127.941966613558
infected,2020,24979.18846284791,21321.255765168877,28871.224292966857
infected,2021,25229.43172402217,21301.243103806333,29445.84827250882
infected,2022,25387.155496730407,21073.29490263802,30131.458526864317
infected,2023,25652.94444880145,20856.841807129604,30950.567682047797
