year,notifications,annunique,cumunique,propunique,unique,duplicates,totalnotifications,cumpropunique,cum_unique,cumduplicates,propunique_replace,unique_replace,duplicates_replace,cumpropunique_replace,cum_unique_replace,cumduplicates_replace
1980,2,1,1,1,2,0,2,1,2,0,1,2,0,1,2,0
1981,1,1,1,1,1,0,3,1,3,0,1,1,0,1,3,0
1982,2,1,1,1,2,0,5,1,5,0,1,2,0,1,5,0
1983,20,0.9530476014684469,0.9624380811747575,0.9530476014684469,19.060952029368938,0.9390479706310622,25,0.9624380811747575,24.060952029368938,0.9390479706310622,0.9530476014684469,19.060952029368938,0.9390479706310622,0.9624380811747575,24.060952029368938,0.9390479706310622
1984,524.5,0.9041999388172625,0.9068495126038754,0.9041999388172625,474.2524980246936,50.24750197530644,549.5,0.9068495126038754,498.3134500540625,51.18654994593751,0.9041999388172625,474.2524980246936,50.24750197530644,0.9068495126038754,498.3134500540625,51.18654994593751
1985,2005.8,0.9311335363760775,0.9259113246236654,0.9311335363760775,1867.6675227205608,138.13247727943923,2555.3,0.9259113246236654,2365.9809727746233,189.31902722537674,0.9311335363760775,1867.6675227205608,138.13247727943923,0.9259113246236654,2365.9809727746233,189.31902722537674
1986,1873.5,0.899226655925141,0.9146229639730835,0.899226655925141,1684.701228580975,188.79877141902483,4428.8,0.9146229639730835,4050.6822013555984,378.1177986444016,0.899226655925141,1684.701228580975,188.79877141902483,0.9146229639730835,4050.6822013555984,378.1177986444016
1987,2340.9,0.698066261580353,0.8397396634560161,0.698066261580353,1634.1029357319421,706.7970642680577,6769.7,0.8397396634560161,5684.7851370875405,1084.9148629124593,0.698066261580353,1634.1029357319421,706.7970642680579,0.8397396634560161,5684.7851370875405,1084.9148629124593
1988,1741.6,0.8176458486445676,0.8352187429843396,0.8176458486445676,1424.0120093826554,317.58799061734453,8511.3,0.8352187429843396,7108.797146470196,1402.5028535298038,0.8176458486445676,1424.0120093826554,317.58799061734453,0.8352187429843396,7108.797146470196,1402.5028535298038
1989,1714.7,0.8603699274458438,0.8394360786047885,0.8603699274458438,1475.2760034631876,239.4239965368124,10226,0.8394360786047885,8584.073149933383,1641.9268500666162,0.8603699274458438,1475.2760034631876,239.4239965368124,0.8394360786047885,8584.073149933383,1641.9268500666162
1990,1476.9,0.8853489626215871,0.8452302152126029,0.8853489626215871,1307.571415720879,169.32858427912106,11702.9,0.8452302152126029,9891.644565654262,1811.2554343457373,0.8853489626215871,1307.571415720879,169.32858427912106,0.8452302152126029,9891.644565654262,1811.2554343457373
1991,1406,0.8427134393398245,0.8449602510349038,0.8427134393398245,1184.8548073252346,221.14519267476552,13108.9,0.8449602510349038,11076.499372979497,2032.400627020503,0.8427134393398245,1184.8548073252346,221.14519267476552,0.8449602510349038,11076.499372979497,2032.400627020503
1992,1166.8,0.935765762057361,0.8523820256861083,0.935765762057361,1091.85087209956,74.94912790043982,14275.7,0.8523820256861083,12168.350245079057,2107.349754920943,0.935765762057361,1091.85087209956,74.94912790043982,0.8523820256861083,12168.350245079057,2107.349754920943
1993,1026.7,0.9305617783757937,0.8576274036869569,0.9305617783757937,955.4070080122959,71.29299198770404,15302.4,0.8576274036869569,13123.757253091353,2178.6427469086466,0.9305617783757937,955.4070080122959,71.29299198770404,0.8576274036869569,13123.757253091353,2178.6427469086466
1994,960.3,0.8124550444795562,0.8549599895926328,0.8124550444795562,780.2000579203574,180.09994207964263,16262.7,0.8549599895926328,13903.95731101171,2358.7426889882895,0.8124550444795562,780.2000579203574,180.09994207964263,0.8549599895926328,13903.95731101171,2358.7426889882895
1995,878.1,0.9604351933130316,0.8603633342089897,0.9604351933130316,843.3581910841904,34.741808915809635,17140.8,0.8603633342089897,14747.3155020959,2393.484497904099,0.9604351933130316,843.3581910841904,34.741808915809635,0.8603633342089897,14747.3155020959,2393.484497904099
1996,844.5,0.9699458356603767,0.8655087709109499,0.9699458356603767,819.1191612408504,25.38083875914963,17985.3,0.8655087709109499,15566.434663336751,2418.865336663249,0.9699458356603767,819.1191612408504,25.38083875914963,0.8655087709109499,15566.434663336751,2418.865336663249
1997,752,0.8982585648926352,0.8668231898269751,0.8982585648926352,675.491325138268,76.50867486173192,18737.3,0.8668231898269751,16241.925988475019,2495.3740115249807,0.8982585648926352,675.491325138268,76.50867486173192,0.8668231898269751,16241.925988475019,2495.3740115249807
1998,679.4,0.8577371530509923,0.8665053109577856,0.8577371530509923,582.7472191221481,96.65278087785191,19416.7,0.8665053109577856,16824.673207597167,2592.0267924028326,0.8577371530509923,582.7472191221481,96.65278087785191,0.8665053109577856,16824.673207597167,2592.0267924028326
1999,654,1.0100995111140083,0.8711843016299022,1.0100995111140083,660.6050802685616,-6.6050802685615055,20070.7,0.8711843016299022,17485.27828786573,2585.421712134271,1.0100995111140083,660.6050802685616,-6.6050802685615055,0.8711843016299022,17485.27828786573,2585.421712134271
2000,689.3,0.9221510641967295,0.8728766179190346,0.9221510641967295,635.6400488508913,53.65995114910875,20760,0.8728766179190346,18120.91833671662,2639.08166328338,0.9221510641967295,635.6400488508913,53.65995114910875,0.8728766179190346,18120.91833671662,2639.08166328338
2001,687,0.9461900574242833,0.8752250626368202,0.9461900574242833,650.0335826657047,36.96641733429533,21447,0.8752250626368202,18770.951919382325,2676.048080617675,0.9461900574242833,650.0335826657047,36.96641733429533,0.8752250626368202,18770.951919382325,2676.048080617675
2002,770.1,0.9777201814417058,0.878777777583839,0.9777201814417058,752.9420826309427,17.157917369057394,22217.1,0.878777777583839,19523.89400201327,2693.2059979867327,0.9777201814417058,752.9420826309427,17.157917369057394,0.878777777583839,19523.89400201327,2693.2059979867327
2003,790.7,0.9241726026423838,0.8803378270803262,0.9241726026423838,730.7428983087663,59.95710169123377,23007.8,0.8803378270803262,20254.636900322035,2753.1630996779663,0.9241726026423838,730.7428983087663,59.95710169123377,0.8803378270803262,20254.636900322035,2753.1630996779663
2004,791,0.9869140076514102,0.8838800894565603,0.9869140076514102,780.6487448294472,10.351255170552758,23798.8,0.8838800894565603,21035.28564515148,2763.514354848519,0.9869140076514102,780.6487448294472,10.351255170552758,0.8838800894565603,21035.28564515148,2763.514354848519
2005,883,0.9674379811834688,0.8868694042274403,0.9674379811834688,854.247737385003,28.752262614997015,24681.8,0.8868694042274403,21889.533382536483,2792.266617463516,0.9674379811834688,854.247737385003,28.752262614997015,0.8868694042274403,21889.533382536483,2792.266617463516
