year,infections,infections_lower,infections_upper,exclude
1980,287.171391,276.739634,297.845188,yes
1981,756.701782,730.1927,782.954647,yes
1982,1083.072703,1047.425948,1117.790331,yes
1983,1285.029525,1244.793239,1323.977257,yes
1984,1381.31762,1342.245438,1420.196151,yes
1985,1390.68236,1358.759231,1426.051404,yes
1986,1331.869115,1300.77452,1361.892946,yes
1987,1223.623259,1197.183092,1246.941391,yes
1988,1084.690161,1060.972742,1113.375056,yes
1989,933.815194,908.019736,967.01487,yes
1990,789.74373,754.314605,830.622901,yes
1991,670.28822,629.268464,717.297201,yes
1992,582.998971,539.943169,631.573121,yes
1993,525.164146,484.02887,572.206756,yes
1994,493.138988,457.905004,535.903539,yes
1995,483.278741,452.560781,521.458014,yes
1996,491.938647,463.820348,527.048867,yes
1997,515.473949,488.660803,551.367647,yes
1998,550.23989099999994,528.112195,580.604036,yes
1999,592.591714,568.600904,624.407245,yes
2000,638.884664,615.911454,669.822497,yes
2001,685.473981,662.068777,715.368033,yes
2002,728.865614,703.49661,758.704332,yes
2003,767.223254,743.427207,793.967047,yes
2004,800.368339,776.219815,823.041322,yes
2005,828.273011,804.078558,847.591834,yes
2006,850.909413,826.725059,871.236815,yes
2007,868.249685,841.700185,888.778633,yes
2008,880.265969,851.725258,902.950768,yes
2009,886.930407,856.919447,912.919266,yes
2010,888.215141,858.480797,914.97535,yes
2011,884.092312,853.897163,912.825377,yes
2012,874.534063,844.708391,903.859103,yes
2013,859.503352,830.777002,887.710474,yes
2014,838.862123,809.108816,869.28851,yes
2015,812.37131,784.90734,842.335888,yes
2016,779.782659,754.605668,808.046141,yes
2017,740.847921,712.963736,769.886305,yes
2018,695.318844,649.859119,740.492845,yes
2019,642.947176,596.959706,711.564017,yes
2020,583.484666,513.509552,674.407284,yes
2021,516.683062,419.284482,626.078631,yes
2022,442.294114,314.083893,572.241859,yes
2023,360.06957,197.646595,512.723528,yes
