year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.6712019925929993,1,0,1.23463768115942,0.00375962624758069,0.0904007,0,-0,3.417842043255176e-4
1982,3.6523205977323006,2,0,0,0.003496794860698651,0.01538459999999997,0,-0,3.1789044188169577e-4
1983,18.85475250846484,20,0.9390479706310617,3.7032448301969776,0.00865272714390426,0.1466225612955144,0,-0,7.866115585367516e-4
1984,466.9924678625153,524.5,50.247132090345836,21.326378477928955,0.037976447469632905,4.750797630205139,0,-0,0.003452404315421176
1985,2228.056556484203,2005.8,138.13235273686365,87.0994169387435,0.7707877865341718,18.73335391617091,0,-0,0.07007161695765203
1986,3704.617033632002,1873.5,188.79886012424842,187.06620803798893,3.6521460217528268,17.422308668211535,0,-0,0.3320132747048027
1987,5065.021417166711,2340.9,706.7966882665517,249.582726653702,6.47474134757466,17.64146019746235,0,-0,0.5886128497795149
1988,6169.928252430897,1741.6,317.5879900006211,294.94321172938066,8.63515874804432,15.526804257767736,0,-0,0.7850144316403933
1989,7109.276755720143,1714.7,239.42368540861156,506.81439107463285,12.62694134808055,16.48647887942913,0,-0,1.1479037589164145
1990,7733.468533106607,1476.9,169.32811710417798,651.003220483968,17.491460186415377,14.885424838976409,0,-0,1.5901327442195812
1991,8162.38430823505,1406,221.14490428820682,723.6431896206998,18.449819379393524,13.846311583256094,0,-0,1.6772563072175946
1992,8450.726501258268,1166.8,74.94850883147124,772.3391785897498,18.096570717191156,13.073548838369867,0,-0,1.6451427924719244
1993,8505.189989836505,1026.7,71.29222214157264,870.7956767006536,18.466857256962772,11.681755322574105,0,-0,1.678805205178435
1994,8321.34347994309,960.3,180.0994207862822,936.5791644022067,17.67340180928533,9.794522895639844,0,-0,1.6066728917532132
1995,8321.26380129034,878.1,34.74185675182694,815.0290353895739,17.556890157055438,10.851896354293775,0,-0,1.5960809233686772
1996,8454.546458122659,844.5,25.38074178481185,657.1555763523179,17.697623878953113,10.983401151599558,0,-0,1.6088748980866479
1997,8758.266961185545,752,76.50955920073831,343.35519338942396,18.902535694274423,9.512208652677138,0,-0,1.718412335843131
1998,9060.6271748471,679.4,96.65337821715583,250.4866695988412,21.29634661567951,8.603391906769241,0,-0,1.9360315105163208
1999,9460.33395211107,654,-6.605080268561434,225.93028324547714,24.845518572773578,10.122501186342184,0,-0,2.2586835066157818
2000,9821.57346290083,689.3,53.661271449194324,234.8867074426795,29.304750746195808,10.207759572170263,0,-0,2.6640682496541666
2001,10209.478269554837,687,36.96743054951737,218.66309906897285,32.52202051036447,10.942643217138679,0,-0,2.956547319124045
2002,10716.165404238469,770.1,17.15768827174236,198.92768167346446,34.3628405525364,12.964654818623638,0,-0,3.123894595685129
2003,11207.952717611397,790.7,59.95672309066716,186.9544448755753,39.215438595991415,12.786080064838806,0,-0,3.5650398723628594
2004,11820.534491972277,791,10.3510199477345,107.86762565689988,46.23699781120042,13.96258222328584,0,-0,4.203363437381859
2005,12454.77585136487,883,28.75226261499705,154.59913404347748,49.96648220498727,15.440761743946863,0,-0,4.542407473180664
2006,13093.17907783199,866.3,-16.575810254661935,172.33254555320693,55.70448607050714,16.43555216382673,0,-0,5.064044188227926
2007,13740.908444060668,915,21.378575909351664,166.77018183288138,61.910234002990514,17.2116420260996,0,-0,5.62820309118096
2008,14275.500834963019,872.4,108.1620483683203,147.34109701149612,67.15271366585122,15.1517500519809,0,-0,6.104792151441025
2009,15003.148555515647,929.6,-1.482943766843851,113.19594041075065,71.16048816432212,19.078794639143254,0,-0,6.469135287665653
2010,15703.705692283937,910.2,-59.3452268323534,170.03690694854456,78.4182762861515,20.53290682936718,0,-0,7.1289342078319615
2011,16436.275194578328,1005.1,19.288795975836855,151.602923519733,80.37641930857323,21.26235890146687,0,-0,7.3069472098703
2012,17257.961152173204,1101.5,60.76292245479841,112.60088636660042,83.50393918951703,22.94629439420738,0,-0,7.591267199047008
2013,17968.08814400117,1083,115.79766828115206,146.58645899667746,88.67654725269307,21.812333641513277,0,-0,8.061504295699377
2014,18704.22279683945,1151.2,98.35145675852237,209.1309865299891,83.29563904209053,24.28726483111541,0,-0,7.572330822008236
2015,19550.09541486818,1083,25.457427301822065,96.42826170911019,90.29883073028469,24.942862230051013,0,-0,8.20898461184407
2016,20297.622356974145,1100,30.898824616978914,156.1827567188513,139.45000588342225,25.941470674783805,0,-0,48.898054011070144
2017,20949.954966313442,1074.1,0,219.46360765564833,175.59634290069508,26.70744010435912,0,-0,86.91132123367736
2018,21522.639717697824,978.2,0,179.4838350904208,201.0364280813791,24.9949854438197,0,-0,117.96352391551997
2019,22145.429146159557,1060.9,0,175.66020899089008,234.47953450403836,27.970828043337907,0,-0,152.4936832788501
2020,22625.115005381616,780,0,154.4028234585829,140.47293417900372,5.438383140352492,0,-0,97.90537836718441
2021,22792.05638239139,610.6,0,260.90470652246614,178.40422435325195,4.3496921145083105,0,-0,124.34233818559984
2022,22983.55340280418,727.7,0,226.6463128592799,297.7766877663,11.779978961633555,0,-0,207.5413278371182
2023,23489.996664712475,1088.1,0,264.5203280339768,299.3663896716245,17.770020386103006,0,-0,208.64930189234437
