year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.6712019925929993,1,0,1.23463768115942,0.00375962624758069,0.0904007,0,-0,3.417842043255176e-4
1982,3.6523205977323006,2,0,0,0.003496794860698651,0.01538459999999997,0,-0,3.1789044188169577e-4
1983,18.85475250846484,20,0.9390479706310617,3.7032448301969776,0.00865272714390426,0.1466225612955144,0,-0,7.866115585367516e-4
1984,447.0940164254178,503.2,49.04693198129757,21.326378477928955,0.037976447469632905,4.549449176350935,0,-0,0.003452404315421176
1985,2153.570516506234,1945.1,136.35508779073933,83.38812898995084,0.7379446800728198,18.142338458420408,0,-0,0.06708588000662002
1986,3617.7507804572742,1851.2,185.45096128701593,180.81240760824048,3.530051322769547,17.226315830934027,0,-0,0.3209137566154136
1987,4963.459888615215,2322.6,709.4219311497761,243.73048440444472,6.322920925643519,17.415555362195207,0,-0,0.5748109932403204
1988,6059.9692637471035,1732.6,323.2323425249848,289.02914326807104,8.46201043345599,15.367128641599557,0,-0,0.7692736757687271
1989,6998.582407892433,1700.5,235.32933647251303,497.782065962748,12.401907013158182,16.373546406251016,0,-0,1.1274460921052902
1990,7629.355552923914,1468.9,165.19955770833906,640.8668339848448,17.21911099472978,14.841352280606483,0,-0,1.5653737267936174
1991,8057.752360679952,1400,225.7786772342941,713.9010346306342,18.20143591844092,13.722044460592738,0,-0,1.6546759925855397
1992,8349.690376791525,1159.5,74.26433739100263,762.4387194374627,17.864594450612046,12.99433260935071,0,-0,1.6240540409647328
1993,8405.706374196267,1017.6,71.38404428997075,860.3845220664184,18.24606917583788,11.569367063032308,0,-0,1.6587335614398084
1994,8218.742970550235,951.3,185.5595586622106,925.6241731886789,17.466679335742533,9.612992459399171,0,-0,1.587879939612959
1995,8222.694326372326,873.1,36.057710213059345,804.9798895512255,17.34041719474952,10.770627218874955,0,-0,1.5764015631590484
1996,8367.055548566283,832.5,10.254222660375182,649.3712443509158,17.48798679320486,11.025324001547757,0,-0,1.589816981200443
1997,8668.12762844489,744,74.99813686141677,339.80202133941,18.706924959978316,9.420836960585621,0,-0,1.7006295418162118
1998,8964.614563738667,670.4,96.4537485393772,247.9086822689126,21.077166441992365,8.473467455941647,0,-0,1.9161060401811254
1999,9360.628164289996,647,-7.155686866397061,223.53617122604814,24.582238441444773,10.023676647575307,0,-0,2.234748949222254
2000,9720.480973032036,686.3,54.90045755967532,232.41115379596658,28.995897668192395,10.139682234126164,0,-0,2.6359906971084017
2001,10100.67435366853,678.9,39.34058530881291,216.4124212920558,32.187274551239334,10.76633821139761,0,-0,2.9261158682944872
2002,10578.833303507905,754.1,32.71546716918591,196.80768002668086,33.996630692014726,12.421272272743469,0,-0,3.090602790183159
2003,11064.601877763193,783.7,62.03272916505916,184.55854618540351,38.712876498421714,12.62727389582832,0,-0,3.519352408947432
2004,11652.505133230701,776,22.48588293242833,106.48798790146476,45.645621969840896,13.477251728758048,0,-0,4.149601997258266
2005,12288.746970609698,861,7.676396819306651,152.40150132450268,49.25620671201542,15.424057765178532,0,-0,4.477836973819588
2006,12905.34053405508,841.1,-16.454918704247266,170.03525975719214,54.96191522172588,15.964180279947167,0,-0,4.996537747429629
2007,13510.267590006364,840,-6.633382633389209,164.37764844471923,61.02205183341347,16.306626403972086,0,-0,5.547459257583047
2008,14007.282659877246,786.3,64.0725417254011,144.86797985258525,66.02555680464307,14.318851746488653,0,-0,6.002323345876647
2009,14642.39804269356,820.1,-12.978582836926488,111.06913526989493,69.82347473871248,17.070590012004693,0,-0,6.34758861261023
2010,15215.787366401146,796.2,-37.322642938831926,165.94837172186254,76.53270984786857,17.652237661513713,0,-0,6.957519077078968
2011,15813.35946114345,869,28.528609140764853,146.89258023566148,77.87910251482043,18.127613366449506,0,-0,7.079918410438227
2012,16556.558114113956,963.4,10.519443100512479,108.33344359832618,80.33923691304885,21.009223417604495,0,-0,7.303566992095355
2013,17161.507602494385,925,75.18409582367892,140.62884982303123,85.07252942583575,19.16503654702363,0,-0,7.73386631143962
2014,17644.11048319039,839,59.106719339774315,199.74317726450957,79.55652995573215,17.99069274397806,0,-0,7.232411814157474
2015,18197.738115648168,784,36.60061323714068,90.96292969655121,85.18090076307631,17.62792384545554,0,-0,7.743718251188762
2016,18701.04809458308,798,0.1476579751146634,145.3789787024837,129.8036983165908,19.359686070900608,0,-0,45.51558252659677
2017,19054.762243838224,736,0,202.20099722018975,161.78425216835774,18.300601356306036,0,-0,80.07503390151038
2018,19353.74949288155,662,0,163.24721507800245,182.85009899070198,16.915436887966308,0,-0,107.2922068457838
2019,19668.042740989113,701.6,0,157.95849046719786,210.85044546218185,18.49781596305578,0,-0,137.126513482398
2020,19889.758928067477,487,0,137.12993824007447,124.75837136188093,3.39550331968162,0,-0,86.95280428252308
2021,19941.71839170386,441.3,0,229.36156190568357,156.83531391071463,3.143660547219976,0,-0,109.30946121049809
2022,19896.57185240362,420.5,0,198.30228873291122,260.53721311595126,6.807037451376816,0,-0,181.5865424747539
2023,19961.244087986357,562,0,228.99190655641874,259.1577019404412,9.178155920402435,0,-0,180.62506498879233
