year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.82709420289855,1,0,1.17290579710145,0,0,0,-0,0
1982,3.82709420289855,2,0,0,0,0,0,-0,0
1983,19.163423076964847,20,0.9390479706310617,3.7246231553026408,0,0,0,-0,0
1984,473.28646182697037,525,50.29503212093721,20.581929129057272,0,0,0,-0,0
1985,2258.4758254149074,2008,138.2838589568363,84.5267774552265,0,0,0,-0,0
1986,3764.758864938668,1877,189.15156682851043,181.5653936477293,0,0,0,-0,0
1987,5157.909995737397,2343,707.430749117233,242.4181200840375,0,0,0,-0,0
1988,6296.486895881406,1743,317.84328581251873,286.57981404347294,0,0,0,-0,0
1989,7280.302600531889,1716,239.60520450293197,492.5790908465854,0,0,0,-0,0
1990,7956.779377301321,1479,169.56888428267263,632.9543389478956,0,0,0,-0,0
1991,8438.4866122414,1407,221.30219084886699,703.9905742110527,0,0,0,-0,0
1992,8779.769159610612,1168,75.0255899170024,751.6918627137857,0,0,0,-0,0
1993,8887.465652139861,1027,71.31305360805989,847.9904538626903,0,0,0,-0,0
1994,8757.3928471844265,963,180.6057921661874,912.4670127892477,0,0,0,-0,0
1995,8806.800355387375,879,34.77746507784521,794.8150267192069,0,0,0,-0,0
1996,8985.242845465746,845,25.395768866981662,641.1617410546484,0,0,0,-0,0
1997,9326.480730182337,753,76.61130063584568,335.1508146475629,0,0,0,-0,0
1998,9665.11118878225,680,96.73873592532524,244.63080547476324,0,0,0,-0,0
1999,10104.89827752285,654,-6.605080268561434,220.81799152796123,0,0,0,-0,0
2000,10511.486542051745,690,53.71576570425662,229.69596976684747,0,0,0,-0,0
2001,10948.500369598543,688,37.021240492093085,213.96493196110953,0,0,0,-0,0
2002,11508.468738670428,772,17.20001992700312,194.83161100111244,0,0,0,-0,0
2003,12056.217456765902,791,59.97947130987444,183.27181059465195,0,0,0,-0,0
2004,12765.853911073675,792,10.364105940083089,71.99943975214383,0,0,0,-0,0
2005,13508.576759154204,883,28.75226261499705,111.52488930447272,0,0,0,-0,0
2006,14265.353803471888,867,-16.589204075714992,126.81215975803184,0,0,0,-0,0
2007,15037.61162040437,915,21.378575909351664,121.36360715816625,0,0,0,-0,0
2008,15699.528500449525,874,108.36041984629979,103.72270010854557,0,0,0,-0,0
2009,16557.012843706696,931,-1.4851771158903024,75.00083385872301,0,0,0,-0,0
2010,17403.16173411812,912,-59.462587201830694,125.31369679040534,0,0,0,-0,0
2011,18280.678990557677,1006,19.30606780588188,109.17667575455947,0,0,0,-0,0
2012,19246.44779056007,1102,60.79050435332532,75.44069564428455,0,0,0,-0,0
2013,20109.679069280617,1083,115.79766828115206,103.9710529982993,0,0,0,-0,0
2014,21004.505737075895,1152,98.41980384452552,158.7535283601985,0,0,0,-0,0
2015,22003.328442121896,1083,25.457427301822065,58.719867652176085,0,0,0,-0,0
2016,22963.37846566134,1100,30.898824616978914,109.0511518435769,0,0,0,-0,0
2017,23872.57988713911,1075,0,165.79857852222963,0,0,0,-0,0
2018,24723.042382205906,979,0,128.53750493320203,0,0,0,-0,0
2019,25661.59907325265,1062,0,123.44330895325494,0,0,0,-0,0
2020,26339.672279899783,780,0,101.92679335286812,0,0,0,-0,0
2021,26760.704281909097,612,0,190.96799799068722,0,0,0,-0,0
2022,27339.040466243317,730,0,151.6638156657783,0,0,0,-0,0
2023,28244.94817579774,1089,0,183.09229044557677,0,0,0,-0,0
