year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.82709420289855,1,0,1.17290579710145,0,0,0,-0,0
1982,3.82709420289855,2,0,0,0,0,0,-0,0
1983,19.163423076964847,20,0.9390479706310617,3.7246231553026408,0,0,0,-0,0
1984,453.45658592212465,504,49.124908025782936,20.581929129057272,0,0,0,-0,0
1985,2183.9129496464857,1948,136.55838312496027,80.98525315067869,0,0,0,-0,0
1986,3677.51024024627,1855,185.83164065871574,175.5710687415005,0,0,0,-0,0
1987,5055.55518748954,2325,710.1549943697707,236.80005838695894,0,0,0,-0,0
1988,6185.168806997194,1734,323.49352530204527,280.89285519030034,0,0,0,-0,0
1989,7167.761298292984,1702,235.53691895102452,483.8705897531851,0,0,0,-0,0
1990,7850.155641031811,1471,165.43573380690773,623.1699234542654,0,0,0,-0,0
1991,8330.658848726425,1401,225.93994771803287,694.5568445873517,0,0,0,-0,0
1992,8675.211763984596,1161,74.36041027249163,742.0866744693376,0,0,0,-0,0
1993,8783.90783984106,1018,71.41210405580799,837.8918200877291,0,0,0,-0,0
1994,8649.986784003577,954,186.0862177691043,901.8348380683784,0,0,0,-0,0
1995,8702.824979774998,874,36.09487885261009,785.06692537597,0,0,0,-0,0
1996,8891.972579646408,833,10.260381352663696,633.5920187759252,0,0,0,-0,0
1997,9230.201818148167,745,75.09894080881114,331.67182068942856,0,0,0,-0,0
1998,9562.55630630221,671,96.54007349332056,242.1054383526363,0,0,0,-0,0
1999,9998.237064511657,647,-7.155686866397061,218.47492865695023,0,0,0,-0,0
2000,10403.009172949554,687,54.95645394652039,227.27143761558267,0,0,0,-0,0
2001,10831.848007626113,680,39.40432760346558,211.75683771997473,0,0,0,-0,0
2002,11362.294362127044,756,32.79789574314354,192.75574975592468,0,0,0,-0,0
2003,11903.293896176076,784,62.05647526528822,180.9439906856807,0,0,0,-0,0
2004,12586.692852652252,777,22.514859585691767,71.08618393813298,0,0,0,-0,0
2005,13330.056751070557,861,7.676396819306651,109.95970476238823,0,0,0,-0,0
2006,14063.392979031381,842,-16.47252591722292,125.13629795639775,0,0,0,-0,0
2007,14790.380951930685,840,-6.633382633389209,119.64540973408472,0,0,0,-0,0
2008,15411.233956068063,787,64.12958201435924,102.01741384826364,0,0,0,-0,0
2009,16171.603208006365,821,-12.992825886009811,73.6235739477065,0,0,0,-0,0
2010,16884.613548995807,798,-37.40701967494081,122.39667868549944,0,0,0,-0,0
2011,17619.161314778004,869,28.528609140764853,105.92362507703655,0,0,0,-0,0
2012,18499.924575351877,964,10.525994549402148,72.71074487672357,0,0,0,-0,0
2013,19249.802212507733,925,75.18409582367892,99.93826702046599,0,0,0,-0,0
2014,19877.73016289375,839,59.106719339774315,151.96533027420807,0,0,0,-0,0
2015,20569.559678172773,784,36.60061323714068,55.56987148383534,0,0,0,-0,0
2016,21265.466799422524,798,0.1476579751146634,101.94522077513554,0,0,0,-0,0
2017,21847.92736391532,736,0,153.53943550720385,0,0,0,-0,0
2018,22392.291227201316,662,0,117.63613671400512,0,0,0,-0,0
2019,22982.48546796676,702,0,111.80575923455741,0,0,0,-0,0
2020,23378.200001291752,487,0,91.28546667500493,0,0,0,-0,0
2021,23650.703281536455,442,0,169.4967197552981,0,0,0,-0,0
2022,23937.665108808622,421,0,134.0381727278319,0,0,0,-0,0
2023,24339.35216958522,562,0,160.31293922339995,0,0,0,-0,0
