year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.5153097822874466,1,0,1.296369565217392,0.00751925249516138,0.1808014,0,-0,6.835684086510352e-4
1982,3.4781993650287863,2,0,0,0.006341217258660313,0.03076919999999994,0,-0,5.764742962418471e-4
1983,18.56388365678928,20,0.9390479706310617,3.665542183328926,0.01648043168848954,0.2932451225910288,0,-0,0.0014982210625899594
1984,458.9671035420762,522,50.00763193738899,22.058060557456482,0.0747811833868333,9.456306436480773,0,-0,0.006798289398803033
1985,2195.006708718139,2002,137.87066017509275,89.17892444594429,1.5150832708306008,37.395726932069294,0,-0,0.13773484280278198
1986,3643.4670003442407,1871,188.54692676406128,191.9987170374552,7.195943923089116,34.79812064929296,0,-0,0.6541767202808292
1987,4971.379049623141,2338,705.9210804251346,256.1919269305244,12.735732855239108,35.239210510201445,0,-0,1.157793895930829
1988,6043.449021326105,1740,317.29622335845244,302.65770222357963,16.951023008392834,31.025079706611283,0,-0,1.5410020916720772
1989,6940.4619637315345,1714,239.32594435782366,519.9654204894921,24.736195693145685,32.95949705410905,0,-0,2.248745063013246
1990,7511.262898445183,1471,168.65167598364533,667.7432435762732,34.15222624896772,29.65191947746551,0,-0,3.10474784081525
1991,7889.425656659201,1404,220.83033116688645,741.514277524519,35.83940199515719,27.653231099419,0,-0,3.2581274541052014
1992,8127.450893785128,1165,74.8328872031745,791.0523096160844,34.98280500458999,26.106761050225458,0,-0,3.180255000417274
1993,8131.940304526018,1026,71.24361538643568,891.3985468029667,35.52084557372838,23.347581495979412,0,-0,3.2291677794298552
1994,7899.40818063356,959,179.85561234410562,958.3183727615036,33.79561154136503,19.56252724548298,0,-0,3.0723283219422775
1995,7854.367941368333,878,34.73790027115824,833.2676885382482,33.33332942388687,21.701321031932434,0,-0,3.030302674898809
1996,7946.013405145571,844,25.365714702642038,671.62576100665,33.40926401388437,21.953796499585525,0,-0,3.037205819444036
1997,8215.313990712348,751,76.40781776563095,350.7613460459097,35.53113174359426,18.999118878087266,0,-0,3.230102885781299
1998,8484.814800222377,679,96.59647307837623,255.75382817189174,39.95223600244513,17.196653237257912,0,-0,3.6320214547677425
1999,8848.137857687307,654,-6.605080268561434,230.50390089355116,46.53311953739584,20.245002372684368,0,-0,4.230283594308716
2000,9168.76480537014,689,53.637916768453344,239.5117318792413,54.816769851902414,20.40663381756889,0,-0,4.983342713809314
2001,9512.442062876788,686,36.913620606941656,222.83492066148764,60.72077110277722,21.853430122145227,0,-0,5.520070100252479
2002,9971.85267226634,769,17.133180471328238,202.5303951541236,64.03354240865202,25.892272576344162,0,-0,5.82123112805928
2003,10413.241666849492,790,59.90364391251683,190.17453666661962,72.98330352438646,25.549521313324764,0,-0,6.634845774944228
2004,10919.86275358743,790,10.33793395538591,159.23408362434768,85.91703485705492,27.889860825273868,0,-0,7.810639532459544
2005,11439.131612574529,883,28.75226261499705,211.77883440172104,92.31852050828722,30.881523487893727,0,-0,8.392592773480663
2006,11955.24854503033,866,-16.570070045639195,231.26946383428043,102.32395270309506,32.859721052462966,0,-0,9.302177518463195
2007,12475.563773437352,915,21.378575909351664,225.82370262085192,113.059209010574,34.423284052199094,0,-0,10.278109910052187
2008,12881.679441007884,872,108.11245549882543,205.54448728828626,121.93778385297654,30.2896057893796,0,-0,11.08525307754333
2009,13478.799531508908,929,-1.4819866172525145,166.80379512549354,128.42514010483842,38.13296088589622,0,-0,11.675012736803502
2010,14038.523278761691,909,-59.266986586035195,226.6299121864652,140.90165431027918,41.01167283650795,0,-0,12.809241300934481
2011,14631.687221219072,1005,19.286876883609633,206.32169164042395,143.70700210987044,42.520486908715064,0,-0,13.064272919079142
2012,15313.6521509815,1101,60.73534055627149,163.7563904762356,148.67158227719807,45.87175692786715,0,-0,13.515598388836198
2013,15877.798193611652,1083,115.79766828115206,202.05940540027902,157.37221640539096,43.62466728302559,0,-0,14.306565127762827
2014,16464.507973419,1151,98.33436998702159,270.17862198975513,147.21113749208544,48.566090723789614,0,-0,13.382830681098687
2015,17160.693092324225,1083,25.457427301822065,152.49951918569374,158.9722101471551,49.88572446010108,0,-0,14.452019104286839
2016,17715.155280483883,1100,30.898824616978914,217.94304604892187,244.81299982487636,51.88294134956773,0,-0,85.8435194191125
2017,18145.031832084096,1074,0,284.20311089836645,306.5104302822033,53.40990721921924,0,-0,151.70718266492887
2018,18480.650986924255,978,0,244.1605005001341,348.24059457985686,49.979750079852,0,-0,204.33952243942014
2019,18839.204484863694,1060,0,242.8754479095887,402.6768554028569,55.89419874811715,0,-0,261.88075211514473
2020,19143.617818001054,780,0,225.70813510510914,239.00176547682696,10.876766280704205,0,-0,166.57698805960666
2021,19096.626568939508,610,0,346.3967731635086,301.9036400321677,8.690835865869186,0,-0,210.4176885072684
2022,18975.190008670397,727,0,325.906975211754,498.9922902789939,23.537294778362867,0,-0,347.78250534596543
2023,19164.659396611718,1087,0,367.7135426822251,494.312957328492,35.50411204796245,0,-0,344.5211520774338
