year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.5153097822874466,1,0,1.296369565217392,0.00751925249516138,0.1808014,0,-0,6.835684086510352e-4
1982,3.4781993650287863,2,0,0,0.006341217258660313,0.03076919999999994,0,-0,5.764742962418471e-4
1983,18.56388365678928,20,0.9390479706310617,3.665542183328926,0.01648043168848954,0.2932451225910288,0,-0,0.0014982210625899594
1984,439.5394262614672,501,48.8324978589628,22.058060557456482,0.0747811833868333,9.059117795515972,0,-0,0.006798289398803033
1985,2117.7635776534808,1937,135.78726289170845,85.40405833681194,1.4509511171058884,36.13357626236037,0,-0,0.1319046470096263
1986,3554.9363980039925,1849,185.23056796655817,185.242208273511,6.942715886301151,34.41168752311839,0,-0,0.6311559896637415
1987,4869.123364747635,2320,708.6277793281153,249.96686009069154,12.426274281629885,34.79211955592114,0,-0,1.1296612983299905
1988,5933.448909002646,1731,322.93384792263,296.4323731318329,16.60235949877872,30.705875191746568,0,-0,1.509305408979885
1989,6829.82174326079,1699,235.12175399400155,510.50124623132854,24.285958701801956,32.71820681472434,0,-0,2.2078144274365434
1990,7408.015927352667,1463,164.53601533616995,657.0985256780704,33.60779421238309,29.563480681499605,0,-0,3.055254019307556
1991,7786.486437347074,1398,225.45613626681654,731.3217034911818,35.34676716772584,27.404883079869496,0,-0,3.2133424697932607
1992,8029.105909597975,1158,74.16826450951362,780.730860282418,34.52635826268029,25.955044694486848,0,-0,3.138759842061847
1993,8035.028406743949,1016,71.27180522662172,880.6123141778243,35.09103098094704,23.102352468633697,0,-0,3.1900937255406423
1994,7800.2321860663105,950,185.3059820551877,946.8976725711627,33.39285442208853,19.19971162920058,0,-0,3.0357140383716876
1995,7759.9188583499345,873,36.05358036422037,822.8061261196689,32.91483400976756,21.538787222718668,0,-0,2.9922576372515985
1996,7863.076438860647,832,10.248063968086669,663.5494348487541,33.00751630178505,22.037404370661132,0,-0,3.0006833001622795
1997,8130.102228746538,743,74.89733291402239,347.1002545717592,35.16027353769501,18.816349090632777,0,-0,3.196388503426822
1998,8394.13029681944,670,96.39619857008164,253.1010708515184,39.53783912995907,16.93682337554026,0,-0,3.5943490118144634
1999,8754.162542545015,647,-7.155686866397061,228.04030772420776,46.03578012146331,20.047353295150614,0,-0,4.185070920133032
2000,9073.813119721737,686,54.87645910817029,236.9678982675088,54.234565629412884,20.27049981818551,0,-0,4.930415057219357
2001,9409.49103029143,677,39.230484981685585,220.5272432603023,60.091947079861654,21.472414108457627,0,-0,5.462904279987428
2002,9841.338002320808,753,32.667745363210436,200.33845399188417,63.340521702981064,24.80630691254632,0,-0,5.7582292457255555
2003,10277.415140698615,783,61.97732159785801,187.68547393165576,72.02807563604111,25.231990456638655,0,-0,6.548006876003743
2004,10761.085009437846,775,22.45690627916489,157.157092316985,84.79636439197118,26.919768272648167,0,-0,7.708760399270114
2005,11283.88479958395,861,7.676396819306651,208.69951313700216,90.97618436722928,30.848115530357063,0,-0,8.270562215202668
2006,11780.347162525502,841,-16.452962347249972,228.1307774008763,100.93525746924601,31.92456453557467,0,-0,9.17593249720419
2007,12260.442127062339,840,-6.633382633389209,222.51997558899825,111.40518969961022,32.61325280794408,0,-0,10.127744518146391
2008,12631.931903973433,786,64.04809588727619,202.00019307347011,119.83515688603944,28.626777242121612,0,-0,10.89410517145814
2009,13141.266794171626,820,-12.97700027591723,163.56983505131458,125.93525805324948,34.13701697315992,0,-0,11.44865982302269
2010,13579.953987446528,795,-37.266391781425995,220.95470242880202,137.37323021260465,35.25126586511781,0,-0,12.488475473873162
2011,14045.57516825249,869,28.528609140764853,199.5821799382472,139.0128033821277,36.25522673289994,0,-0,12.637527580193439
2012,14656.146271841197,963,10.515075467919365,157.19668257944343,142.71613742734442,42.00100093658613,0,-0,12.974194311576774
2013,15123.633011656966,925,75.18409582367892,193.3837971471712,150.61529411933444,38.330073094046405,0,-0,13.69229946539405
2014,15469.98036618865,839,59.106719339774315,257.34565188089255,140.2188887596923,35.98138548795543,0,-0,12.747171705426585
2015,15889.466417701231,784,36.60061323714068,143.2878875861111,149.36959997325755,35.255847690910414,0,-0,13.579054543023425
2016,16220.123299180357,798,0.1476579751146634,201.798301067153,226.6777873368062,38.71937214180131,0,-0,79.48441893628271
2017,16378.660539188606,736,0,260.2184077867263,280.6431494924138,36.60120271261207,0,-0,138.9041851023058
2018,16472.097264326316,662,0,220.39211569191104,314.34028539444915,33.83087377593254,0,-0,184.4476054793875
2019,16560.74226644017,701,0,216.47873789263082,358.9122662931067,36.96399370040577,0,-0,233.41846688992254
2020,16632.444579044528,487,0,198.41040824827664,210.09627250800273,6.791006639362753,0,-0,146.43073538436553
2021,16503.90223623674,441,0,300.958010485581,262.3012854093409,6.283046912866084,0,-0,182.81604740651034
2022,16197.400592012917,420,0,281.6590059812389,431.24475130047597,13.597886942107847,0,-0,300.5645236336651
2023,16005.210355177187,562,0,313.88373719634654,421.9501877985779,18.35631184080487,0,-0,294.0864945262815
