year,pldhiv,pldhiv_lower,pldhiv_upper,ecdc_diagnosed,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pldhiv_exclude,pldhiv_lower_exclude,pldhiv_upper_exclude,ecdc_diagnosed_exclude,undiagnosed_exclude,undiagnosed_lower_exclude,undiagnosed_upper_exclude,percent_exclude,percent_lower_exclude,percent_upper_exclude,undiag_adjusted,undiag_adjusted_lower,undiag_adjusted_upper,percent_adjusted,percent_adjusted_lower,percent_adjusted_upper,undiag_adjusted_exclude,undiag_adjusted_lower_exclude,undiag_adjusted_upper_exclude,percent_adjusted_exclude,percent_adjusted_lower_exclude,percent_adjusted_upper_exclude,final_undiagnosed,final_undiagnosed_lower,final_undiagnosed_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,undiag_percent_lower,undiag_percent_upper,adjusted,method
1980,2,2,2,0.629491,286.514144,286.514144,286.514144,99.780775,99.780775,99.780775,2,2,2,0.629491,286.514144,276.106712,297.163068,99.780775,99.780632,99.78093,910.3041790907256,910.3041790907256,910.3041790907256,99.78077487247803,99.78077487247803,99.78077487247803,910.3041790907256,877.2379970484089,944.1376223011926,99.78077487247803,92.71780091724858,107.38134901706374,910.3041790907256,877.2379970484089,944.1376223011926,912.3041790907256,879.2379970484089,946.1376223011926,99.78077487247803,92.71780091724858,107.38134901706374,yes,exclude
1981,1.6712019925929993,1.5153097822874466,1.82709420289855,7.291108,1034.971511,1034.971511,1034.971511,99.300454,99.300454,99.300454,1.6712019925929993,1.5153097822874466,1.82709420289855,7.291108,1034.971511,998.236275,1071.571002,99.300454,99.295345,99.305841,237.22683184231903,237.22683184231903,237.22683184231903,99.30045385231263,99.23569788912276,99.36529438331415,237.22683184231903,228.80671248575842,245.61583695472302,99.30045385231263,92.46847805080687,106.64018774065747,237.22683184231903,228.80671248575842,245.61583695472302,238.89803383491204,230.32202226804588,247.44293115762156,99.30045385231263,92.46847805080687,106.64018774065747,yes,exclude
1982,3.6523205977323006,3.4781993650287863,3.82709420289855,35.16545,2088.940845,2088.940845,2088.940845,98.344459,98.344459,98.344459,3.6523205977323006,3.4781993650287863,3.82709420289855,35.16545,2088.940845,2017.778258,2158.607826,98.344459,98.338958,98.350334,216.95959174808849,216.95959174808849,216.95959174808849,98.34445902812034,98.26661006010656,98.42214016595551,216.95959174808849,209.56857066665722,224.19527761839936,98.34445902812034,91.90702166316251,105.2328920945646,216.95959174808849,209.56857066665722,224.19527761839936,220.6119123458208,213.046770031686,228.0223718212979,98.34445902812034,91.90702166316251,105.2328920945646,yes,exclude
1983,18.85475250846484,18.56388365678928,19.163423076964847,93.892077,3308.787855,3308.787855,3308.787855,97.240643,97.240643,97.240643,18.85475250846484,18.56388365678928,19.163423076964847,93.892077,3308.787855,3200.421066,3414.267201,97.240643,97.227438,97.254699,664.4477159562596,664.4477159562596,664.4477159562596,97.24064329068963,97.19673627552851,97.28205440913356,664.4477159562596,642.6862526675943,685.6293430661245,97.24064329068963,91.18797518093623,103.68683579821321,664.4477159562596,642.6862526675943,685.6293430661245,683.3024684647244,661.2501363243836,704.7927661430894,97.24064329068963,91.18797518093623,103.68683579821321,yes,exclude
1984,466.9924678625153,458.9671035420762,473.28646182697037,577.283776,4181.869304,4181.869304,4181.869304,87.870031,87.870031,87.870031,447.0940164254178,439.5394262614672,453.45658592212465,577.283776,4181.869304,4058.730279,4328.666241,87.870031,86.995451,88.561723,3382.914171060056,3382.914171060056,3382.914171060056,87.8700313628071,87.72661210128388,88.05358440990327,3238.7689053841113,3143.4003473978914,3352.460013450656,87.39820455699278,82.16436629324167,93.06268888743976,3238.7689053841113,3143.4003473978914,3352.460013450656,3705.7613732466266,3602.3674509399675,3825.7464752776264,87.39820455699278,82.16436629324167,93.06268888743976,yes,exclude
1985,2228.056556484203,2195.006708718139,2258.4758254149074,1145.67706,4917.060853,4917.060853,4917.060853,81.102976,81.102976,81.102976,2153.570516506234,2117.7635776534808,2183.9129496464857,1145.67706,4917.060853,4766.507981,5096.193409,81.102976,79.799005,82.138908,9562.458789354183,9562.458789354183,9562.458789354183,81.10297564499058,80.89427021622161,81.33095343483663,9242.776739273975,8959.777072409268,9579.498669577792,80.57633217189094,75.68674080349751,85.87794131684727,9242.776739273975,8959.777072409268,9579.498669577792,11470.833295758179,11154.783781127408,11837.974494992699,80.57633217189094,75.68674080349751,85.87794131684727,yes,exclude
1986,3704.617033632002,3643.4670003442407,3764.758864938668,1810.648493,5398.609247,5398.609247,5398.609247,74.884398,74.884398,74.884398,3617.7507804572742,3554.9363980039925,3677.51024024627,1810.648493,5398.609247,5208.753052,5606.494436,74.884398,73.069991,76.193754,11045.644613893282,11045.644613893282,11045.644613893282,74.88439783538661,74.58030856269703,75.1961378194391,10786.645167311395,10407.304615961266,11202.008396374242,74.43551167412575,69.53608908493389,79.72521867321963,10786.645167311395,10407.304615961266,11202.008396374242,14491.262200943398,14050.771616305507,14966.76726131291,74.43551167412575,69.53608908493389,79.72521867321963,yes,exclude
1987,5065.021417166711,4971.379049623141,5157.909995737397,2590.978455,5592.731659,5592.731659,5592.731659,68.339807,68.339807,68.339807,4963.459888615215,4869.123364747635,5055.55518748954,2590.978455,5592.731659,5386.705717,5828.087155,68.339807,66.295588,69.81133,10933.05333305109,10933.05333305109,10933.05333305109,68.33980653142181,67.94530016416523,68.74217872095329,10713.828671043475,10319.150939486975,11164.692151481464,67.89993320900331,63.220011407588046,73.01703838541198,10713.828671043475,10319.150939486975,11164.692151481464,15778.850088210187,15290.529989110117,16322.602147218862,67.89993320900331,63.220011407588046,73.01703838541198,yes,exclude
1988,6169.928252430897,6043.449021326105,6296.486895881406,3459.621764,5513.51892,5513.51892,5513.51892,61.444695,61.444695,61.444695,6059.9692637471035,5933.448909002646,6185.168806997194,3459.621764,5513.51892,5281.603101,5766.556499,61.444695,59.15995,63.14253,9832.871474218271,9832.871474218271,9832.871474218271,61.444694941996744,60.962570541220515,61.934196131766335,9657.63238570265,9251.402216398876,10100.860014592366,61.01781952699894,56.420116418282035,66.0409170223143,9657.63238570265,9251.402216398876,10100.860014592366,15827.560638133546,15294.85123772498,16397.346910473774,61.01781952699894,56.420116418282035,66.0409170223143,yes,exclude
1989,7109.276755720143,6940.4619637315345,7280.302600531889,4194.424014,5207.924979,5207.924979,5207.924979,55.389616,55.389616,55.389616,6998.582407892433,6829.82174326079,7167.761298292984,4194.424014,5207.924979,4970.326809,5454.629042,55.389616,53.125246,57.321701,8827.095180449016,8827.095180449016,8827.095180449016,55.38961575322585,54.801497426677855,55.98264271207602,8689.653696907566,8293.210617438433,9101.290362515161,55.00153141988346,50.62517812611955,59.74455807698716,8689.653696907566,8293.210617438433,9101.290362515161,15798.930452627708,15233.672581169969,16381.59296304705,55.00153141988346,50.62517812611955,59.74455807698716,yes,exclude
