"indicator","breakpoints","breakpoints_low","breakpoints_up","rate_ratio","rate_ratio_low","rate_ratio_up","valueStart","valueStart_low","valueStart_up","valueEnd","valueEnd_low","valueEnd_up"
"Living with HIV",2011.67,2011.31,2012.03,1.0465844947819363,1.0460874851960362,1.0470827875857314,15285.313608724178,14393.29366234704,16492.022593721565,28868.079129432488,25383.116395745517,33707.258264581615
"Living with HIV",2017.68,2017.51,2017.85,1.0368279456452758,1.0361687327237752,1.037486540472488,0,0,0,0,0,0
"Living with HIV",0,0,0,1.016260790721857,1.0154684163712642,1.0170527663122717,0,0,0,0,0,0
"Diagnosed",2014.53,2014.36,2014.71,1.0494266841986222,1.0492220659461313,1.0496313423555625,12925.850558333395,12143.239089926356,14029.838942927528,26849.288559266235,25228.01759,31308.9352925964
"Diagnosed",2019.49,2019.35,2019.62,1.0364371351821686,1.0358765743374156,1.036999036370904,0,0,0,0,0,0
"Diagnosed",0,0,0,1.016116491935031,1.0149557342841193,1.0172795943695476,0,0,0,0,0,0
"Receiving ART",2016.29,2015.88,2016.7,1.086739577153791,1.0851942464990274,1.0882881966670637,7598,6005.453499,9330.411339,25430,25228.01759,25480
"Receiving ART",0,0,0,1.0335226337534718,1.0289861529925508,1.038080152530502,0,0,0,0,0,0
"Suppressed virus",2014.64,2014.38,2014.91,1.1309522760483788,1.1286474850913177,1.1332617735780641,4565.506936,3463.833636,5831.35862,25029.87762,24649.14606,25262.83523
"Suppressed virus",0,0,0,1.044299159857473,1.040996054999697,1.0476127455443058,0,0,0,0,0,0
"Undiagnosed",2008.42,2008.32,2008.53,1.0415385552533967,1.0404174220679787,1.042661939211124,2359.463050390783,0,0,2018.790570166253,0,0
"Undiagnosed",2015.54,2015.41,2015.67,0.999752590610752,0.999139800184165,1.000365766876397,0,0,0,0,0,0
"Undiagnosed",2020.79,2020.73,2020.85,0.967076186673479,0.9660429346015542,0.9681115119934872,0,0,0,0,0,0
"Undiagnosed",0,0,0,0.8721446376179031,0.8675605251235825,0.8767442046682054,0,0,0,0,0,0
"Diagnosed but untreated",2010.53,2010.31,2010.74,1.0034990072838454,0.9982744904063993,1.0087507660430017,5327.850558333395,0,0,1419.288559266235,0,0
"Diagnosed but untreated",2015.05,2014.63,2015.46,0.8471648289636267,0.8395661572756266,0.8548322740424092,0,0,0,0,0,0
"Diagnosed but untreated",0,0,0,0.9267161158140713,0.9213889676650153,0.93207499574158,0,0,0,0,0,0
"On ART but unsuppressed",0,0,0,0.9029814727225965,0.8936578139678443,0.9123901045099024,3032.4930640000002,0,0,400.1223800000007,0,0
"Diagnoses excluding OS",2015.73,2015.3,2016.15,1.0122646008700242,1.0095214432486623,1.0150156184390071,895,0,0,559,0,0
"Diagnoses excluding OS",2019,2017.96,2020.04,0.9222628585652011,0.9087302350245867,0.9359960711524998,0,0,0,0,0,0
"Diagnoses excluding OS",0,0,0,0.8609231803185299,0.8374698633416746,0.8850421570712201,0,0,0,0,0,0
"Diagnoses including OS",2016.42,2015.82,2017.02,1.0293494492225692,1.0243671425453518,1.0343559887932432,918,0,0,898,0,0
"Diagnoses including OS",0,0,0,0.9145903672623608,0.9002434970254378,0.9291705244649151,0,0,0,0,0,0
"Annual new infections",2009.36,2009.22,2009.49,1.0457632483349355,1.044047514084481,1.047480754653968,869,851,900,226,108,321
"Annual new infections",2014.76,2014.64,2014.87,0.9773914909354205,0.9753420977864917,0.9794451902783385,0,0,0,0,0,0
"Annual new infections",2019.63,2019.58,2019.69,0.8941068427888418,0.8919100431270113,0.8963090532303708,0,0,0,0,0,0
"Annual new infections",0,0,0,0.6822016434201366,0.676528976043218,0.6879218758775005,0,0,0,0,0,0
"Percentage diagnosed",2008.39,2007.69,2009.1,1.0013784491889108,1.0003326353108597,1.0024253363814315,0.8456385579786793,0,0,0.9300684135887659,0,0
"Percentage diagnosed",0,0,0,1.006358328894134,1.006178408110325,1.0065381811968321,0,0,0,0,0,0
"Percentage diagnosed treated",2009,2008.45,2009.55,1.0208177277664903,1.017105654431199,1.0245443733910384,0.5878143156390981,0,0,0.9471386902437529,0,0
"Percentage diagnosed treated",2014.65,2014.36,2014.94,1.0500974821469444,1.0475624613393504,1.0526386375104548,0,0,0,0,0,0
"Percentage diagnosed treated",0,0,0,1.0091628239923596,1.0077604574607528,1.010567445181608,0,0,0,0,0,0
"Percentage treated suppressed",2008.51,2008.19,2008.83,1.0752519433207488,1.069310448416086,1.0812275326542802,0.6008827238747039,0,0,0.9842657341722375,0,0
"Percentage treated suppressed",0,0,0,1.012691866678336,1.0116361796978532,1.0137486553147532,0,0,0,0,0,0
"Percentage suppressed overall",2014.52,2014.16,2014.88,1.0823406884057942,1.0801090410772205,1.0845769466112425,0.29868585315738705,0,0,0.8670434048547676,0,0
"Percentage suppressed overall",0,0,0,1.020731982678702,1.0175024029973687,1.0239707891605137,0,0,0,0,0,0
"Yearly diagnosed fraction",2008.62,2006.94,2010.29,0.9709532093081932,0.9528669469764806,0.9893817756063759,0.26888213607008693,0.2605877219775252,0.27831765854325835,0.215939892914902,0.18819878709008772,0.25598444147964655
"Yearly diagnosed fraction",2015.52,2014.46,2016.57,1.0172572144646514,1.0061565742757672,1.028481044805639,0,0,0,0,0,0
"Yearly diagnosed fraction",0,0,0,0.952113527238212,0.940604053497335,0.9637638338675923,0,0,0,0,0,0
"Case detection rate",2009.34,2009.06,2009.62,0.9579458754978071,0.9526430495529187,0.9632772560027408,0.9983248680081096,0.9645898676749818,1.0192904966357033,2.460389749543696,1.7299594796507154,5.165147269542904
"Case detection rate",2020.92,2020.83,2021,1.0491643603194236,1.0467906922371908,1.0515444623971246,0,0,0,0,0,0
"Case detection rate",0,0,0,1.623476763723886,1.5598973222113726,1.689664519402285,0,0,0,0,0,0
"Incidence prevalence ratio",2009.44,2009.3,2009.59,0.9953426791104154,0.9937818134414798,0.9969060960157614,0.06003397920747551,0.05464314153636489,0.06581741138059216,0.007880231647389897,0.003243391292821638,0.012618055779258813
"Incidence prevalence ratio",2014.76,2014.63,2014.88,0.936996248956369,0.9351203887132145,0.938874933317308,0,0,0,0,0,0
"Incidence prevalence ratio",2019.63,2019.57,2019.69,0.8656280206958397,0.8635961831913408,0.867664638633283,0,0,0,0,0,0
"Incidence prevalence ratio",0,0,0,0.6718904315778802,0.6665500822672399,0.677273567367014,0,0,0,0,0,0
"Incidence mortality ratio",2014.97,2013.87,2016.07,1.00454791049595,0.9848262985605308,1.0246642520954925,7.591914357232458,4.960251843024175,11.717710287537074,0.8847696387963584,0.27595072139336857,1.9033772092694177
"Incidence mortality ratio",2020,2019.01,2020.99,0.8134506646108502,0.7612754718191912,0.8691930730250024,0,0,0,0,0,0
"Incidence mortality ratio",0,0,0,0.5866305758194283,0.5037173407908064,0.6831915533143286,0,0,0,0,0,0
