"year","stage","value","lower","upper"
2004,"infected",15285.313608724178,14393.29366234704,16492.022593721565
2005,"infected",16070.52286943162,15082.039447343326,17403.922358960433
2006,"infected",16942.6892828715,15838.924965749988,18426.56581163417
2007,"infected",17793.025005713178,16586.525517896145,19443.23346531119
2008,"infected",18481.252282233367,17173.417867875432,20295.517876392336
2009,"infected",19374.732946327935,17949.5476914037,21361.228604469965
2010,"infected",20193.027753201888,18648.94050208893,22371.66183131218
2011,"infected",21062.32563263309,19384.557011447847,23445.059541100425
2012,"infected",22042.172120452695,20233.639361474656,24623.619429575483
2013,"infected",22901.28803773675,20973.45063062099,25688.53690086987
2014,"infected",23760.536826231204,21712.040374804354,26747.742510285887
2015,"infected",24700.693098251708,22507.561731673875,27879.03467481712
2016,"infected",25584.72046074179,23231.99293906104,28973.472304744908
2017,"infected",26361.83252612614,23858.835128977666,29960.917888133477
2018,"infected",27040.16198098281,24380.248800436064,30863.323649037593
2019,"infected",27813.858197484493,24982.180551217112,31876.57277324116
2020,"infected",28447.706923718964,25464.991147862263,32700.79977100411
2021,"infected",28676.879958833397,25471.02474600717,33188.89066460833
2022,"infected",28868.079129432488,25383.116395745517,33707.258264581615
2004,"pldhiv",12925.850558333395,12143.239089926356,14029.838942927528
2005,"pldhiv",13595.584150780076,12711.016503468543,14832.700492557524
2006,"pldhiv",14341.490326054198,13348.61685407635,15723.717270439369
2007,"pldhiv",15088.43264500071,13983.789567883376,16625.902419673454
2008,"pldhiv",15715.652650866805,14500.610708380796,17412.031597124656
2009,"pldhiv",16550.79870522446,15225.352662914604,18410.904206239167
2010,"pldhiv",17347.18032147738,15902.442716272431,19389.440816387763
2011,"pldhiv",18216.821159781935,16652.814158657555,20444.071114197697
2012,"pldhiv",19183.004784236953,17501.544359875028,21596.75717072222
2013,"pldhiv",20044.421603433744,18238.36938983817,22657.37094170837
2014,"pldhiv",20917.659195736887,18978.122932487207,23732.65296412398
2015,"pldhiv",21884.295218778447,19817.792574143397,24899.512618635483
2016,"pldhiv",22804.418363831133,20597.55387285695,26045.011425004024
2017,"pldhiv",23642.09828363237,21468.50976,27112.713979288063
2018,"pldhiv",24413.02785953224,22160.71957,28101.36081644422
2019,"pldhiv",25295.99308594567,23229.5471,29206.859720839577
2020,"pldhiv",26003.77012737362,24137.12586,30048.945884331373
2021,"pldhiv",26362.12997138646,24448.3018,30579.790320089018
2022,"pldhiv",26849.288559266235,25228.01759,31308.9352925964
2004,"numART",7598,6005.453499,9330.411339
2005,"numART",8453,6421.892249,9872.076115
2006,"numART",9463,6948.381835,10500.05595
2007,"numART",9933,7605.758903,11220.29505
2008,"numART",10200,8413.905079,12036.20021
2009,"numART",10900,9388.631216,12947.63708
2010,"numART",12400,10537.59093,13950.0151
2011,"numART",13523.43099,11855.84195,15033.65154
2012,"numART",14824.47701,13322.27032,16183.61536
2013,"numART",16511,15657.03809,17374.22419
2014,"numART",17934,17793.57085,17990
2015,"numART",19406,19249.29605,19480
2016,"numART",20456,20306.49222,20535
2017,"numART",21632,21468.50976,21751
2018,"numART",22316,22160.71957,22431
2019,"numART",23408,23229.5471,23549
2020,"numART",24276,24137.12586,24333
2021,"numART",24736,24448.3018,24620
2022,"numART",25430,25228.01759,25480
2004,"suppressed",4565.506936,3463.833636,5831.35862
2005,"suppressed",5589.112934,4096.511431,6757.432147
2006,"suppressed",6932.197674,4940.971751,7917.247224
2007,"suppressed",7601.84718,5665.204123,8816.542539
2008,"suppressed",8194.040524,6599.189216,9898.031651
2009,"suppressed",8974.227405,7560.411787,10893.8074
2010,"suppressed",10558.55449,8798.202038,12109.41937
2011,"suppressed",11694.61467,10071.65797,13229.96721
2012,"suppressed",13244.20281,11720.5812,14678.99988
2013,"suppressed",15249.33418,14276.62494,16250.77833
2014,"suppressed",16747.88889,16417.38379,17001.74962
2015,"suppressed",18384.63158,18036.83043,18656.47078
2016,"suppressed",19389.41383,19040.4162,19673.91256
2017,"suppressed",20935.74251,20602.56802,21228.16074
2018,"suppressed",21715.03052,21391.92966,22001.0335
2019,"suppressed",22679.56433,22313.26794,23012.23292
2020,"suppressed",23435.11446,23063.66234,23729.45486
2021,"suppressed",24165.84397,23670.6801,24268.11833
2022,"suppressed",25029.87762,24649.14606,25262.83523
2004,"undiagnosed",2359.463050390783,0,0
2005,"undiagnosed",2474.9387186515432,0,0
2006,"undiagnosed",2601.198956817301,0,0
2007,"undiagnosed",2704.592360712468,0,0
2008,"undiagnosed",2765.599631366562,0,0
2009,"undiagnosed",2823.934241103474,0,0
2010,"undiagnosed",2845.847431724509,0,0
2011,"undiagnosed",2845.504472851153,0,0
2012,"undiagnosed",2859.1673362157417,0,0
2013,"undiagnosed",2856.866434303007,0,0
2014,"undiagnosed",2842.8776304943167,0,0
2015,"undiagnosed",2816.397879473261,0,0
2016,"undiagnosed",2780.3020969106583,0,0
2017,"undiagnosed",2719.7342424937706,0,0
2018,"undiagnosed",2627.13412145057,0,0
2019,"undiagnosed",2517.865111538824,0,0
2020,"undiagnosed",2443.936796345344,0,0
2021,"undiagnosed",2314.749987446936,0,0
2022,"undiagnosed",2018.790570166253,0,0
2004,"noART",5327.850558333395,0,0
2005,"noART",5142.584150780076,0,0
2006,"noART",4878.490326054198,0,0
2007,"noART",5155.43264500071,0,0
2008,"noART",5515.652650866805,0,0
2009,"noART",5650.798705224461,0,0
2010,"noART",4947.180321477379,0,0
2011,"noART",4693.390169781935,0,0
2012,"noART",4358.527774236953,0,0
2013,"noART",3533.421603433744,0,0
2014,"noART",2983.6591957368873,0,0
2015,"noART",2478.2952187784467,0,0
2016,"noART",2348.4183638311333,0,0
2017,"noART",2010.098283632371,0,0
