"step","indicator","break0","break1","break1ci","break2","break2ci","break3","break3ci"
"Number infected","breakpoint1",NA,2019,"(NA, NA)",2014,"(2012, 2015)",2007,"(2005, 2008)"
"Number infected","breakpoint2",NA,NA,"NA",2019,"(2018, 2020)",2015,"(2014, 2016)"
"Number infected","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2018, 2020)"
"Number infected","rss",146809.26172907095,146809.26172907095,"NA",69711.89707948241,"NA",12771.94708476859,"NA"
"Number infected","bic",285.97304866330404,241.68285772804188,"NA",236.3656736379009,"NA",212.95371321206545,"NA"
"Number diagnosed","breakpoint1",NA,2019,"(2018, 2020)",2008,"(2007, 2009)",2009,"(2008, 2010)"
"Number diagnosed","breakpoint2",NA,NA,"NA",2019,"(2018, 2020)",2015,"(2014, 2016)"
"Number diagnosed","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2018, 2020)"
"Number diagnosed","rss",485817.613474471,485817.613474471,"NA",40384.58902057415,"NA",17729.1872234624,"NA"
"Number diagnosed","bic",271.4875629930269,264.42014001169144,"NA",225.99314156458766,"NA",219.18497497421905,"NA"
"Number on ART","breakpoint1",NA,2012,"(2011, 2013)",2008,"(2007, 2009)",2006,"(2005, 2007)"
"Number on ART","breakpoint2",NA,NA,"NA",2016,"(2015, 2017)",2009,"(2008, 2010)"
"Number on ART","breakpoint3",NA,NA,"NA",NA,"NA",2016,"(2015, 2017)"
"Number on ART","rss",3163136.3059532153,3163136.3059532153,"NA",542171.5076581445,"NA",338074.5560094502,"NA"
"Number on ART","bic",310.0673877329768,300.01637484222476,"NA",275.3386901081622,"NA",275.1980042785739,"NA"
"Number suppressed","breakpoint1",NA,2012,"(2011, 2013)",2008,"(2007, 2009)",2007,"(2005, 2008)"
"Number suppressed","breakpoint2",NA,NA,"NA",2016,"(2015, 2017)",2012,"(2011, 2013)"
"Number suppressed","breakpoint3",NA,NA,"NA",NA,"NA",2017,"(2016, 2018)"
"Number suppressed","rss",2937286.978318669,2937286.978318669,"NA",614520.5181985276,"NA",350835.04947039287,"NA"
"Number suppressed","bic",310.5186133154968,298.60889895154435,"NA",277.718628822644,"NA",275.9019489093652,"NA"
"Number undiagnosed","breakpoint1",NA,2013,"(2012, 2014)",2008,"(2007, 2009)",2008,"(2007, 2009)"
"Number undiagnosed","breakpoint2",NA,NA,"NA",2016,"(2015, 2017)",2015,"(2014, 2016)"
"Number undiagnosed","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2018, 2020)"
"Number undiagnosed","rss",103653.6327657248,103653.6327657248,"NA",26185.939873352792,"NA",8279.923433859778,"NA"
"Number undiagnosed","bic",266.73134658060684,235.06935067978753,"NA",217.7618545634236,"NA",204.71878241175762,"NA"
"Diagnosed but untreated","breakpoint1",NA,2012,"(2011, 2014)",2008,"(2007, 2009)",2006,"(2005, 2007)"
"Diagnosed but untreated","breakpoint2",NA,NA,"NA",2014,"(2013, 2015)",2009,"(2008, 2010)"
"Diagnosed but untreated","breakpoint3",NA,NA,"NA",NA,"NA",2014,"(2013, 2015)"
"Diagnosed but untreated","rss",1342962.0272995213,1342962.0272995213,"NA",359907.6794877015,"NA",159703.0739373678,"NA"
"Diagnosed but untreated","bic",297.2416962639108,283.7393333434564,"NA",267.5537282719749,"NA",260.94895146973136,"NA"
"On ART but unsuppressed","breakpoint1",NA,2018,"(2017, 2022)",2008,"(2007, 2009)",2008,"(2007, 2009)"
"On ART but unsuppressed","breakpoint2",NA,NA,"NA",2018,"(2017, 2020)",2016,"(2014, 2017)"
"On ART but unsuppressed","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2018, 2020)"
"On ART but unsuppressed","rss",206860.41839384404,206860.41839384404,"NA",110285.2680400016,"NA",81629.96360528919,"NA"
"On ART but unsuppressed","bic",259.5180244642049,248.1981487455696,"NA",245.08096150991912,"NA",248.19767322492893,"NA"
"Diagnoses excluding OS","breakpoint1",NA,2015,"(2014, 2016)",2011,"(2008, 2012)",2007,"(2005, 2008)"
"Diagnoses excluding OS","breakpoint2",NA,NA,"NA",2019,"(2018, 2020)",2013,"(2012, 2014)"
