"stage","coeff","pvalue","lower","upper","model"
"infected",1.0373296583948683,1.7791960203181204e-207,1.0348801818064421,1.039785165573546,"negative-binomial"
"pldhiv",1.0430443531487308,0,1.0408773504153868,1.0452161878056494,"negative-binomial"
"numART",1.0733435481935618,1.2186775742033783e-167,1.067844455961215,1.0788707128065473,"negative-binomial"
"suppressed",1.0981804312667631,5.6839941073620385e-95,1.088013431026057,1.1084420217469997,"negative-binomial"
"undiagnosed",0.9943557839648334,0.10836504627505701,0.9872632158187153,1.0014985604791706,"negative-binomial"
"noART",0.9193316733361866,3.2458343622054043e-46,0.9083515540770851,0.9304564091435106,"negative-binomial"
"unsuppressed",0.9029814727225965,5.88281679541635e-85,0.8936578139678443,0.9123901045099024,"negative-binomial"
"diagnoses_exclude",0.980817036442288,0.0031826814536302438,0.967524699518374,0.9942729011861634,"negative-binomial"
"diagnoses_include",1.0013367564627147,0.8257586488286873,0.988858633854906,1.0139623863431266,"negative-binomial"
"infections",0.9486347476719522,1.7500491598677504e-6,0.9258683298811615,0.9718976981913515,"negative-binomial"
"propdiagnosed",0.00485989490494284,5.475988841789965e-15,0.004457755224423567,0.005262034585462113,"linear"
"proptreated",0.022027582428995312,2.094414673199031e-12,0.01940853952183759,0.024646625336153034,"linear"
"propsuppressed",0.018857670352340178,1.1538650597559643e-8,0.014957851515840614,0.02275748918883974,"linear"
"propoverall",0.032658565389697185,1.618932688645882e-14,0.02977339658609019,0.03554373419330418,"linear"
"propdiagnosed",1.0056794961947848,2.2785520898113553e-77,1.0050801857537668,1.006279338844195,"negative-binomial-offset"
"proptreated",1.028861158535818,1.2365730478247992e-64,1.0254498677856283,1.0322843259886934,"negative-binomial-offset"
"propsuppressed",1.0228728573977839,1.518769130642087e-20,1.0178888504939163,1.0278831229241898,"negative-binomial-offset"
"propoverall",1.058480117229819,1.2999741700195349e-61,1.0511413241939893,1.0658710840037464,"negative-binomial-offset"
"ydf",0.9891641350664883,6.952273925637287e-4,0.9828722808133212,0.9954908549715731,"negative-binomial-offset"
"cdr",1.0366576702266022,1.732038929854639e-7,1.023514498818263,1.0499626272905485,"negative-binomial-offset"
"ipr",0.9120665688010032,7.988305290589698e-20,0.8922236706592841,0.9323011910061877,"negative-binomial-offset"
"imr",0.9266653467805999,4.833695263950307e-6,0.8918912357592507,0.9625595111256013,"negative-binomial-offset"
