"indicator","valueStart","valueEnd","breakpoints","rate_ratios"
"People living with HIV","15,580 (14,410‒16,840)","30,010 (26,700‒35,220)","2014·7 (2014·4‒2014·9)","1·042 (1·042‒1·042)"
"People living with HIV","0 (0‒0)","0 (0‒0)","2019·5 (2019·3‒2019·6)","1·033 (1·032‒1·033)"
"People living with HIV","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·016 (1·015‒1·016)"
"Diagnosed","12,930 (11,890‒14,040)","27,650 (26,700‒32,390)","2013·6 (2013·3‒2013·8)","1·05 (1·05‒1·05)"
"Diagnosed","0 (0‒0)","0 (0‒0)","2018·6 (2018·5‒2018·8)","1·039 (1·039‒1·04)"
"Diagnosed","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·021 (1·021‒1·022)"
"Receiving ART","7,600 (6,000‒9,300)","26,700 (26,700‒27,070)","2009 (2008·4‒2009·6)","1·074 (1·072‒1·077)"
"Receiving ART","0 (0‒0)","0 (0‒0)","2015·4 (2015·2‒2015·6)","1·097 (1·095‒1·1)"
"Receiving ART","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·036 (1·035‒1·037)"
"Suppressed virus","4,570 (3,460‒5,810)","26,040 (25,780‒26,650)","2014·6 (2014·4‒2014·8)","1·131 (1·129‒1·133)"
"Suppressed virus","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·043 (1·041‒1·045)"
"Undiagnosed","2,650 (0‒0)","2,360 (0‒0)","2019·6 (2018·5‒2020·7)","0·997 (0·996‒0·998)"
"Undiagnosed","0 (0‒0)","0 (0‒0)","2021·7 (2021·3‒2022)","1·029 (1‒1·059)"
"Undiagnosed","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·888 (0·862‒0·915)"
"Diagnosed but untreated","5,330 (0‒0)","950 (0‒0)","2009·5 (2009·3‒2009·7)","1·016 (1·011‒1·021)"
"Diagnosed but untreated","0 (0‒0)","0 (0‒0)","2016·3 (2015·9‒2016·7)","0·874 (0·871‒0·878)"
"Diagnosed but untreated","0 (0‒0)","0 (0‒0)","2021·7 (2021·6‒2021·9)","0·94 (0·933‒0·947)"
"Diagnosed but untreated","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·666 (0·642‒0·691)"
"On ART but unsuppressed","3,030 (0‒0)","670 (0‒0)","0 (0‒0)","0·908 (0·898‒0·918)"
"Diagnoses excluding OS","890 (0‒0)","720 (0‒0)","2009·4 (2003·1‒2015·7)","1·006 (0·994‒1·017)"
"Diagnoses excluding OS","0 (0‒0)","0 (0‒0)","2016·7 (2016·3‒2017·1)","1·015 (1·006‒1·024)"
"Diagnoses excluding OS","0 (0‒0)","0 (0‒0)","2021·6 (2021·3‒2021·8)","0·859 (0·846‒0·873)"
"Diagnoses excluding OS","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·259 (1·168‒1·356)"
"Diagnoses including OS","920 (0‒0)","1,300 (0‒0)","2014 (2013·7‒2014·3)","1·034 (1·032‒1·036)"
"Diagnoses including OS","0 (0‒0)","0 (0‒0)","2019·2 (2019‒2019·3)","0·983 (0·98‒0·987)"
"Diagnoses including OS","0 (0‒0)","0 (0‒0)","2021·3 (2021·2‒2021·3)","0·77 (0·751‒0·79)"
"Diagnoses including OS","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·453 (1·421‒1·485)"
"Diagnoses overseas","20 (0‒0)","580 (0‒0)","2008·2 (2007·6‒2008·9)","1·604 (1·466‒1·755)"
"Diagnoses overseas","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·078 (1·063‒1·093)"
"Annual new infections","910 (890‒930)","380 (230‒540)","2012·5 (2012·3‒2012·7)","1·01 (1·009‒1·012)"
"Annual new infections","0 (0‒0)","0 (0‒0)","2019·5 (2019·4‒2019·6)","0·951 (0·95‒0·953)"
"Annual new infections","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·841 (0·836‒0·846)"
"Percentage diagnosed","83% (0‒0%)","92·1% (0‒0%)","2014·3 (2013·1‒2015·4)","1·007 (1·007‒1·008)"
"Percentage diagnosed","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","1·003 (1·003‒1·004)"
"Percentage diagnosed treated","58·8% (0‒0%)","96·6% (0‒0%)","2009 (2008·5‒2009·5)","1·021 (1·018‒1·025)"
"Percentage diagnosed treated","0% (0‒0%)","0% (0‒0%)","2014·5 (2014·3‒2014·8)","1·05 (1·048‒1·052)"
"Percentage diagnosed treated","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","1·01 (1·009‒1·011)"
"Percentage treated suppressed","60·1% (0‒0%)","97·5% (0‒0%)","2010·3 (2009·9‒2010·6)","1·058 (1·054‒1·061)"
"Percentage treated suppressed","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","1·009 (1·008‒1·01)"
"Percentage suppressed overall","29·3% (0‒0%)","86·8% (0‒0%)","2014·4 (2014·1‒2014·6)","1·086 (1·084‒1·088)"
"Percentage suppressed overall","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","1·017 (1·015‒1·019)"
"Yearly diagnosed fraction","0·25 (0·24‒0·26)","0·25 (0·22‒0·29)","2017·5 (2017·2‒2017·9)","1·017 (1·014‒1·02)"
"Yearly diagnosed fraction","0 (0‒0)","0 (0‒0)","2021·7 (2021·4‒2021·9)","0·86 (0·841‒0·879)"
"Yearly diagnosed fraction","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·371 (1·275‒1·474)"
"Case detection rate","0·95 (0·93‒0·98)","2·04 (1·46‒3·38)","2019 (2017·5‒2020·5)","1·026 (1·02‒1·031)"
"Case detection rate","0 (0‒0)","0 (0‒0)","2021·4 (2021·1‒2021·8)","0·871 (0·757‒1·001)"
"Case detection rate","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·665 (1·449‒1·913)"
"Incidence prevalence ratio","6·1% (5·6‒6·7%)","1·3% (0·7‒2·1%)","2012·4 (2012·3‒2012·6)","0·968 (0·967‒0·969)"
"Incidence prevalence ratio","0% (0‒0%)","0% (0‒0%)","2019·5 (2019·3‒2019·6)","0·918 (0·916‒0·919)"
"Incidence prevalence ratio","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","0·827 (0·822‒0·831)"
"Incidence mortality ratio","7·93 (5·27‒12·1)","1·28 (0·54‒2·63)","2015 (2013·4‒2016·6)","1·004 (0·981‒1·028)"
"Incidence mortality ratio","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·835 (0·8‒0·872)"
