"indicator","breakpoints","breakpoints_low","breakpoints_up","rate_ratio","rate_ratio_low","rate_ratio_up","valueStart","valueStart_low","valueStart_up","valueEnd","valueEnd_low","valueEnd_up"
"People living with HIV",2014.67,2014.43,2014.92,1.0419396247981025,1.041734382909007,1.042144907123833,15584.49433438034,14408.0804000278,16837.59288676126,30011.964502683015,26701,35221.08675035641
"People living with HIV",2019.48,2019.33,2019.63,1.0327446841450416,1.0321665090260634,1.0333231831327614,0,0,0,0,0,0
"People living with HIV",0,0,0,1.0156380137577858,1.0148775857013383,1.0163979951896978,0,0,0,0,0,0
"Diagnosed",2013.57,2013.34,2013.8,1.049806645427135,1.04955892029153,1.0500544290327714,12932.537622134962,11892.414776659873,14036.786692028076,27651.21261336437,26701,32387.57732648027
"Diagnosed",2018.64,2018.51,2018.78,1.0393889578969162,1.038794597416302,1.039982618465838,0,0,0,0,0,0
"Diagnosed",0,0,0,1.0211505685958497,1.020609502189757,1.021690900151733,0,0,0,0,0,0
"Receiving ART",2009,2008.42,2009.58,1.0743824162697186,1.0718434322753165,1.076928491540373,7598,5997.35752315243,9302.61887656503,26701,26701,27067.6142266336
"Receiving ART",2015.4,2015.22,2015.58,1.0972664044641616,1.0948912026263526,1.0996456592990165,0,0,0,0,0,0
"Receiving ART",0,0,0,1.036020571188798,1.0346466836668111,1.0373952456739566,0,0,0,0,0,0
"Suppressed virus",2014.63,2014.41,2014.84,1.131348178623905,1.1293474635029594,1.1333411046787707,4565.50693568726,3459.16402760851,5813.98877303818,26035.3950143816,25782.7583924751,26648.9756604091
"Suppressed virus",0,0,0,1.0429455818322373,1.0405568473438207,1.0453408453137638,0,0,0,0,0,0
"Undiagnosed",2019.61,2018.53,2020.69,0.9970423823940485,0.9959382712249001,0.9981477175963615,2651.956712245379,0,0,2360.751889318646,0,0
"Undiagnosed",2021.66,2021.32,2022,1.0291816789359958,0.9998907659664715,1.0593293296473307,0,0,0,0,0,0
"Undiagnosed",0,0,0,0.88763025695677,0.861500192126714,0.9145428097997679,0,0,0,0,0,0
"Diagnosed but untreated",2009.53,2009.35,2009.7,1.016037237939606,1.0109575995103892,1.0211413782820888,5334.537622134962,0,0,950.2126133643687,0,0
"Diagnosed but untreated",2016.31,2015.88,2016.73,0.8741965876132253,0.8705848951025824,0.8778232635251019,0,0,0,0,0,0
