"year","indicator","value"
2004,"infected","15,580 (14,410‒16,840)"
2005,"infected","16,300 (14,990‒17,680)"
2006,"infected","17,090 (15,630‒18,600)"
2007,"infected","17,860 (16,250‒19,510)"
2008,"infected","18,470 (16,720‒20,270)"
2009,"infected","19,300 (17,390‒21,260)"
2010,"infected","20,070 (17,990‒22,220)"
2011,"infected","20,910 (18,640‒23,240)"
2012,"infected","21,860 (19,410‒24,390)"
2013,"infected","22,680 (20,030‒25,420)"
2014,"infected","23,540 (20,710‒26,480)"
2015,"infected","24,500 (21,500‒27,640)"
2016,"infected","25,440 (22,240‒28,800)"
2017,"infected","26,280 (22,890‒29,880)"
2018,"infected","27,040 (23,470‒30,870)"
2019,"infected","27,920 (24,150‒31,980)"
2020,"infected","28,640 (24,690‒32,890)"
2021,"infected","29,060 (24,870‒33,550)"
2022,"infected","29,480 (25,340‒34,310)"
2023,"infected","30,010 (26,700‒35,220)"
2004,"pldhiv","12,930 (11,890‒14,040)"
2005,"pldhiv","13,600 (12,430‒14,840)"
2006,"pldhiv","14,350 (13,030‒15,730)"
2007,"pldhiv","15,100 (13,620‒16,630)"
2008,"pldhiv","15,730 (14,090‒17,420)"
2009,"pldhiv","16,560 (14,770‒18,420)"
2010,"pldhiv","17,350 (15,390‒19,400)"
2011,"pldhiv","18,220 (16,090‒20,450)"
2012,"pldhiv","19,190 (16,890‒21,610)"
2013,"pldhiv","20,050 (17,560‒22,660)"
2014,"pldhiv","20,920 (18,250‒23,740)"
2015,"pldhiv","21,880 (19,310‒24,900)"
2016,"pldhiv","22,800 (20,360‒26,050)"
2017,"pldhiv","23,640 (21,500‒27,110)"
2018,"pldhiv","24,410 (22,190‒28,100)"
2019,"pldhiv","25,300 (23,260‒29,210)"
2020,"pldhiv","26,000 (24,180‒30,040)"
2021,"pldhiv","26,350 (24,470‒30,560)"
2022,"pldhiv","26,820 (25,340‒31,290)"
2023,"pldhiv","27,650 (26,700‒32,390)"
2004,"numART","7,600 (6,000‒9,300)"
2005,"numART","8,450 (6,380‒9,830)"
2006,"numART","9,460 (6,890‒10,460)"
2007,"numART","9,930 (7,530‒11,180)"
2008,"numART","10,200 (8,350‒12,010)"
2009,"numART","10,900 (9,370‒12,940)"
2010,"numART","12,400 (10,580‒13,970)"
2011,"numART","13,620 (11,990‒15,100)"
2012,"numART","14,980 (13,560‒16,310)"
2013,"numART","16,510 (15,660‒17,370)"
2014,"numART","17,900 (17,850‒18,210)"
2015,"numART","19,380 (19,310‒19,700)"
2016,"numART","20,430 (20,360‒20,820)"
2017,"numART","21,610 (21,500‒21,990)"
2018,"numART","22,300 (22,190‒22,720)"
2019,"numART","23,390 (23,260‒23,800)"
2020,"numART","24,240 (24,180‒24,640)"
2021,"numART","24,700 (24,470‒24,890)"
2022,"numART","25,400 (25,340‒25,780)"
2023,"numART","26,700 (26,700‒27,070)"
2004,"suppressed","4,570 (3,460‒5,810)"
2005,"suppressed","5,590 (4,070‒6,730)"
2006,"suppressed","6,930 (4,900‒7,880)"
2007,"suppressed","7,600 (5,610‒8,780)"
2008,"suppressed","8,190 (6,550‒9,870)"
2009,"suppressed","8,970 (7,540‒10,890)"
2010,"suppressed","10,560 (8,840‒12,130)"
2011,"suppressed","11,770 (10,190‒13,280)"
2012,"suppressed","13,380 (11,930‒14,790)"
2013,"suppressed","15,250 (14,280‒16,250)"
2014,"suppressed","16,720 (16,470‒17,210)"
2015,"suppressed","18,360 (18,090‒18,870)"
2016,"suppressed","19,370 (19,090‒19,940)"
2017,"suppressed","20,910 (20,630‒21,460)"
2018,"suppressed","21,690 (21,420‒22,280)"
2019,"suppressed","22,660 (22,340‒23,260)"
2020,"suppressed","23,400 (23,100‒24,030)"
2021,"suppressed","24,130 (23,690‒24,540)"
2022,"suppressed","25,000 (24,760‒25,560)"
2023,"suppressed","26,040 (25,780‒26,650)"
2004,"undiagnosed","2,650 (0‒0)"
2005,"undiagnosed","2,700 (0‒0)"
2006,"undiagnosed","2,740 (0‒0)"
2007,"undiagnosed","2,760 (0‒0)"
2008,"undiagnosed","2,750 (0‒0)"
2009,"undiagnosed","2,740 (0‒0)"
2010,"undiagnosed","2,710 (0‒0)"
2011,"undiagnosed","2,680 (0‒0)"
2012,"undiagnosed","2,660 (0‒0)"
2013,"undiagnosed","2,630 (0‒0)"
2014,"undiagnosed","2,620 (0‒0)"
2015,"undiagnosed","2,620 (0‒0)"
2016,"undiagnosed","2,630 (0‒0)"
2017,"undiagnosed","2,640 (0‒0)"
2018,"undiagnosed","2,630 (0‒0)"
2019,"undiagnosed","2,620 (0‒0)"
2020,"undiagnosed","2,640 (0‒0)"
2021,"undiagnosed","2,720 (0‒0)"
2022,"undiagnosed","2,660 (0‒0)"
2023,"undiagnosed","2,360 (0‒0)"
2004,"noART","5,330 (0‒0)"
2005,"noART","5,150 (0‒0)"
2006,"noART","4,890 (0‒0)"
2007,"noART","5,160 (0‒0)"
2008,"noART","5,530 (0‒0)"
2009,"noART","5,660 (0‒0)"
2010,"noART","4,950 (0‒0)"
2011,"noART","4,610 (0‒0)"
2012,"noART","4,210 (0‒0)"
2013,"noART","3,540 (0‒0)"
2014,"noART","3,010 (0‒0)"
2015,"noART","2,500 (0‒0)"
2016,"noART","2,370 (0‒0)"
2017,"noART","2,040 (0‒0)"
2018,"noART","2,120 (0‒0)"
2019,"noART","1,910 (0‒0)"
2020,"noART","1,760 (0‒0)"
2021,"noART","1,640 (0‒0)"
2022,"noART","1,430 (0‒0)"
2023,"noART","950 (0‒0)"
2004,"unsuppressed","3,030 (0‒0)"
2005,"unsuppressed","2,860 (0‒0)"
2006,"unsuppressed","2,530 (0‒0)"
2007,"unsuppressed","2,330 (0‒0)"
2008,"unsuppressed","2,010 (0‒0)"
2009,"unsuppressed","1,930 (0‒0)"
2010,"unsuppressed","1,840 (0‒0)"
2011,"unsuppressed","1,840 (0‒0)"
