"year","stage","value","lower","upper"
2004,"infected",15584.49433438034,14408.0804000278,16837.59288676126
2005,"infected",16300.323301525488,14988.388281211455,17681.2792786012
2006,"infected",17090.13407082189,15632.054556633497,18599.56106664981
2007,"infected",17857.42299418614,16251.964942477787,19509.09727045849
2008,"infected",18471.63495402243,16719.166560667498,20269.378134668845
2009,"infected",19301.069138543025,17391.440337414224,21264.16389947948
2010,"infected",20069.37849314972,17987.321515862204,22215.527522649536
2011,"infected",20909.321898060476,18636.521069202685,23241.553753142416
2012,"infected",21855.727565194185,19413.429439288135,24385.13357974709
2013,"infected",22682.32336348711,20033.24936448383,25423.911502691622
2014,"infected",23539.75999444296,20710.965164771795,26475.880967276757
2015,"infected",24503.88947415943,21497.991152043734,27641.226809114185
2016,"infected",25435.54545721,22240.53977801773,28797.073323928704
2017,"infected",26280.18855059299,22894.44700386948,29875.019815757492
2018,"infected",27044.113518946488,23471.384400257513,30867.44342972504
2019,"infected",27918.641536321215,24152.282348527795,31983.04388314576
2020,"infected",28636.36115620842,24688.57044776844,32885.81578827273
2021,"infected",29061.936545673223,24867.829603901693,33551.89507365918
2022,"infected",29482.35392252003,25345,34311.158775650234
2023,"infected",30011.964502683015,26701,35221.08675035641
2004,"pldhiv",12932.537622134962,11892.414776659873,14036.786692028076
2005,"pldhiv",13603.861167574498,12427.291357976432,14841.35771369947
2006,"pldhiv",14348.717229000982,13026.747763467756,15731.392553275551
2007,"pldhiv",15095.920336468344,13620.746322260396,16633.933614898368
2008,"pldhiv",15725.47939698131,14094.829273009716,17422.534482863124
2009,"pldhiv",16560.60964972156,14771.17473609521,18421.506906412105
2010,"pldhiv",17354.502704261256,15394.890138316292,19397.60751036881
2011,"pldhiv",18224.840486327073,16093.596570034557,20453.03089376292
2012,"pldhiv",19192.289628940987,16888.04312437966,21607.10431625239
2013,"pldhiv",20049.682376484703,17563.725959895906,22663.69974617219
2014,"pldhiv",20919.323915686506,18250.399587184264,23735.349744472227
2015,"pldhiv",21883.546396277536,19309,24899.761041306778
2016,"pldhiv",22804.233429367898,20358,26045.829465661413
2017,"pldhiv",23642.90068109567,21496,27114.526258194997
2018,"pldhiv",24414.781007241927,22188,28104.16358519728
2019,"pldhiv",25295.779445562785,23255,29207.648881235356
2020,"pldhiv",25996.622865832906,24180,30042.731989256252
2021,"pldhiv",26345.28538410572,24472,30564.62029659798
2022,"pldhiv",26821.890683349233,25345,31289.84903958965
2023,"pldhiv",27651.21261336437,26701,32387.57732648027
2004,"numART",7598,5997.35752315243,9302.61887656503
2005,"numART",8453,6383.84245331665,9832.31477245497
2006,"numART",9463,6885.45846022929,10455.4689472674
2007,"numART",9933,7532.57475077848,11179.282709595
2008,"numART",10200,8352.28895069613,12007.6685744616
2009,"numART",10900,9366.08362170547,12939.8330215259
2010,"numART",12400,10583.4473234582,13969.0212433787
2011,"numART",13616.1118179388,11994.5050856171,15095.2644235184
2012,"numART",14980.8581782073,13564.618033324,16305.2652573068
2013,"numART",16511,15657.0380898214,17374.2241913804
2014,"numART",17905,17853,18213.5829537691
2015,"numART",19379,19309,19701.6991388874
2016,"numART",20432,20358,20817.3644930079
2017,"numART",21607,21496,21990.2281062964
2018,"numART",22295,22188,22720.2268623547
2019,"numART",23387,23255,23799.5532472145
2020,"numART",24237,24180,24642.0515759312
2021,"numART",24702,24472,24891.6649232616
2022,"numART",25395,25345,25776.8681065213
2023,"numART",26701,26701,27067.6142266336
2004,"suppressed",4565.50693568726,3459.16402760851,5813.98877303818
2005,"suppressed",5589.11293375394,4072.23954702306,6730.21552395437
2006,"suppressed",6932.1976744186,4896.2271438331,7883.6277558719
2007,"suppressed",7601.84718010916,5610.69238234195,8784.31637365656
2008,"suppressed",8194.04052443385,6550.86248936934,9874.56851179059
2009,"suppressed",8974.22740524781,7542.25481689888,10887.2412744644
2010,"suppressed",10558.5544889893,8836.4891422729,12125.9177984147
2011,"suppressed",11774.7619814196,10189.4537110953,13284.1879955807
2012,"suppressed",13383.9139054035,11933.7923103363,14789.339790959
2013,"suppressed",15249.3341823739,14276.6249438682,16250.7783265505
2014,"suppressed",16720.8068783069,16472.2165770057,17213.050422448
2015,"suppressed",18359.0526315789,18092.7737711361,18868.7974495376
2016,"suppressed",19366.6652030735,19088.7125615335,19944.4367511954
2017,"suppressed",20911.5471698113,20628.9494345951,21461.6384063999
2018,"suppressed",21694.5960502693,21418.2636984343,22284.7163402893
2019,"suppressed",22659.2178336326,22337.7168591978,23257.0751525653
2020,"suppressed",23397.4653614458,23104.6297094716,24030.8408584318
2021,"suppressed",24132.6276595745,23693.6245354553,24535.9004774412
2022,"suppressed",24995.4283216783,24763.4442413088,25557.1731448022
2023,"suppressed",26035.3950143816,25782.7583924751,26648.9756604091
2004,"undiagnosed",2651.956712245379,0,0
2005,"undiagnosed",2696.4621339509904,0,0
2006,"undiagnosed",2741.4168418209065,0,0
2007,"undiagnosed",2761.502657717798,0,0
2008,"undiagnosed",2746.1555570411183,0,0
2009,"undiagnosed",2740.459488821467,0,0
2010,"undiagnosed",2714.8757888884647,0,0
2011,"undiagnosed",2684.4814117334026,0,0
2012,"undiagnosed",2663.437936253198,0,0
2013,"undiagnosed",2632.640987002407,0,0
2014,"undiagnosed",2620.4360787564547,0,0
2015,"undiagnosed",2620.3430778818947,0,0
2016,"undiagnosed",2631.312027842101,0,0
2017,"undiagnosed",2637.2878694973188,0,0
2018,"undiagnosed",2629.3325117045606,0,0
2019,"undiagnosed",2622.86209075843,0,0
2020,"undiagnosed",2639.7382903755133,0,0
2021,"undiagnosed",2716.6511615675045,0,0
2022,"undiagnosed",2660.4632391707964,0,0
2023,"undiagnosed",2360.751889318646,0,0
2004,"noART",5334.537622134962,0,0
2005,"noART",5150.861167574498,0,0
2006,"noART",4885.717229000982,0,0
2007,"noART",5162.9203364683435,0,0
2008,"noART",5525.479396981311,0,0
2009,"noART",5660.6096497215585,0,0
2010,"noART",4954.502704261256,0,0
2011,"noART",4608.728668388274,0,0
2012,"noART",4211.431450733688,0,0
2013,"noART",3538.682376484703,0,0
2014,"noART",3014.3239156865056,0,0
2015,"noART",2504.5463962775357,0,0
2016,"noART",2372.2334293678978,0,0
2017,"noART",2035.9006810956707,0,0
2018,"noART",2119.781007241927,0,0
2019,"noART",1908.7794455627845,0,0
2020,"noART",1759.6228658329055,0,0
2021,"noART",1643.2853841057185,0,0
2022,"noART",1426.8906833492329,0,0
2023,"noART",950.2126133643687,0,0
2004,"unsuppressed",3032.49306431274,0,0
2005,"unsuppressed",2863.8870662460604,0,0
2006,"unsuppressed",2530.8023255813996,0,0
2007,"unsuppressed",2331.15281989084,0,0
2008,"unsuppressed",2005.9594755661492,0,0
2009,"unsuppressed",1925.7725947521903,0,0
2010,"unsuppressed",1841.4455110106992,0,0
2011,"unsuppressed",1841.349836519199,0,0
2012,"unsuppressed",1596.9442728037993,0,0
2013,"unsuppressed",1261.6658176261008,0,0
2014,"unsuppressed",1184.1931216931007,0,0
2015,"unsuppressed",1019.9473684211007,0,0
2016,"unsuppressed",1065.3347969265014,0,0
2017,"unsuppressed",695.4528301887003,0,0
2018,"unsuppressed",600.4039497306985,0,0
2019,"unsuppressed",727.7821663674004,0,0
2020,"unsuppressed",839.5346385541998,0,0
2021,"unsuppressed",569.3723404254997,0,0
2022,"unsuppressed",399.57167832169944,0,0
2023,"unsuppressed",665.6049856184,0,0
2004,"diagnoses_exclude",894,0,0
2005,"diagnoses_exclude",958,0,0
2006,"diagnoses_exclude",985,0,0
2007,"diagnoses_exclude",950,0,0
2008,"diagnoses_exclude",902,0,0
2009,"diagnoses_exclude",947,0,0
2010,"diagnoses_exclude",914,0,0
2011,"diagnoses_exclude",983,0,0
2012,"diagnoses_exclude",1071,0,0
2013,"diagnoses_exclude",1036,0,0
2014,"diagnoses_exclude",1079,0,0
2015,"diagnoses_exclude",1029,0,0
2016,"diagnoses_exclude",1006,0,0
2017,"diagnoses_exclude",961,0,0
2018,"diagnoses_exclude",840,0,0
2019,"diagnoses_exclude",895,0,0
2020,"diagnoses_exclude",626,0,0
2021,"diagnoses_exclude",541,0,0
2022,"diagnoses_exclude",553,0,0
2023,"diagnoses_exclude",722,0,0
2004,"diagnoses_include",918,0,0
2005,"diagnoses_include",981,0,0
2006,"diagnoses_include",1020,0,0
2007,"diagnoses_include",1055,0,0
2008,"diagnoses_include",1019,0,0
2009,"diagnoses_include",1078,0,0
2010,"diagnoses_include",1070,0,0
2011,"diagnoses_include",1151,0,0
2012,"diagnoses_include",1264,0,0
2013,"diagnoses_include",1248,0,0
2014,"diagnoses_include",1338,0,0
2015,"diagnoses_include",1253,0,0
2016,"diagnoses_include",1266,0,0
2017,"diagnoses_include",1252,0,0
2018,"diagnoses_include",1132,0,0
2019,"diagnoses_include",1240,0,0
2020,"diagnoses_include",948,0,0
2021,"diagnoses_include",734,0,0
2022,"diagnoses_include",894,0,0
2023,"diagnoses_include",1302,0,0
2004,"diagnoses_os",24,0,0
2005,"diagnoses_os",23,0,0
2006,"diagnoses_os",35,0,0
2007,"diagnoses_os",105,0,0
2008,"diagnoses_os",117,0,0
2009,"diagnoses_os",131,0,0
2010,"diagnoses_os",156,0,0
2011,"diagnoses_os",168,0,0
2012,"diagnoses_os",193,0,0
2013,"diagnoses_os",212,0,0
2014,"diagnoses_os",259,0,0
2015,"diagnoses_os",224,0,0
2016,"diagnoses_os",260,0,0
2017,"diagnoses_os",291,0,0
2018,"diagnoses_os",292,0,0
2019,"diagnoses_os",345,0,0
2020,"diagnoses_os",322,0,0
2021,"diagnoses_os",193,0,0
2022,"diagnoses_os",341,0,0
2023,"diagnoses_os",580,0,0
2004,"infections",908,887,929
2005,"infections",938,917,956
2006,"infections",962,941,980
2007,"infections",980,960,999
2008,"infections",993,972,1014
2009,"infections",1000,978,1026
2010,"infections",1002,974,1032
2011,"infections",997,966,1029
2012,"infections",986,957,1020
2013,"infections",969,941,1002
2014,"infections",945,919,976
2015,"infections",914,893,944
2016,"infections",876,856,904
2017,"infections",830,800,864
2018,"infections",777,735,821
2019,"infections",716,659,771
2020,"infections",646,573,721
2021,"infections",568,473,666
2022,"infections",480,358,605
2023,"infections",384,232,537
2004,"propdiagnosed",0.8298336375024372,0,0
2005,"propdiagnosed",0.8345761563085906,0,0
