"step","indicator","break0","break1","break1ci","break2","break2ci","break3","break3ci"
"Number infected","breakpoint1",NA,2020,"(2019, 2021)",2009,"(2008, 2010)",2009,"(2008, 2010)"
"Number infected","breakpoint2",NA,NA,"NA",2019,"(2018, 2020)",2015,"(2013, 2016)"
"Number infected","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2018, 2020)"
"Number infected","rss",382333.9903836347,382333.9903836347,"NA",38402.994555224344,"NA",21067.019902778025,"NA"
"Number infected","bic",290.8623617821125,271.89828601781704,"NA",234.9223006939781,"NA",231.90096431701895,"NA"
"Number diagnosed","breakpoint1",NA,2020,"(2019, 2021)",2008,"(2007, 2009)",2009,"(2008, 2010)"
"Number diagnosed","breakpoint2",NA,NA,"NA",2018,"(2017, 2019)",2015,"(2014, 2016)"
"Number diagnosed","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(2019, 2021)"
"Number diagnosed","rss",494721.9851741358,494721.9851741358,"NA",91599.76658348719,"NA",39938.32737450882,"NA"
"Number diagnosed","bic",289.5001480788875,277.0523142515453,"NA",252.3081663679684,"NA",244.69351769251332,"NA"
"Number on ART","breakpoint1",NA,2012,"(2011, 2013)",2008,"(2007, 2009)",2006,"(2005, 2007)"
"Number on ART","breakpoint2",NA,NA,"NA",2016,"(2015, 2017)",2009,"(2008, 2010)"
"Number on ART","breakpoint3",NA,NA,"NA",NA,"NA",2016,"(2015, 2017)"
"Number on ART","rss",3429906.5850649495,3429906.5850649495,"NA",547160.5077253154,"NA",342347.81773065176,"NA"
"Number on ART","bic",324.81951248791967,315.7781611803573,"NA",288.05443574172045,"NA",287.6633333427121,"NA"
"Number suppressed","breakpoint1",NA,2012,"(2011, 2013)",2008,"(2007, 2009)",2006,"(2005, 2007)"
"Number suppressed","breakpoint2",NA,NA,"NA",2016,"(2015, 2017)",2009,"(2008, 2010)"
"Number suppressed","breakpoint3",NA,NA,"NA",NA,"NA",2016,"(2015, 2017)"
"Number suppressed","rss",3305049.070958688,3305049.070958688,"NA",534946.3292097279,"NA",336101.78419213905,"NA"
"Number suppressed","bic",327.2641241258163,315.0365270714107,"NA",287.6029203513266,"NA",287.29506958405193,"NA"
"On ART but unsuppressed","breakpoint1",NA,2018,"(2017, 2019)",2008,"(2007, 2009)",2008,"(2007, 2009)"
"On ART but unsuppressed","breakpoint2",NA,NA,"NA",2018,"(2017, 2019)",2017,"(NA, NA)"
"On ART but unsuppressed","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(NA, NA)"
"On ART but unsuppressed","rss",258199.52490692085,258199.52490692085,"NA",163222.6389343495,"NA",115778.65479087924,"NA"
"On ART but unsuppressed","bic",279.29459991321465,264.04704784589734,"NA",263.8618949361337,"NA",265.98039311774994,"NA"
