"stage","coeff","pvalue","lower","upper","model"
"infected",1.0362947160307459,0,1.0344270740721546,1.0381659488164054,"negative-binomial"
"pldhiv",1.0418787502620073,4.3650301753432976e-296,1.0395770662392434,1.0441858141027551,"negative-binomial"
"numART",1.070861703192938,2.219308999247236e-151,1.065251425361607,1.0765012312592357,"negative-binomial"
"suppressed",1.0938903399403466,1.923859583988767e-85,1.083593909253561,1.1042844762368098,"negative-binomial"
"undiagnosed",0.9967753087002579,9.73324814206479e-4,0.994861535454804,0.9986926327924253,"negative-binomial"
"noART",0.9154107137711577,2.609675882729011e-51,0.9044401361941082,0.926520655191111,"negative-binomial"
"unsuppressed",0.9081540223279908,3.7688240367267015e-67,0.8983433808273787,0.9180666204814404,"negative-binomial"
"diagnoses_exclude",0.979982746796586,8.294808725682831e-4,0.9678284296647802,0.9922817256190862,"negative-binomial"
"diagnoses_include",1.003630871488113,0.5248032633887103,0.9920623501236905,1.0153366269019797,"negative-binomial"
"diagnoses_os",1.1271887215355967,8.0333760807574206e-17,1.0924505298906224,1.1634679543305912,"negative-binomial"
"infections",0.9648937621304817,1.837328926020436e-9,0.9529694978144483,0.9769533325259115,"negative-binomial"
"propdiagnosed",0.004703887076626742,7.901390357117318e-15,0.004276062446827152,0.005131711706426331,"linear"
"proptreated",0.0212571361889198,5.808881417598406e-13,0.018778032279008042,0.023736240098831556,"linear"
"propsuppressed",0.017623168974533133,1.3377139108110413e-8,0.013821804103333566,0.0214245338457327,"linear"
"propoverall",0.031105031173973806,1.3341550830888156e-13,0.02777527617521333,0.03443478617273428,"linear"
"propdiagnosed",1.0051931328134667,3.302773683313752e-77,1.0046446760379728,1.0057420472788947,"negative-binomial-offset"
"proptreated",1.027642211659606,8.911414732372999e-63,1.0243206928656936,1.0309750030361655,"negative-binomial-offset"
"propsuppressed",1.0212826058990163,3.384273270602532e-19,1.0164685605749948,1.0261211835772857,"negative-binomial-offset"
"propoverall",1.0554041566613066,1.2027088315083208e-46,1.04732656677943,1.0635451350997527,"negative-binomial-offset"
"ydf",0.9931498461363283,0.2071295397147388,0.9821925854441058,1.0042221268687042,"negative-binomial-offset"
"cdr",1.0251536871170726,3.6974144682563485e-6,1.014574431966625,1.0358394997171192,"negative-binomial-offset"
"ipr",0.9294441893284809,4.9217059149249546e-45,0.9194893687220841,0.9394958629656986,"negative-binomial-offset"
"imr",0.9375241708329518,2.4570441398051e-7,0.9120846081631027,0.9635743218091178,"negative-binomial-offset"
