"indicator","valueStart","valueEnd","breakpoints","rate_ratios"
"People living with HIV","1,600 (1,460‒1,740)","4,080 (3,750‒4,360)","2010·3 (2009·2‒2011·5)","1·061 (1·058‒1·065)"
"People living with HIV","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·046 (1·045‒1·047)"
"Diagnosed","1,220 (1,130‒1,320)","3,850 (3,630‒4,020)","2011·5 (2010·7‒2012·4)","1·074 (1·071‒1·078)"
"Diagnosed","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·054 (1·053‒1·056)"
"Receiving ART","920 (720‒1,120)","3,620 (3,620‒3,690)","0 (0‒0)","1·073 (1·07‒1·075)"
"Suppressed virus","500 (330‒720)","3,510 (3,390‒3,680)","2010·3 (2009·4‒2011·1)","1·153 (1·141‒1·166)"
"Suppressed virus","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·084 (1·08‒1·088)"
"Undiagnosed","380 (0‒0)","230 (0‒0)","2021·6 (2021·1‒2022)","0·987 (0·985‒0·989)"
"Undiagnosed","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·806 (0·741‒0·877)"
"Diagnosed but untreated","300 (0‒0)","230 (0‒0)","2014 (2012·5‒2015·5)","1·046 (1·028‒1·064)"
"Diagnosed but untreated","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·942 (0·925‒0·959)"
"On ART but unsuppressed","410 (0‒0)","120 (0‒0)","2012 (2010·1‒2013·9)","0·951 (0·906‒0·999)"
"On ART but unsuppressed","0 (0‒0)","0 (0‒0)","2017·1 (2015·5‒2018·8)","0·781 (0·72‒0·847)"
"On ART but unsuppressed","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·026 (0·942‒1·117)"
"Diagnoses excluding OS","120 (0‒0)","100 (0‒0)","0 (0‒0)","0·98 (0·972‒0·989)"
"Diagnoses including OS","130 (0‒0)","210 (0‒0)","2014·4 (2012·7‒2016·1)","1·038 (1·025‒1·051)"
"Diagnoses including OS","0 (0‒0)","0 (0‒0)","2021·5 (2020·8‒2022·3)","0·963 (0·94‒0·986)"
"Diagnoses including OS","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·321 (1·12‒1·558)"
"Diagnoses overseas","10 (0‒0)","110 (0‒0)","0 (0‒0)","1·099 (1·067‒1·132)"
"Annual new infections","100 (100‒110)","40 (10‒70)","2015·7 (2015‒2016·4)","0·988 (0·982‒0·994)"
"Annual new infections","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·889 (0·877‒0·901)"
"Percentage diagnosed","76·5% (0‒0%)","94·3% (0‒0%)","0 (0‒0)","1·01 (1·009‒1·012)"
"Percentage diagnosed treated","75·1% (0‒0%)","94·1% (0‒0%)","0 (0‒0)","1·012 (1·01‒1·014)"
"Percentage treated suppressed","54·9% (0‒0%)","96·7% (0‒0%)","0 (0‒0)","1·026 (1·02‒1·031)"
"Percentage suppressed overall","31·6% (0‒0%)","85·8% (0‒0%)","2010·3 (2009·2‒2011·5)","1·086 (1·074‒1·099)"
"Percentage suppressed overall","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","1·036 (1·032‒1·039)"
"Yearly diagnosed fraction","0·23 (0·21‒0·26)","0·48 (0·39‒0·65)","2016·9 (2013·4‒2020·3)","1·078 (1·047‒1·11)"
"Yearly diagnosed fraction","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·968 (0·9‒1·041)"
"Case detection rate","1·1 (1·03‒1·18)","6·12 (3·19‒31·37)","0 (0‒0)","1·107 (1·076‒1·138)"
"Incidence prevalence ratio","7% (6·1‒8·1%)","0·9% (0·2‒1·9%)","2016·6 (2015·9‒2017·3)","0·932 (0·928‒0·936)"
"Incidence prevalence ratio","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","0·842 (0·828‒0·855)"
"Incidence mortality ratio","14·61 (9·31‒23·11)","1·14 (0·14‒3·54)","2015 (2013·2‒2016·8)","0·963 (0·939‒0·986)"
"Incidence mortality ratio","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·813 (0·775‒0·853)"
