"indicator","breakpoints","breakpoints_low","breakpoints_up","rate_ratio","rate_ratio_low","rate_ratio_up","valueStart","valueStart_low","valueStart_up","valueEnd","valueEnd_low","valueEnd_up"
"People living with HIV",2010.33,2009.19,2011.48,1.0612802899469265,1.0576875833604087,1.0648852000809,1595.4110346984578,1461.7523456876404,1738.7568964815505,4083.673288400374,3752.8568814501423,4363.697082268674
"People living with HIV",0,0,0,1.0462611501323698,1.045177784860941,1.0473466856979685,0,0,0,0,0,0
"Diagnosed",2011.51,2010.65,2012.37,1.074433987863408,1.0713729962768046,1.0775026474253147,1220.3339642859803,1128.42853427108,1319.870448173445,3850.784181459621,3633.7571562652392,4019.697336381168
"Diagnosed",0,0,0,1.0544813134378301,1.0532767298472367,1.0556862189678844,0,0,0,0,0,0
"Receiving ART",0,0,0,1.0725141020528761,1.0702161714742233,1.07482092263312,917.005332356413,723.823220423615,1122.73639308892,3623.26111111111,3623.26111111111,3685.58364624321
"Suppressed virus",2010.29,2009.45,2011.14,1.1534183366692272,1.1408116696703443,1.1661759767537758,503.453907960384,327.496987523354,724.821588149754,3505.43148148148,3391.85366036122,3681.25870375948
"Suppressed virus",0,0,0,1.0837898295060844,1.0799632361987257,1.087628893808826,0,0,0,0,0,0
"Undiagnosed",2021.58,2021.11,2022.05,0.9870851221049162,0.984813495901867,0.9893619881687388,375.0770704124775,0,0,232.8891069407532,0,0
"Undiagnosed",0,0,0,0.8062350126549761,0.7410849632519451,0.8771212857428335,0,0,0,0,0,0
"Diagnosed but untreated",2014,2012.53,2015.47,1.0459023440966273,1.0276503677601556,1.0644784916207306,303.32863192956734,0,0,227.52307034851083,0,0
"Diagnosed but untreated",0,0,0,0.9418869709318698,0.9254085160412331,0.9586598110830374,0,0,0,0,0,0
"On ART but unsuppressed",2012,2010.09,2013.91,0.9512303757306141,0.9056159129202895,0.9991414687490247,413.55142439602895,0,0,117.82962962962984,0,0
"On ART but unsuppressed",2017.14,2015.46,2018.82,0.7813750708942825,0.7204350596092071,0.8474613885486639,0,0,0,0,0,0
"On ART but unsuppressed",0,0,0,1.0256996857961074,0.9415969144158193,1.117316691948532,0,0,0,0,0,0
"Diagnoses excluding OS",0,0,0,0.9802833493188561,0.9716033824220015,0.9890212595427216,117,0,0,96,0,0
"Diagnoses including OS",2014.39,2012.66,2016.13,1.0379846535494897,1.0253007662132219,1.0508254519144629,126,0,0,206,0,0
"Diagnoses including OS",2021.51,2020.76,2022.26,0.962904539829899,0.9404620330080737,0.9858816125460543,0,0,0,0,0,0
"Diagnoses including OS",0,0,0,1.3208824024960797,1.119979072651674,1.557824037812576,0,0,0,0,0,0
"Diagnoses overseas",0,0,0,1.0990222075041338,1.0671157376799036,1.1323786376377303,9,0,0,110,0,0
"Annual new infections",2015.69,2015,2016.39,0.9879709346869929,0.9823673078332628,0.9936069232331038,104,98,110,35,7,68
"Annual new infections",0,0,0,0.8892027537607154,0.8771212857428335,0.9014506319111977,0,0,0,0,0,0
"Percentage diagnosed",0,0,0,1.010190235206118,1.0085578549716263,1.0118272118976162,0.7649025472088644,0,0,0.9429706809302615,0,0
"Percentage diagnosed treated",0,0,0,1.0115721876321169,1.009607280944706,1.0135441807605852,0.7514380154886163,0,0,0.9409151332230026,0,0
"Percentage treated suppressed",0,0,0,1.0258421371285833,1.0202641031003976,1.0314610804923088,0.5490196078431377,0,0,0.9674796747967479,0,0
"Percentage suppressed overall",2010.35,2009.24,2011.46,1.0863408169059567,1.0741471522829025,1.0986729033985134,0.31556376194648783,0,0,0.8584015502510001,0,0
"Percentage suppressed overall",0,0,0,1.035566893541275,1.0320034396004611,1.0391436910454794,0,0,0,0,0,0
"Yearly diagnosed fraction",2016.87,2013.38,2020.35,1.0782895115283895,1.0471791236335795,1.1103219296651694,0.23322963866784982,0.21259298022945802,0.25664333350252316,0.48234108506338463,0.3868094443727493,0.6456417061353398
"Yearly diagnosed fraction",0,0,0,0.9678269290447044,0.9001624787565823,1.0405797398462788,0,0,0,0,0,0
"Case detection rate",0,0,0,1.1067931053039923,1.076405207300159,1.1379126976744502,1.099436139091025,1.0295494888156853,1.1798233806606193,6.121805133576519,3.1905687610795073,31.36730668018111
"Incidence prevalence ratio",2016.61,2015.91,2017.32,0.9320405096047351,0.9276646314835933,0.9364370291394667,0.07042822390873187,0.060912738616778934,0.08135983533042476,0.009068647884082697,0.0016448202170171184,0.01904334605271448
"Incidence prevalence ratio",0,0,0,0.8415414578143076,0.8282998934623369,0.8549861577008506,0,0,0,0,0,0
"Incidence mortality ratio",2015.04,2013.24,2016.85,0.9626291885086234,0.9394046081339565,0.9864289287072032,14.611896611127131,9.311187125471957,23.113259367360804,1.137535593132155,0.1415029464616537,3.542890620903419
"Incidence mortality ratio",0,0,0,0.8130603019863619,0.7747460350831336,0.8532608288311226,0,0,0,0,0,0
