"year","indicator","value"
2004,"infected","1,600 (1,460‒1,740)"
2005,"infected","1,670 (1,530‒1,830)"
2006,"infected","1,800 (1,650‒1,970)"
2007,"infected","1,920 (1,750‒2,100)"
2008,"infected","2,030 (1,840‒2,230)"
2009,"infected","2,150 (1,940‒2,370)"
2010,"infected","2,260 (2,030‒2,500)"
2011,"infected","2,370 (2,120‒2,630)"
2012,"infected","2,480 (2,210‒2,780)"
2013,"infected","2,610 (2,320‒2,920)"
2014,"infected","2,750 (2,430‒3,090)"
2015,"infected","2,890 (2,550‒3,250)"
2016,"infected","3,010 (2,660‒3,380)"
2017,"infected","3,150 (2,800‒3,530)"
2018,"infected","3,300 (2,940‒3,650)"
2019,"infected","3,470 (3,120‒3,810)"
2020,"infected","3,630 (3,290‒3,960)"
2021,"infected","3,750 (3,400‒4,080)"
2022,"infected","3,910 (3,570‒4,210)"
2023,"infected","4,080 (3,750‒4,360)"
2004,"pldhiv","1,220 (1,130‒1,320)"
2005,"pldhiv","1,290 (1,190‒1,410)"
2006,"pldhiv","1,410 (1,300‒1,540)"
2007,"pldhiv","1,530 (1,390‒1,670)"
2008,"pldhiv","1,640 (1,490‒1,800)"
2009,"pldhiv","1,760 (1,590‒1,940)"
2010,"pldhiv","1,880 (1,690‒2,080)"
2011,"pldhiv","2,000 (1,790‒2,220)"
2012,"pldhiv","2,120 (1,890‒2,360)"
2013,"pldhiv","2,250 (2,000‒2,520)"
2014,"pldhiv","2,400 (2,120‒2,690)"
2015,"pldhiv","2,540 (2,240‒2,860)"
2016,"pldhiv","2,670 (2,360‒3,000)"
2017,"pldhiv","2,820 (2,500‒3,150)"
2018,"pldhiv","2,970 (2,660‒3,290)"
2019,"pldhiv","3,150 (2,850‒3,450)"
2020,"pldhiv","3,320 (3,030‒3,600)"
2021,"pldhiv","3,440 (3,160‒3,690)"
2022,"pldhiv","3,620 (3,370‒3,830)"
2023,"pldhiv","3,850 (3,630‒4,020)"
2004,"numART","920 (720‒1,120)"
2005,"numART","1,020 (770‒1,190)"
2006,"numART","1,140 (830‒1,260)"
2007,"numART","1,200 (910‒1,350)"
2008,"numART","1,230 (1,010‒1,450)"
2009,"numART","1,320 (1,130‒1,560)"
2010,"numART","1,500 (1,280‒1,690)"
2011,"numART","1,640 (1,450‒1,820)"
2012,"numART","1,810 (1,640‒1,970)"
2013,"numART","1,790 (1,510‒2,070)"
2014,"numART","1,900 (1,890‒1,950)"
2015,"numART","2,120 (2,100‒2,170)"
2016,"numART","2,270 (2,260‒2,330)"
2017,"numART","2,470 (2,440‒2,540)"
2018,"numART","2,590 (2,560‒2,660)"
2019,"numART","2,810 (2,770‒2,880)"
2020,"numART","3,020 (3,010‒3,080)"
2021,"numART","3,130 (3,070‒3,140)"
2022,"numART","3,290 (3,270‒3,360)"
2023,"numART","3,620 (3,620‒3,690)"
2004,"suppressed","500 (330‒720)"
2005,"suppressed","590 (370‒810)"
2006,"suppressed","780 (490‒970)"
2007,"suppressed","880 (590‒1,100)"
2008,"suppressed","970 (720‒1,250)"
2009,"suppressed","1,020 (790‒1,330)"
2010,"suppressed","1,250 (980‒1,520)"
2011,"suppressed","1,290 (1,030‒1,550)"
2012,"suppressed","1,530 (1,290‒1,780)"
2013,"suppressed","1,590 (1,270‒1,940)"
2014,"suppressed","1,770 (1,680‒1,880)"
2015,"suppressed","1,980 (1,890‒2,120)"
2016,"suppressed","2,140 (2,040‒2,280)"
2017,"suppressed","2,410 (2,330‒2,540)"
2018,"suppressed","2,510 (2,420‒2,650)"
2019,"suppressed","2,700 (2,600‒2,860)"
2020,"suppressed","2,960 (2,880‒3,090)"
2021,"suppressed","3,040 (2,890‒3,150)"
2022,"suppressed","3,240 (3,160‒3,380)"
2023,"suppressed","3,510 (3,390‒3,680)"
2004,"undiagnosed","380 (0‒0)"
2005,"undiagnosed","380 (0‒0)"
2006,"undiagnosed","390 (0‒0)"
2007,"undiagnosed","390 (0‒0)"
2008,"undiagnosed","390 (0‒0)"
2009,"undiagnosed","390 (0‒0)"
2010,"undiagnosed","380 (0‒0)"
2011,"undiagnosed","370 (0‒0)"
2012,"undiagnosed","360 (0‒0)"
2013,"undiagnosed","360 (0‒0)"
2014,"undiagnosed","350 (0‒0)"
2015,"undiagnosed","350 (0‒0)"
2016,"undiagnosed","340 (0‒0)"
2017,"undiagnosed","330 (0‒0)"
2018,"undiagnosed","330 (0‒0)"
2019,"undiagnosed","320 (0‒0)"
2020,"undiagnosed","320 (0‒0)"
2021,"undiagnosed","310 (0‒0)"
2022,"undiagnosed","290 (0‒0)"
2023,"undiagnosed","230 (0‒0)"
2004,"noART","300 (0‒0)"
2005,"noART","270 (0‒0)"
2006,"noART","270 (0‒0)"
2007,"noART","330 (0‒0)"
2008,"noART","410 (0‒0)"
2009,"noART","450 (0‒0)"
2010,"noART","390 (0‒0)"
2011,"noART","350 (0‒0)"
2012,"noART","310 (0‒0)"
2013,"noART","460 (0‒0)"
2014,"noART","500 (0‒0)"
2015,"noART","420 (0‒0)"
2016,"noART","400 (0‒0)"
2017,"noART","350 (0‒0)"
2018,"noART","380 (0‒0)"
2019,"noART","340 (0‒0)"
2020,"noART","290 (0‒0)"
2021,"noART","310 (0‒0)"
2022,"noART","330 (0‒0)"
2023,"noART","230 (0‒0)"
2004,"unsuppressed","410 (0‒0)"
2005,"unsuppressed","430 (0‒0)"
2006,"unsuppressed","360 (0‒0)"
2007,"unsuppressed","320 (0‒0)"
2008,"unsuppressed","260 (0‒0)"
2009,"unsuppressed","300 (0‒0)"
2010,"unsuppressed","250 (0‒0)"
2011,"unsuppressed","360 (0‒0)"
2012,"unsuppressed","280 (0‒0)"
2013,"unsuppressed","200 (0‒0)"
2014,"unsuppressed","140 (0‒0)"
2015,"unsuppressed","140 (0‒0)"
2016,"unsuppressed","140 (0‒0)"
2017,"unsuppressed","50 (0‒0)"
2018,"unsuppressed","70 (0‒0)"
2019,"unsuppressed","100 (0‒0)"
2020,"unsuppressed","60 (0‒0)"
2021,"unsuppressed","80 (0‒0)"
2022,"unsuppressed","50 (0‒0)"
2023,"unsuppressed","120 (0‒0)"
2004,"diagnoses_exclude","120 (0‒0)"
2005,"diagnoses_exclude","90 (0‒0)"
2006,"diagnoses_exclude","140 (0‒0)"
2007,"diagnoses_exclude","110 (0‒0)"
2008,"diagnoses_exclude","110 (0‒0)"
2009,"diagnoses_exclude","120 (0‒0)"
