"year","stage","value","lower","upper"
2004,"infected",1595.4110346984578,1461.7523456876404,1738.7568964815505
2005,"infected",1671.611611029515,1527.689838485814,1825.668896594866
2006,"infected",1802.6495293798016,1646.5824971637776,1969.0899490327463
2007,"infected",1916.8826209210008,1745.3636887705666,2095.0901575123157
2008,"infected",2031.9098757903805,1839.745674131333,2229.7050176841144
2009,"infected",2150.2238046130024,1942.211350368901,2367.262933058388
2010,"infected",2262.295293014566,2033.769917108296,2502.870886137675
2011,"infected",2369.042066620902,2117.3122345172997,2631.5944489398557
2012,"infected",2484.871790116499,2210.2904106816545,2775.0625750157183
2013,"infected",2609.7130861945443,2315.581866159416,2924.3216876435135
2014,"infected",2750.808047744607,2434.2243691977083,3091.1709976422917
2015,"infected",2887.6382288990467,2550.8405096330034,3251.362840041635
2016,"infected",3009.0136374341214,2660.0550643621464,3381.4399415766316
2017,"infected",3154.7147180027782,2796.2021825749102,3528.337816671461
2018,"infected",3296.4717606469053,2938.409698651412,3653.2869862784983
2019,"infected",3472.760657296546,3123.5503857324156,3807.4933513750752
2020,"infected",3633.9191137203225,3286.6074780449876,3964.380586092601
2021,"infected",3748.1575801932063,3399.699773276029,4076.991056949166
2022,"infected",3908.74818970717,3571.4811783460336,4205.949640226243
2023,"infected",4083.673288400374,3752.8568814501423,4363.697082268674
2004,"pldhiv",1220.3339642859803,1128.42853427108,1319.870448173445
2005,"pldhiv",1294.4271906223123,1190.5073457757485,1406.1097704555716
2006,"pldhiv",1414.8592559376402,1296.4133752028818,1541.0937144277923
2007,"pldhiv",1528.4939175450568,1394.884377192899,1670.4767608652369
2008,"pldhiv",1644.6542487512952,1493.2554307208145,1804.066068627539
2009,"pldhiv",1764.2996086254614,1594.5093508541183,1942.3060186210864
2010,"pldhiv",1881.8299471622877,1691.6062713132349,2081.337269103209
2011,"pldhiv",1996.8566511806791,1786.6667675633544,2217.3472349721155
2012,"pldhiv",2120.1247145252114,1889.895988850497,2362.5922403316104
2013,"pldhiv",2252.2568304244596,2000.7993296697048,2518.285495443941
2014,"pldhiv",2399.023644205286,2124.928431826042,2689.533935606331
2015,"pldhiv",2541.297871854153,2244.606455410669,2856.6055613677495
2016,"pldhiv",2670.3060198299804,2359.582851399788,2999.5312286645435
2017,"pldhiv",2820.002768841972,2503.728523805014,3150.959611243336
2018,"pldhiv",2968.8584991879693,2656.899250430116,3288.681596282015
2019,"pldhiv",3149.6519807126483,2851.106591327062,3446.720246272159
2020,"pldhiv",3316.6449760213804,3028.4723406399016,3595.6819503306374
2021,"pldhiv",3435.085054825427,3159.8355097333774,3691.4396800691657
2022,"pldhiv",3619.426790399805,3372.5621836587643,3831.894359173437
2023,"pldhiv",3850.784181459621,3633.7571562652392,4019.697336381168
2004,"numART",917.005332356413,723.823220423615,1122.73639308892
2005,"numART",1020.19558757683,770.468224613663,1186.66557985627
2006,"numART",1142.0928481296,831.008439556309,1261.87427966979
2007,"numART",1198.81731591159,909.109135672169,1349.23162103427
2008,"numART",1231.04164122603,1008.04073508422,1449.20980678465
2009,"numART",1315.5248911141,1130.39597583574,1561.71306666766
2010,"numART",1496.56042658851,1277.32003557835,1685.92616056571
2011,"numART",1643.33339602672,1447.62110061688,1821.85285202638
2012,"numART",1808.04512143871,1637.11859277916,1967.88828460597
2013,"numART",1789.03888888889,1508.5841957198,2074.77688533574
2014,"numART",1903.03888888889,1889.46111111111,1948.31831740782
2015,"numART",2120.5,2102.22222222222,2174.00809896267
2016,"numART",2274.59444444444,2255.27222222222,2333.67173362287
2017,"numART",2466.52222222222,2437.53888888889,2539.2575651156
2018,"numART",2587.73333333333,2559.79444444444,2663.45768911056
2019,"numART",2806.55555555556,2772.08888888889,2884.11768009295
2020,"numART",3024.11666666667,3009.23333333333,3079.3704797048
2021,"numART",3126.28888888889,3066.23333333333,3139.63715215034
2022,"numART",3287.72222222222,3274.66666666667,3360.31313832042
2023,"numART",3623.26111111111,3623.26111111111,3685.58364624321
2004,"suppressed",503.453907960384,327.496987523354,724.821588149754
2005,"suppressed",593.379066243667,372.881805974012,806.098977718517
2006,"suppressed",779.69800208848,492.988700040537,974.347527133168
2007,"suppressed",876.912666268662,589.009195449413,1099.71260160232
2008,"suppressed",971.28056096733,718.120266276075,1254.42085195004
2009,"suppressed",1020.45388749972,787.508855689562,1334.85160512243
2010,"suppressed",1247.13368882376,977.049922159289,1520.27528546059
2011,"suppressed",1287.6866162896,1033.39551088543,1554.59879034597
2012,"suppressed",1531.65605828884,1294.70527369242,1777.83672454968
2013,"suppressed",1589.08748366013,1268.52652519313,1941.15789109081
2014,"suppressed",1765.46981258367,1678.4389538459,1884.22929388606
2015,"suppressed",1984.57051282051,1886.66347893936,2118.20867234389
2016,"suppressed",2136.74023569024,2036.4807696857,2277.19968223638
2017,"suppressed",2411.71061728395,2330.88128026179,2537.51011177361
2018,"suppressed",2514.21818181818,2424.24298544964,2653.16571252949
2019,"suppressed",2703.69749854567,2596.62485439009,2855.27146966764
2020,"suppressed",2961.54873563218,2877.25343404681,3087.00424920683
2021,"suppressed",3042.54900793651,2892.41669391142,3149.42001203898
2022,"suppressed",3239.01522633745,3159.41782659554,3379.01139237758
2023,"suppressed",3505.43148148148,3391.85366036122,3681.25870375948
2004,"undiagnosed",375.0770704124775,0,0
2005,"undiagnosed",377.18442040720265,0,0
2006,"undiagnosed",387.7902734421614,0,0
2007,"undiagnosed",388.38870337594403,0,0
2008,"undiagnosed",387.2556270390853,0,0
2009,"undiagnosed",385.924195987541,0,0
2010,"undiagnosed",380.46534585227846,0,0
2011,"undiagnosed",372.18541544022287,0,0
2012,"undiagnosed",364.74707559128774,0,0
2013,"undiagnosed",357.4562557700847,0,0
2014,"undiagnosed",351.7844035393209,0,0
2015,"undiagnosed",346.3403570448936,0,0
2016,"undiagnosed",338.707617604141,0,0
2017,"undiagnosed",334.7119491608064,0,0
2018,"undiagnosed",327.613261458936,0,0
2019,"undiagnosed",323.1086765838977,0,0
2020,"undiagnosed",317.274137698942,0,0
2021,"undiagnosed",313.07252536777924,0,0
2022,"undiagnosed",289.3213993073646,0,0
2023,"undiagnosed",232.8891069407532,0,0
2004,"noART",303.32863192956734,0,0
2005,"noART",274.2316030454823,0,0
2006,"noART",272.7664078080402,0,0
2007,"noART",329.6766016334668,0,0
2008,"noART",413.6126075252653,0,0
2009,"noART",448.77471751136136,0,0
2010,"noART",385.26952057377775,0,0
2011,"noART",353.5232551539591,0,0
2012,"noART",312.0795930865013,0,0
2013,"noART",463.2179415355697,0,0
2014,"noART",495.9847553163961,0,0
2015,"noART",420.7978718541531,0,0
2016,"noART",395.7115753855405,0,0
2017,"noART",353.48054661975175,0,0
2018,"noART",381.12516585463936,0,0
2019,"noART",343.0964251570881,0,0
2020,"noART",292.5283093547105,0,0
2021,"noART",308.7961659365369,0,0
2022,"noART",331.7045681775853,0,0
2023,"noART",227.52307034851083,0,0
2004,"unsuppressed",413.55142439602895,0,0
2005,"unsuppressed",426.816521333163,0,0
2006,"unsuppressed",362.39484604112,0,0
2007,"unsuppressed",321.904649642928,0,0
2008,"unsuppressed",259.76108025869996,0,0
2009,"unsuppressed",295.07100361437995,0,0
2010,"unsuppressed",249.42673776475,0,0
2011,"unsuppressed",355.64677973712014,0,0
2012,"unsuppressed",276.38906314987,0,0
2013,"unsuppressed",199.95140522876,0,0
2014,"unsuppressed",137.56907630521982,0,0
2015,"unsuppressed",135.92948717949002,0,0
2016,"unsuppressed",137.85420875420004,0,0
2017,"unsuppressed",54.81160493827019,0,0
2018,"unsuppressed",73.51515151515014,0,0
2019,"unsuppressed",102.85805700989022,0,0
2020,"unsuppressed",62.5679310344899,0,0
2021,"unsuppressed",83.73988095238019,0,0
2022,"unsuppressed",48.706995884770095,0,0
2023,"unsuppressed",117.82962962962984,0,0
2004,"diagnoses_exclude",117,0,0
2005,"diagnoses_exclude",93,0,0
2006,"diagnoses_exclude",137,0,0
