"step","indicator","break0","break1","break1ci","break2","break2ci","break3","break3ci"
"Number infected","breakpoint1",NA,2014,"(2013, 2015)",2012,"(2011, 2013)",2012,"(2011, 2013)"
"Number infected","breakpoint2",NA,NA,"NA",2018,"(2017, 2019)",2017,"(2016, 2018)"
"Number infected","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(2019, 2021)"
"Number infected","rss",3714.926080160259,3714.926080160259,"NA",1906.5107318930745,"NA",945.3432621699094,"NA"
"Number infected","bic",223.02941556103636,179.21957068413224,"NA",174.8650864868746,"NA",169.8226451783422,"NA"
"Number on ART","breakpoint1",NA,2013,"(2012, 2014)",2007,"(2006, 2008)",2007,"(2006, 2008)"
"Number on ART","breakpoint2",NA,NA,"NA",2012,"(2009, 2013)",2012,"(2011, 2013)"
"Number on ART","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(2014, 2021)"
"Number on ART","rss",45948.33003253473,45948.33003253473,"NA",24263.781642380593,"NA",14052.666825444934,"NA"
"Number on ART","bic",258.26564940049764,229.52274517801982,"NA",225.73928732080202,"NA",223.8030324675656,"NA"
"Number suppressed","breakpoint1",NA,2013,"(2012, 2014)",2008,"(2004, 2009)",2008,"(2004, 2009)"
"Number suppressed","breakpoint2",NA,NA,"NA",2012,"(2011, 2014)",2012,"(2010, 2013)"
"Number suppressed","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(2019, 2021)"
"Number suppressed","rss",32255.471230039286,32255.471230039286,"NA",24987.382526699454,"NA",18498.29242170447,"NA"
"Number suppressed","bic",250.983843364512,222.44614866600602,"NA",226.3270118693918,"NA",229.30035724529253,"NA"
"Number undiagnosed","breakpoint1",NA,2020,"(2019, 2021)",2007,"(2006, 2008)",2006,"(2005, 2007)"
"Number undiagnosed","breakpoint2",NA,NA,"NA",2020,"(2019, 2021)",2010,"(2009, 2012)"
"Number undiagnosed","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(NA, NA)"
"Number undiagnosed","rss",1433.639207336424,1433.639207336424,"NA",227.6438806844278,"NA",204.88247749633862,"NA"
"Number undiagnosed","bic",179.07049126855784,160.1767173127146,"NA",132.360135940141,"NA",139.24041382464787,"NA"
"Diagnosed but untreated","breakpoint1",NA,2012,"(2011, 2013)",2007,"(2006, 2008)",2006,"(2005, 2007)"
"Diagnosed but untreated","breakpoint2",NA,NA,"NA",2012,"(2011, 2013)",2009,"(2008, 2010)"
"Diagnosed but untreated","breakpoint3",NA,NA,"NA",NA,"NA",2012,"(NA, NA)"
"Diagnosed but untreated","rss",32388.029382619847,32388.029382619847,"NA",12459.535141058872,"NA",8835.13451669204,"NA"
