"stage","coeff","pvalue","lower","upper","model"
"infected",1.0495816574095538,0,1.0480244043314388,1.0511426865636269,"negative-binomial"
"pldhiv",1.0604656436443292,0,1.0584689207205251,1.062468770132842,"negative-binomial"
"numART",1.0725141020528761,0,1.0702161714742233,1.07482092263312,"negative-binomial"
"suppressed",1.101065065606082,1.4096354309690411e-186,1.0937400500805594,1.1084509945974579,"negative-binomial"
"undiagnosed",0.9827838359600987,8.616293289253671e-17,0.978770667773323,0.9868096360475616,"negative-binomial"
"noART",0.9965818523385281,0.6436875451201743,0.9812954523896769,1.0121042379667737,"negative-binomial"
"unsuppressed",0.9016630240823282,6.90744959054468e-21,0.8824440521344741,0.9212781314443363,"negative-binomial"
"diagnoses_exclude",0.9802833493188561,1.052117034777388e-5,0.9716033824220015,0.9890212595427216,"negative-binomial"
"diagnoses_include",1.0139115067748463,0.006121148475523127,1.0038242877337342,1.0241127947182982,"negative-binomial"
"diagnoses_os",1.0990222075041338,7.576660123196804e-12,1.0671157376799036,1.1323786376377303,"negative-binomial"
"infections",0.9576870719241662,4.306195678929969e-17,0.9478833756075707,0.9675419917116989,"negative-binomial"
"propdiagnosed",0.009003412507825327,4.9916546060215044e-18,0.00846437709682357,0.009542447918827085,"linear"
"proptreated",0.00916548776059266,3.4483718446900726e-8,0.0070607138291885335,0.011270261691996786,"linear"
"propsuppressed",0.02117868081369584,5.806650033109131e-9,0.01685147657087501,0.025505885056516672,"linear"
"propoverall",0.027948921498669264,1.631066146942844e-16,0.025911273258541014,0.029986569738797514,"linear"
"propdiagnosed",1.010190235206118,1.1585100479393897e-34,1.0085578549716263,1.0118272118976162,"negative-binomial-offset"
"proptreated",1.0115721876321169,5.053831939772622e-31,1.009607280944706,1.0135441807605852,"negative-binomial-offset"
"propsuppressed",1.0258421371285833,6.553993855808248e-21,1.0202641031003976,1.0314610804923088,"negative-binomial-offset"
"propoverall",1.0481594118591344,1.8777908309973632e-70,1.0426125674136,1.0537462943148186,"negative-binomial-offset"
"ydf",1.0501197950556362,8.792210893182978e-7,1.0291603281895152,1.0714911119023436,"negative-binomial-offset"
"cdr",1.1067931053039923,3.4964055590172397e-13,1.076405207300159,1.1379126976744502,"negative-binomial-offset"
"ipr",0.9111987660141045,5.041458548024582e-104,0.9035444941389764,0.9188823958791011,"negative-binomial-offset"
"imr",0.9052664888857044,9.859350931448216e-18,0.8829935312041277,0.9279845599759803,"negative-binomial-offset"
