"indicator","valueStart","valueEnd","breakpoints","rate_ratios"
"People living with HIV","14,140 (13,110‒15,240)","25,650 (23,080‒30,950)","2015·4 (2015·2‒2015·6)","1·04 (1·04‒1·04)"
"People living with HIV","0 (0‒0)","0 (0‒0)","2019·7 (2019·5‒2019·8)","1·026 (1·025‒1·027)"
"People living with HIV","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·009 (1·008‒1·009)"
"Diagnosed","11,820 (10,920‒12,770)","23,490 (23,080‒28,240)","2014·6 (2014·4‒2014·8)","1·047 (1·047‒1·047)"
"Diagnosed","0 (0‒0)","0 (0‒0)","2018·8 (2018·7‒2019)","1·033 (1·032‒1·033)"
"Diagnosed","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·013 (1·013‒1·014)"
"Receiving ART","6,560 (5,180‒8,030)","23,080 (23,080‒23,380)","2009 (2008·6‒2009·4)","1·073 (1·07‒1·076)"
"Receiving ART","0 (0‒0)","0 (0‒0)","2015·3 (2015·2‒2015·5)","1·105 (1·103‒1·106)"
"Receiving ART","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·032 (1·031‒1·033)"
"Suppressed virus","3,970 (3,010‒5,060)","22,520 (22,300‒23,050)","2014·8 (2014·6‒2014·9)","1·134 (1·132‒1·136)"
"Suppressed virus","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·039 (1·037‒1·041)"
"Undiagnosed","2,320 (0‒0)","2,160 (0‒0)","2019·6 (2018·6‒2020·7)","0·998 (0·997‒1)"
"Undiagnosed","0 (0‒0)","0 (0‒0)","2021·7 (2021·3‒2022·1)","1·035 (1·002‒1·069)"
"Undiagnosed","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·9 (0·871‒0·93)"
"Diagnosed but untreated","5,260 (0‒0)","410 (0‒0)","2010·6 (2010·5‒2010·7)","1·004 (1·002‒1·007)"
"Diagnosed but untreated","0 (0‒0)","0 (0‒0)","2014·6 (2014·4‒2014·9)","0·824 (0·819‒0·83)"
"Diagnosed but untreated","0 (0‒0)","0 (0‒0)","2021·6 (2021·6‒2021·7)","0·902 (0·9‒0·905)"
"Diagnosed but untreated","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·47 (0·456‒0·485)"
"On ART but unsuppressed","2,590 (0‒0)","550 (0‒0)","0 (0‒0)","0·909 (0·9‒0·918)"
"Diagnoses excluding OS","780 (0‒0)","620 (0‒0)","2015·3 (2014·1‒2016·4)","1·016 (1·006‒1·026)"
