"indicator","breakpoints","breakpoints_low","breakpoints_up","rate_ratio","rate_ratio_low","rate_ratio_up","valueStart","valueStart_low","valueStart_up","valueEnd","valueEnd_low","valueEnd_up"
"People living with HIV",2015.43,2015.25,2015.61,1.0399191814609599,1.0397434499690223,1.0400949426540294,14137.568130723072,13105.804644303593,15242.658525890534,25652.94444880145,23077.7388888889,30950.567682047797
"People living with HIV",2019.66,2019.51,2019.82,1.026243450714554,1.0254391911601344,1.027049368104555,0,0,0,0,0,0
"People living with HIV",0,0,0,1.0086501986049974,1.0078873424895922,1.0094136321157403,0,0,0,0,0,0
"Diagnosed",2014.59,2014.42,2014.76,1.0468985172313832,1.046690205154193,1.0471079178741955,11820.534491972276,10919.86275358743,12765.853911073676,23489.996664712475,23077.7388888889,28244.94817579774
"Diagnosed",2018.81,2018.67,2018.96,1.0325206028622806,1.0316980117878858,1.033342816459757,0,0,0,0,0,0
"Diagnosed",0,0,0,1.0134547108287226,1.012912657570605,1.0139970541629217,0,0,0,0,0,0
"Receiving ART",2009,2008.56,2009.44,1.0728879163595286,1.0696591004494633,1.07612647860109,6561.30459559572,5179.0588941946,8033.33982441192,23077.7388888889,23077.7388888889,23383.4115086286
"Receiving ART",2015.32,2015.18,2015.46,1.1045102234340252,1.1026903869431444,1.1063319569783805,0,0,0,0,0,0
"Receiving ART",0,0,0,1.0321912813195464,1.0308874157565926,1.033496796010601,0,0,0,0,0,0
"Suppressed virus",2014.75,2014.57,2014.93,1.1340326536536183,1.1322196521957124,1.1358371998069468,3971.31593943951,3005.80901192372,5062.19995169256,22524.6776083273,22296.3582844389,23054.3682326141
"Suppressed virus",0,0,0,1.0391707091326803,1.0370363690081967,1.0413084006657043,0,0,0,0,0,0
"Undiagnosed",2019.62,2018.58,2020.67,0.9983349876735665,0.9970946287837293,0.9995769794984131,2317.033638750796,0,0,2162.947784088974,0,0
"Undiagnosed",2021.66,2021.26,2022.06,1.035234529915664,1.0024800702990202,1.069060259044455,0,0,0,0,0,0
"Undiagnosed",0,0,0,0.8997484992389432,0.8705674835787962,0.9299113685600697,0,0,0,0,0,0
"Diagnosed but untreated",2010.57,2010.47,2010.68,1.0043164893181151,1.0015415870254998,1.0070989791314846,5259.229896376556,0,0,412.2577758235748,0,0
"Diagnosed but untreated",2014.61,2014.36,2014.86,0.8243335807395697,0.8187798783969114,0.8299249532919202,0,0,0,0,0,0
"Diagnosed but untreated",2021.6,2021.55,2021.65,0.9023525334187043,0.899523590228931,0.90519942539982,0,0,0,0,0,0
"Diagnosed but untreated",0,0,0,0.47033973734032364,0.4562793716218556,0.4848285285206264,0,0,0,0,0,0
"On ART but unsuppressed",0,0,0,0.9091103356192625,0.899946356591396,0.9183578604154281,2589.9886561562093,0,0,553.0612805616001,0,0
"Diagnoses excluding OS",2015.29,2014.14,2016.45,1.0160910893402664,1.0062130212429066,1.026064899888502,775,0,0,619,0,0
"Diagnoses excluding OS",0,0,0,0.9174024740651466,0.9006396913204819,0.9344753781992204,0,0,0,0,0,0
"Diagnoses including OS",2010.94,2009.51,2012.37,1.0361013839450073,1.0294328299048283,1.042813136153823,790,0,0,1086,0,0
"Diagnoses including OS",2018.8,2018.63,2018.98,1.0081167637558925,1.0031259757038051,1.0131324834675448,0,0,0,0,0,0
"Diagnoses including OS",2021,2020.83,2021.16,0.752555899551377,0.7172936274273319,0.7895516707444294,0,0,0,0,0,0
"Diagnoses including OS",0,0,0,1.3338640089758516,1.300566579622734,1.3680002473339317,0,0,0,0,0,0
"Diagnoses overseas",2008.27,2007.54,2009,1.6218378799681403,1.4634987894667633,1.7973259913460944,15,0,0,467,0,0
"Diagnoses overseas",0,0,0,1.084892604428691,1.0689405310003375,1.1010816336538767,0,0,0,0,0,0
"Annual new infections",2012.44,2012.24,2012.64,1.011080943861382,1.0097241755081043,1.0124387253556504,800,776,823,360,198,513
