"year","indicator","value"
2004,"infected","14,140 (13,110‒15,240)"
2005,"infected","14,820 (13,680‒16,030)"
2006,"infected","15,490 (14,240‒16,810)"
2007,"infected","16,160 (14,790‒17,600)"
2008,"infected","16,680 (15,180‒18,230)"
2009,"infected","17,400 (15,750‒19,050)"
2010,"infected","18,090 (16,290‒19,880)"
2011,"infected","18,800 (16,860‒20,730)"
2012,"infected","19,600 (17,510‒21,700)"
2013,"infected","20,290 (18,040‒22,560)"
2014,"infected","21,020 (18,620‒23,450)"
2015,"infected","21,870 (19,330‒24,430)"
2016,"infected","22,630 (19,920‒25,400)"
2017,"infected","23,290 (20,350‒26,330)"
2018,"infected","23,860 (20,690‒27,180)"
2019,"infected","24,480 (21,030‒28,130)"
2020,"infected","24,980 (21,320‒28,870)"
2021,"infected","25,230 (21,410‒29,450)"
2022,"infected","25,390 (22,070‒30,130)"
2023,"infected","25,650 (23,080‒30,950)"
2004,"pldhiv","11,820 (10,920‒12,770)"
2005,"pldhiv","12,450 (11,440‒13,510)"
2006,"pldhiv","13,090 (11,960‒14,270)"
2007,"pldhiv","13,740 (12,480‒15,040)"
2008,"pldhiv","14,280 (12,880‒15,700)"
2009,"pldhiv","15,000 (13,480‒16,560)"
2010,"pldhiv","15,700 (14,040‒17,400)"
2011,"pldhiv","16,440 (14,630‒18,280)"
2012,"pldhiv","17,260 (15,310‒19,250)"
2013,"pldhiv","17,970 (15,880‒20,110)"
2014,"pldhiv","18,700 (16,460‒21,000)"
2015,"pldhiv","19,550 (17,210‒22,000)"
2016,"pldhiv","20,300 (18,100‒22,960)"
2017,"pldhiv","20,950 (19,050‒23,870)"
2018,"pldhiv","21,520 (19,630‒24,720)"
2019,"pldhiv","22,150 (20,480‒25,660)"
2020,"pldhiv","22,630 (21,170‒26,340)"
2021,"pldhiv","22,790 (21,410‒26,760)"
2022,"pldhiv","22,980 (22,070‒27,340)"
2023,"pldhiv","23,490 (23,080‒28,240)"
2004,"numART","6,560 (5,180‒8,030)"
2005,"numART","7,300 (5,510‒8,490)"
2006,"numART","8,170 (5,950‒9,030)"
2007,"numART","8,580 (6,500‒9,650)"
2008,"numART","8,810 (7,210‒10,370)"
2009,"numART","9,410 (8,090‒11,170)"
2010,"numART","10,710 (9,140‒12,060)"
2011,"numART","11,760 (10,360‒13,040)"
2012,"numART","12,940 (11,710‒14,080)"
2013,"numART","14,720 (13,930‒15,520)"
2014,"numART","16,000 (15,960‒16,260)"
2015,"numART","17,260 (17,210‒17,530)"
2016,"numART","18,160 (18,100‒18,480)"
2017,"numART","19,130 (19,050‒19,440)"
2018,"numART","19,700 (19,630‒20,050)"
2019,"numART","20,580 (20,480‒20,910)"
2020,"numART","21,210 (21,170‒21,560)"
2021,"numART","21,580 (21,410‒21,750)"
2022,"numART","22,110 (22,070‒22,420)"
2023,"numART","23,080 (23,080‒23,380)"
2004,"suppressed","3,970 (3,010‒5,060)"
2005,"suppressed","4,860 (3,540‒5,860)"
2006,"suppressed","6,020 (4,250‒6,850)"
2007,"suppressed","6,580 (4,850‒7,610)"
2008,"suppressed","7,090 (5,660‒8,550)"
2009,"suppressed","7,790 (6,540‒9,450)"
2010,"suppressed","9,130 (7,630‒10,490)"
2011,"suppressed","10,240 (8,860‒11,560)"
2012,"suppressed","11,610 (10,350‒12,830)"
2013,"suppressed","13,650 (12,740‒14,580)"
2014,"suppressed","14,950 (14,720‒15,380)"
2015,"suppressed","16,370 (16,130‒16,810)"
2016,"suppressed","17,220 (16,980‒17,730)"
2017,"suppressed","18,500 (18,250‒18,970)"
2018,"suppressed","19,180 (18,940‒19,680)"
2019,"suppressed","19,950 (19,680‒20,460)"
2020,"suppressed","20,450 (20,190‒21,020)"
2021,"suppressed","21,110 (20,750‒21,470)"
2022,"suppressed","21,760 (21,550‒22,230)"
2023,"suppressed","22,520 (22,300‒23,050)"
2004,"undiagnosed","2,320 (0‒0)"
2005,"undiagnosed","2,360 (0‒0)"
2006,"undiagnosed","2,400 (0‒0)"
2007,"undiagnosed","2,420 (0‒0)"
2008,"undiagnosed","2,410 (0‒0)"
2009,"undiagnosed","2,400 (0‒0)"
2010,"undiagnosed","2,380 (0‒0)"
2011,"undiagnosed","2,360 (0‒0)"
2012,"undiagnosed","2,340 (0‒0)"
2013,"undiagnosed","2,320 (0‒0)"
2014,"undiagnosed","2,310 (0‒0)"
2015,"undiagnosed","2,320 (0‒0)"
2016,"undiagnosed","2,340 (0‒0)"
2017,"undiagnosed","2,340 (0‒0)"
2018,"undiagnosed","2,340 (0‒0)"
2019,"undiagnosed","2,330 (0‒0)"
2020,"undiagnosed","2,350 (0‒0)"
2021,"undiagnosed","2,440 (0‒0)"
2022,"undiagnosed","2,400 (0‒0)"
2023,"undiagnosed","2,160 (0‒0)"
2004,"noART","5,260 (0‒0)"
2005,"noART","5,160 (0‒0)"
2006,"noART","4,920 (0‒0)"
2007,"noART","5,160 (0‒0)"
2008,"noART","5,470 (0‒0)"
2009,"noART","5,590 (0‒0)"
2010,"noART","5,000 (0‒0)"
2011,"noART","4,680 (0‒0)"
2012,"noART","4,320 (0‒0)"
2013,"noART","3,250 (0‒0)"
2014,"noART","2,710 (0‒0)"
2015,"noART","2,290 (0‒0)"
2016,"noART","2,140 (0‒0)"
2017,"noART","1,820 (0‒0)"
2018,"noART","1,820 (0‒0)"
2019,"noART","1,570 (0‒0)"
2020,"noART","1,420 (0‒0)"
2021,"noART","1,220 (0‒0)"
2022,"noART","880 (0‒0)"
2023,"noART","410 (0‒0)"
2004,"unsuppressed","2,590 (0‒0)"
2005,"unsuppressed","2,440 (0‒0)"
2006,"unsuppressed","2,160 (0‒0)"
2007,"unsuppressed","2,000 (0‒0)"
2008,"unsuppressed","1,720 (0‒0)"
2009,"unsuppressed","1,630 (0‒0)"
2010,"unsuppressed","1,580 (0‒0)"
2011,"unsuppressed","1,510 (0‒0)"
2012,"unsuppressed","1,330 (0‒0)"
2013,"unsuppressed","1,080 (0‒0)"
2014,"unsuppressed","1,050 (0‒0)"
2015,"unsuppressed","890 (0‒0)"
2016,"unsuppressed","930 (0‒0)"
2017,"unsuppressed","640 (0‒0)"
2018,"unsuppressed","530 (0‒0)"
2019,"unsuppressed","630 (0‒0)"
2020,"unsuppressed","760 (0‒0)"
2021,"unsuppressed","470 (0‒0)"
2022,"unsuppressed","350 (0‒0)"
2023,"unsuppressed","550 (0‒0)"
2004,"diagnoses_exclude","780 (0‒0)"
2005,"diagnoses_exclude","860 (0‒0)"
2006,"diagnoses_exclude","840 (0‒0)"
2007,"diagnoses_exclude","840 (0‒0)"
2008,"diagnoses_exclude","790 (0‒0)"
2009,"diagnoses_exclude","830 (0‒0)"
2010,"diagnoses_exclude","800 (0‒0)"
2011,"diagnoses_exclude","880 (0‒0)"
2012,"diagnoses_exclude","960 (0‒0)"
2013,"diagnoses_exclude","930 (0‒0)"
2014,"diagnoses_exclude","970 (0‒0)"
