"year","stage","value","lower","upper"
2004,"infected",14137.568130723072,13105.804644303593,15242.658525890534
2005,"infected",14815.678856779645,13681.040929737374,16028.344058970377
2006,"infected",15489.411768363336,14242.751792878857,16813.54645314235
2007,"infected",16158.444312288722,14792.67727362972,17595.620835714682
2008,"infected",16680.72973831822,15178.493888408564,18228.43166453088
2009,"infected",17403.317711491087,15747.592053222374,19053.39429023249
2010,"infected",18088.666791232372,16290.13072840917,19879.11980787155
2011,"infected",18796.777080777985,16863.56260143728,20725.29226900168
2012,"infected",19599.603032019404,17513.031933556264,21701.737269068584
2013,"infected",20287.446274273683,18037.016546765917,22555.502602498414
2014,"infected",21018.861800754472,18615.026139874702,23445.362011144003
2015,"infected",21870.146312766687,19325.604627059325,24428.855263165085
2016,"infected",22632.664863544203,19915.658799463177,25398.557835809697
2017,"infected",23292.138774965417,20347.461517910808,26330.7825504947
2018,"infected",23860.204912362085,20687.78255620898,27183.24878991076
2019,"infected",24476.705480144607,21026.502203056774,28127.941966613562
2020,"infected",24979.18846284791,21321.255765168877,28871.224292966857
2021,"infected",25229.43172402217,21405.7666666667,29445.84827250882
2022,"infected",25387.155496730407,22070.3333333333,30131.458526864317
2023,"infected",25652.94444880145,23077.7388888889,30950.567682047797
2004,"pldhiv",11820.534491972276,10919.86275358743,12765.853911073676
2005,"pldhiv",12454.77585136487,11439.131612574529,13508.576759154204
2006,"pldhiv",13093.17907783199,11955.24854503033,14265.353803471888
2007,"pldhiv",13740.908444060668,12475.563773437352,15037.61162040437
2008,"pldhiv",14275.50083496302,12881.679441007884,15699.528500449524
2009,"pldhiv",15003.148555515649,13478.799531508908,16557.012843706696
2010,"pldhiv",15703.705692283937,14038.523278761691,17403.16173411812
2011,"pldhiv",16436.275194578328,14631.687221219072,18280.678990557677
2012,"pldhiv",17257.961152173204,15313.6521509815,19246.44779056007
2013,"pldhiv",17968.08814400117,15877.798193611652,20109.679069280617
2014,"pldhiv",18704.22279683945,16464.507973419,21004.505737075895
2015,"pldhiv",19550.09541486818,17206.7777777778,22003.328442121896
2016,"pldhiv",20297.622356974145,18100.7277777778,22963.37846566134
2017,"pldhiv",20949.95496631344,19052.4611111111,23872.57988713911
2018,"pldhiv",21522.639717697824,19625.2055555556,24723.042382205906
2019,"pldhiv",22145.429146159557,20480.9111111111,25661.59907325265
2020,"pldhiv",22625.115005381616,21167.7666666667,26339.672279899783
2021,"pldhiv",22792.05638239139,21405.7666666667,26760.704281909097
2022,"pldhiv",22983.55340280418,22070.3333333333,27339.040466243317
2023,"pldhiv",23489.996664712475,23077.7388888889,28244.94817579774
2004,"numART",6561.30459559572,5179.0588941946,8033.33982441192
2005,"numART",7299.6456628811,5512.81058522052,8490.76231927515
2006,"numART",8171.83803476208,5945.98450090627,9028.89134677728
2007,"numART",8577.70973256808,6504.80617648737,9653.9456459501
2008,"numART",8808.27939919404,7212.67595103262,10369.3038957627
2009,"numART",9412.76916188384,8088.14523688206,11174.2808463253
2010,"numART",10708.1043676476,9139.40794428154,12063.0433377408
2011,"numART",11758.286002262,10357.9364754088,13035.6182987317
2012,"numART",12936.8220071913,11713.8181942024,14080.5227514049
2013,"numART",14721.9611111111,13927.4387980478,15523.5481245148
2014,"numART",15996.9611111111,15958.5388888889,16261.418991567
2015,"numART",17258.5,17206.7777777778,17525.9357228196
2016,"numART",18155.4055555556,18100.7277777778,18481.8682147316
2017,"numART",19134.4777777778,19052.4611111111,19444.588083078
2018,"numART",19704.2666666667,19625.2055555556,20053.2329042904
2019,"numART",20578.4444444444,20480.9111111111,20913.8981981982
2020,"numART",21209.8833333333,21167.7666666667,21559.4695142956
2021,"numART",21575.7111111111,21405.7666666667,21751.3210759278
2022,"numART",22107.2777777778,22070.3333333333,22417.8293949899
2023,"numART",23077.7388888889,23077.7388888889,23383.4115086286
2004,"suppressed",3971.31593943951,3005.80901192372,5062.19995169256
2005,"suppressed",4861.51485561576,3539.25240472128,5858.4685074701
2006,"suppressed",6016.56923370899,4246.39412875429,6847.07270488771
2007,"suppressed",6582.37504494016,4854.36091355849,7612.03844466801
2008,"suppressed",7086.02157417591,5660.67689479434,8545.5743944201
2009,"suppressed",7787.24730537397,6541.76521874488,9451.25587719279
2010,"suppressed",9128.43238112647,7634.95678949324,10489.6500289571
2011,"suppressed",10243.4147995166,8862.85922182147,11558.3244578634
2012,"suppressed",11607.4027291042,10346.215783168,12830.5432820992
2013,"suppressed",13645.1454184503,12740.7927919661,14575.2927421869
2014,"suppressed",14947.2185991741,14724.6759705246,15384.5064246924
2015,"suppressed",16367.4649661955,16133.4057760445,16809.5322225108
2016,"suppressed",17222.3889459895,16977.9186413859,17728.7325121435
2017,"suppressed",18496.2678951342,18250.3453879498,18966.105942837
2018,"suppressed",19176.0021447721,18938.2101496085,19679.9713663921
2019,"suppressed",19951.9018192753,19677.9410854419,20460.3317499737
2020,"suppressed",20454.3149703138,20189.7454283695,21019.5450977043
2021,"suppressed",21107.136931008,20748.7454556361,21474.1725758464
2022,"suppressed",21755.321116639,21548.1734308701,22234.4091405183
2023,"suppressed",22524.6776083273,22296.3582844389,23054.3682326141
2004,"undiagnosed",2317.033638750796,0,0
2005,"undiagnosed",2360.903005414775,0,0
2006,"undiagnosed",2396.2326905313457,0,0
2007,"undiagnosed",2417.535868228055,0,0
2008,"undiagnosed",2405.228903355199,0,0
2009,"undiagnosed",2400.169155975438,0,0
2010,"undiagnosed",2384.9610989484354,0,0
2011,"undiagnosed",2360.5018861996577,0,0
2012,"undiagnosed",2341.6418798462,0,0
2013,"undiagnosed",2319.3581302725142,0,0
2014,"undiagnosed",2314.639003915021,0,0
2015,"undiagnosed",2320.0508978985054,0,0
2016,"undiagnosed",2335.0425065700583,0,0
2017,"undiagnosed",2342.1838086519783,0,0
2018,"undiagnosed",2337.565194664261,0,0
2019,"undiagnosed",2331.27633398505,0,0
2020,"undiagnosed",2354.073457466293,0,0
2021,"undiagnosed",2437.375341630781,0,0
2022,"undiagnosed",2403.602093926227,0,0
2023,"undiagnosed",2162.947784088974,0,0
2004,"noART",5259.229896376556,0,0
2005,"noART",5155.130188483769,0,0
2006,"noART",4921.3410430699105,0,0
2007,"noART",5163.198711492587,0,0
2008,"noART",5467.221435768981,0,0
2009,"noART",5590.379393631809,0,0
2010,"noART",4995.601324636336,0,0
2011,"noART",4677.989192316327,0,0
2012,"noART",4321.139144981904,0,0
2013,"noART",3246.127032890068,0,0
2014,"noART",2707.26168572835,0,0
2015,"noART",2291.5954148681813,0,0
2016,"noART",2142.2168014185445,0,0
2017,"noART",1815.4771885356386,0,0
2018,"noART",1818.3730510311252,0,0
2019,"noART",1566.984701715155,0,0
2020,"noART",1415.2316720483177,0,0
2021,"noART",1216.34527128029,0,0
2022,"noART",876.275625026381,0,0
2023,"noART",412.2577758235748,0,0
2004,"unsuppressed",2589.9886561562093,0,0
2005,"unsuppressed",2438.13080726534,0,0
2006,"unsuppressed",2155.268801053089,0,0
2007,"unsuppressed",1995.334687627921,0,0
2008,"unsuppressed",1722.2578250181296,0,0
2009,"unsuppressed",1625.5218565098694,0,0
2010,"unsuppressed",1579.6719865211307,0,0
2011,"unsuppressed",1514.8712027454003,0,0
2012,"unsuppressed",1329.4192780870999,0,0
2013,"unsuppressed",1076.8156926608008,0,0
2014,"unsuppressed",1049.742511937,0,0
2015,"unsuppressed",891.0350338044991,0,0
2016,"unsuppressed",933.0166095661007,0,0
2017,"unsuppressed",638.2098826436013,0,0
2018,"unsuppressed",528.2645218945981,0,0
2019,"unsuppressed",626.5426251691024,0,0
2020,"unsuppressed",755.5683630194981,0,0
2021,"unsuppressed",468.57418010309993,0,0
2022,"unsuppressed",351.9566611388,0,0
2023,"unsuppressed",553.0612805616001,0,0
2004,"diagnoses_exclude",775,0,0
2005,"diagnoses_exclude",864,0,0
2006,"diagnoses_exclude",845,0,0
2007,"diagnoses_exclude",843,0,0
2008,"diagnoses_exclude",790,0,0
2009,"diagnoses_exclude",827,0,0
2010,"diagnoses_exclude",801,0,0
2011,"diagnoses_exclude",881,0,0
2012,"diagnoses_exclude",965,0,0
2013,"diagnoses_exclude",927,0,0
2014,"diagnoses_exclude",974,0,0
2015,"diagnoses_exclude",919,0,0
2016,"diagnoses_exclude",913,0,0
2017,"diagnoses_exclude",845,0,0
2018,"diagnoses_exclude",755,0,0
2019,"diagnoses_exclude",791,0,0
2020,"diagnoses_exclude",540,0,0
2021,"diagnoses_exclude",475,0,0
2022,"diagnoses_exclude",460,0,0
2023,"diagnoses_exclude",619,0,0
2004,"diagnoses_include",790,0,0
2005,"diagnoses_include",883,0,0
2006,"diagnoses_include",866,0,0
2007,"diagnoses_include",915,0,0
2008,"diagnoses_include",872,0,0
2009,"diagnoses_include",929,0,0
2010,"diagnoses_include",909,0,0
2011,"diagnoses_include",1005,0,0
