"step","indicator","break0","break1","break1ci","break2","break2ci","break3","break3ci"
"Number diagnosed","breakpoint1",NA,2018,"(2017, 2019)",2007,"(NA, NA)",2009,"(2008, 2010)"
"Number diagnosed","breakpoint2",NA,NA,"NA",2018,"(2017, 2019)",2016,"(2015, 2017)"
"Number diagnosed","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(2019, 2021)"
"Number diagnosed","rss",269190.72869189276,269190.72869189276,"NA",89497.48968153793,"NA",32689.42914258631,"NA"
"Number diagnosed","bic",302.43721573011436,264.8807982171581,"NA",251.84380343146532,"NA",240.68782387599953,"NA"
"Number suppressed","breakpoint1",NA,2012,"(2011, 2013)",2008,"(2007, 2009)",2008,"(2007, 2009)"
"Number suppressed","breakpoint2",NA,NA,"NA",2016,"(2015, 2017)",2012,"(2011, 2013)"
"Number suppressed","breakpoint3",NA,NA,"NA",NA,"NA",2016,"(2015, 2017)"
"Number suppressed","rss",2936532.473747881,2936532.473747881,"NA",676513.3454880432,"NA",279043.29062581586,"NA"
"Number suppressed","bic",330.22062568611165,312.67208974925325,"NA",292.29863539216205,"NA",283.57412738576056,"NA"
"Diagnosed but untreated","breakpoint1",NA,2012,"(2011, 2014)",2007,"(2005, 2008)",2006,"(2005, 2007)"
"Diagnosed but untreated","breakpoint2",NA,NA,"NA",2012,"(2011, 2013)",2009,"(2008, 2010)"
"Diagnosed but untreated","breakpoint3",NA,NA,"NA",NA,"NA",2012,"(NA, NA)"
"Diagnosed but untreated","rss",1109607.4895339601,1109607.4895339601,"NA",393968.46290427627,"NA",250295.84145674552,"NA"
"Diagnosed but untreated","bic",313.7311798581734,293.2076274528354,"NA",281.48500915281835,"NA",281.3996604006732,"NA"
"Diagnoses excluding OS","breakpoint1",NA,2013,"(2012, 2014)",2011,"(2009, 2012)",2007,"(2004, 2008)"
"Diagnoses excluding OS","breakpoint2",NA,NA,"NA",2019,"(2017, 2020)",2013,"(2012, 2014)"
"Diagnoses excluding OS","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2017, 2020)"
"Diagnoses excluding OS","rss",78783.45184848725,78783.45184848725,"NA",31311.358574416183,"NA",25559.88072511554,"NA"
"Diagnoses excluding OS","bic",257.81249628133764,240.3064545358256,"NA",230.839210408084,"NA",235.76726798003605,"NA"
"Diagnoses including OS","breakpoint1",NA,2020,"(2019, 2021)",2006,"(NA, NA)",2006,"(NA, NA)"
