"stage","coeff","pvalue","lower","upper","model"
"infected",1.0332973108984238,1.0393551879471203e-190,1.0310221906259873,1.0355776545078192,"negative-binomial"
"pldhiv",1.0381679479536043,1.0335653259761284e-174,1.0354290463988243,1.0409143469856843,"negative-binomial"
"numART",1.0720044213759035,1.5083714475962013e-119,1.065555917441302,1.0784910634720837,"negative-binomial"
"suppressed",1.0947252559083636,9.291061094286965e-77,1.083716148187927,1.1058449900016307,"negative-binomial"
"undiagnosed",0.998630547535264,0.12123476962462548,0.996900694768292,1.0003633487969974,"negative-binomial"
"noART",0.892371556242824,1.5073407525473586e-34,0.8748170987267857,0.9102814861406867,"negative-binomial"
"unsuppressed",0.9091103356192625,1.0514314396008994e-75,0.899946356591396,0.9183578604154281,"negative-binomial"
"diagnoses_exclude",0.9793048633779353,0.0015798227272959535,0.965934888811019,0.9928485614425708,"negative-binomial"
"diagnoses_include",1.0013109301418879,0.829880204687933,0.9889231183681243,1.0138551097850323,"negative-binomial"
"diagnoses_os",1.1343647680009066,4.951641827427621e-18,1.0992218383153103,1.171130775669935,"negative-binomial"
"infections",0.9668473707856187,2.3768920665085955e-9,0.9555357885427307,0.9782803968616118,"negative-binomial"
"propdiagnosed",0.0041173182399947585,2.1249352571886133e-13,0.003664486135946599,0.004570150344042918,"linear"
"proptreated",0.02435799164211199,3.0306815622868297e-13,0.021623103731620713,0.02709287955260327,"linear"
"propsuppressed",0.017383162412071804,1.5501171987658395e-8,0.01359715367317782,0.02116917115096579,"linear"
"propoverall",0.03272216765243071,7.193472137418759e-14,0.02934243214133981,0.03610190316352161,"linear"
"propdiagnosed",1.0045242243421053,1.116150040762642e-52,1.0039426644165879,1.0051062839808,"negative-binomial-offset"
"proptreated",1.0323865142136488,6.776204385604504e-67,1.0286090695771153,1.0361783115407273,"negative-binomial-offset"
"propsuppressed",1.0209132335068771,5.503543427422678e-19,1.0161567563269733,1.0256938661110082,"negative-binomial-offset"
"propoverall",1.0592363313123314,5.689613442115653e-50,1.0508827552995879,1.0676571450345609,"negative-binomial-offset"
"ydf",0.9919583379361002,0.1648301097716398,0.9802382680626155,1.0038085645343755,"negative-binomial-offset"
"cdr",1.0230500740875041,2.4242693323369612e-5,1.0123591390373474,1.0338477845172824,"negative-binomial-offset"
"ipr",0.9337571721380808,1.6049013561469795e-47,0.9246978109197455,0.9428956080002634,"negative-binomial-offset"
"imr",0.9421527446859216,9.98762061714954e-7,0.9173631511292158,0.9675245292121726,"negative-binomial-offset"
