stage,year,population,value,lower,upper
infected,1980,nsw,323.7949881988709,183.11209,454.89696583724066
infected,1981,nsw,485.04405599609737,275.98606611267684,726.6932254520183
infected,1982,nsw,777.554509114383,170.2127661329447,1444.4732608053785
infected,1983,nsw,1234.3970180517936,301.5633737640246,2256.23144400889
infected,1984,nsw,2843.2264687469656,2447.4597949241524,3138.1881673626567
infected,1985,nsw,6074.1604617889625,4375.227450903196,8370.436816613215
infected,1986,nsw,7607.942798412777,5563.361110022186,10374.901129605045
infected,1987,nsw,8623.816836685746,6581.031416925928,11361.5748316533
infected,1988,nsw,8836.843568544204,7129.880625465365,11232.207654746282
infected,1989,nsw,8934.945711020444,7451.590870271406,10978.27812776307
infected,1990,nsw,8697.911031723434,7460.23116071925,10381.144234960915
infected,1991,nsw,8324.95033908806,7291.310571452765,9743.369097013054
infected,1992,nsw,8001.627122609554,7093.014973742649,9236.76283202101
infected,1993,nsw,7658.166473240083,6836.47380061166,8728.667250360453
infected,1994,nsw,7220.910908835836,6470.52115084857,8220.142335005428
infected,1995,nsw,6916.618743709885,6222.600341270072,7843.896098958081
infected,1996,nsw,6647.868027439149,5981.177743828857,7486.198449070619
infected,1997,nsw,6440.777832459613,5825.358450183841,7206.2901632833955
infected,1998,nsw,6448.674038746287,5848.969279516968,7174.406118670097
infected,1999,nsw,6558.063440475072,5961.837254956667,7267.337886794515
infected,2e3,nsw,6645.5284664961455,6053.29237531692,7348.73891912148
infected,2001,nsw,6736.445043978998,6144.315685997425,7434.549434127777
infected,2002,nsw,6930.590545114458,6326.898559435349,7638.766503396135
infected,2003,nsw,7127.703020239087,6508.610362315847,7833.724530939176
infected,2004,nsw,7337.539816840539,6688.813932678422,8056.421223022871
infected,2005,nsw,7553.220048649475,6796.370884215907,8334.243062907362
infected,2006,nsw,7793.5068782025,6936.314922478269,8650.559008935303
infected,2007,nsw,8049.73441572461,7099.083002632872,8978.96989990145
infected,2008,nsw,8209.07073657168,7167.200949466024,9194.928873306171
infected,2009,nsw,8440.857592209279,7329.239770461661,9479.004437470932
infected,2010,nsw,8632.966475738991,7452.335392164576,9718.512105418042
infected,2011,nsw,8855.565246134864,7587.592285224054,10003.546487428297
infected,2012,nsw,9159.662503928574,7817.798333677584,10381.807583290716
infected,2013,nsw,9359.40946119106,7920.630200718415,10650.919496851835
infected,2014,nsw,9615.022569703513,8095.880776485597,10976.376799943013
infected,2015,nsw,9869.612720571879,8259.814569252765,11348.721507786418
infected,2016,nsw,10109.944371387684,8398.125850993798,11722.925433956872
pldhiv,1980,nsw,1,1,1
pldhiv,1981,nsw,1.979576163624081,1.9688928752298238,1.9902594520183332
pldhiv,1982,nsw,3.01508000077709,2.871291917854081,3.1600468053784088
pldhiv,1983,nsw,8.888465015339351,8.678059050469958,9.101056008889731
pldhiv,1984,nsw,280.6864863389578,280.15379641374824,281.2259933626568
pldhiv,1985,nsw,1335.9121915138044,1326.0538369031958,1345.7827601363851
pldhiv,1986,nsw,2338.59896217438,2294.9300480221855,2382.3785864861215
pldhiv,1987,nsw,3395.489836269038,3315.6363799259284,3475.912598997467
pldhiv,1988,nsw,4186.221828882152,4063.750095465365,4310.049566255538
pldhiv,1989,nsw,4861.149333720435,4701.612683271406,5023.129491082465
pldhiv,1990,nsw,5265.169874403329,5067.7300617192495,5466.824123848348
pldhiv,1991,nsw,5494.868557901643,5261.372113452765,5735.000833899299
pldhiv,1992,nsw,5650.374567239862,5385.084420742649,5924.959112224603
pldhiv,1993,nsw,5667.401110881445,5373.60270561166,5973.213007320763
pldhiv,1994,nsw,5513.469935676662,5196.45869684857,5845.434046995162
pldhiv,1995,nsw,5416.323415332763,5082.492799270072,5768.090886644098
pldhiv,1996,nsw,5311.062697801572,4958.0927258288575,5684.698842654577
pldhiv,1997,nsw,5241.470589468368,4872.2481891838415,5633.829079259258
pldhiv,1998,nsw,5333.40603447283,4949.395990516968,5742.586429259098
pldhiv,1999,nsw,5494.20332167502,5094.842590956667,5920.795523844566
pldhiv,2e3,nsw,5619.802737867085,5202.62646531692,6066.530732050996
pldhiv,2001,nsw,5739.570735657357,5304.138211061569,6207.257805162175
pldhiv,2002,nsw,5948.142404518901,5493.373329829802,6438.073177960681
pldhiv,2003,nsw,6155.658221319277,5678.217119572214,6671.220648255054
pldhiv,2004,nsw,6374.553160210273,5872.9389637616205,6917.607251198294
pldhiv,2005,nsw,6597.658109769289,6009.168381410628,7205.160150481098
pldhiv,2006,nsw,6844.250021559795,6172.1534541094,7513.797959646893
pldhiv,2007,nsw,7105.588025214618,6354.106084226539,7833.353186819313
pldhiv,2008,nsw,7277.464620114268,6448.3567111740285,8066.323350400917
pldhiv,2009,nsw,7517.043979307753,6615.9405658248825,8363.805631965317
pldhiv,2010,nsw,7718.576258241291,6742.098168996431,8630.292305592051
pldhiv,2011,nsw,7949.089949721606,6900.272741972487,8925.183382892783
pldhiv,2012,nsw,8255.334878074236,7140.234520954732,9288.03805916537
pldhiv,2013,nsw,8463.346378263828,7277.214360480174,9559.86390721837
pldhiv,2014,nsw,8723.216893012506,7475.009460830687,9869.763846403166
pldhiv,2015,nsw,8981.366813894967,7667.9167528089865,10182.521211285532
pldhiv,2016,nsw,9226.587245103285,7842.8229579241815,10488.940174860207
retained,2013,nsw,8040.179059350637,6651.37392547888,9445.14554033175
retained,2014,nsw,8287.056048361881,6832.158647199249,9751.326680246328
retained,2015,nsw,8532.298473200219,7008.475912067414,10060.330956750106
retained,2016,nsw,8765.25788284812,7168.340183542702,10363.072892761884
numART,2e3,nsw,2697.53940769677,1651.31038210089,3829.11776888201
numART,2001,nsw,2930.37691793917,1741.40208460521,3984.52047431487
numART,2002,nsw,2952.88165870609,1850.97226187634,4158.62921481839
numART,2003,nsw,3104.35587540654,1983.98746758395,4353.19512876279
numART,2004,nsw,3288.28885282851,2145.1042851655,4569.99859064974
numART,2005,nsw,3658.31872505388,2339.73286132606,4810.8097849167
numART,2006,nsw,4095.43003610373,2574.07733816207,5077.33886319145
numART,2007,nsw,4298.83826995862,2855.13570265732,5371.17525062159
numART,2008,nsw,4414.39145812724,3190.63579695481,5693.71637806253
numART,2009,nsw,4717.33989152813,3588.87863994672,6054.12064595591
numART,2010,nsw,5366.51510595861,4058.45645684652,6447.55072452961
numART,2011,nsw,5496.3501488447,4607.81358030901,6873.40371837351
numART,2012,nsw,6262.29384968195,5244.62734984194,7331.50852339241
numART,2013,nsw,7114.0220661986,6565.06940324369,7666.70159872702
numART,2014,nsw,7565.05516549649,6998.28420693098,8135.68507039157
numART,2015,nsw,8100,8079,8129
numART,2016,nsw,8483,8462,8512
suppressed,2003,nsw,1192.4542415134,723.021496064463,1757.89584881492
suppressed,2004,nsw,1936.27995969129,1220.2687196488,2782.30752116105
suppressed,2005,nsw,2475.02233331609,1538.47698444576,3346.15355178804
suppressed,2006,nsw,2933.60591238636,1797.39033092133,3728.58569063758
suppressed,2007,nsw,3121.52234969608,2024.53463655179,3991.73906491888
suppressed,2008,nsw,3320.04723956125,2348.10784056358,4374.22725250141
suppressed,2009,nsw,3787.39242601891,2829.07122859644,4948.90404911986
suppressed,2010,nsw,4380.93738133682,3257.08077407113,5352.44599290481
suppressed,2011,nsw,4455.04604739007,3671.95926224662,5665.01891658163
suppressed,2012,nsw,5347.86217365975,4414.67905690762,6350.5794552885
