stage,year,population,value,lower,upper
pldhiv,1980,all,1.0,1.0,1.0
pldhiv,1981,all,1.979576163624081,1.9688928752298238,1.9902594520183332
pldhiv,1982,all,3.01508000077709,2.871291917854081,3.1600468053784088
pldhiv,1983,all,8.888465015339351,8.678059050469958,9.101056008889731
pldhiv,1984,all,280.6864863389578,280.15379641374824,281.2259933626568
pldhiv,1985,all,1335.9121915138044,1326.0538369031958,1345.7827601363851
pldhiv,1986,all,2338.59896217438,2294.9300480221855,2382.3785864861215
pldhiv,1987,all,3395.489836269038,3315.6363799259284,3475.912598997467
pldhiv,1988,all,4186.221828882152,4063.750095465365,4310.049566255538
pldhiv,1989,all,4861.149333720435,4701.612683271406,5023.129491082465
pldhiv,1990,all,5265.169874403329,5067.7300617192495,5466.824123848348
pldhiv,1991,all,5494.868557901643,5261.372113452765,5735.000833899299
pldhiv,1992,all,5650.374567239862,5385.084420742649,5924.959112224603
pldhiv,1993,all,5667.401110881445,5373.60270561166,5973.213007320763
pldhiv,1994,all,5513.469935676662,5196.45869684857,5845.434046995162
pldhiv,1995,all,5416.323415332763,5082.492799270072,5768.090886644098
pldhiv,1996,all,5311.062697801572,4958.0927258288575,5684.698842654577
pldhiv,1997,all,5241.470589468368,4872.2481891838415,5633.829079259258
pldhiv,1998,all,5333.40603447283,4949.395990516968,5742.586429259098
pldhiv,1999,all,5494.20332167502,5094.842590956667,5920.795523844566
pldhiv,2000,all,5619.802737867085,5202.62646531692,6066.530732050996
pldhiv,2001,all,5739.570735657357,5304.138211061569,6207.257805162175
pldhiv,2002,all,5948.142404518901,5493.373329829802,6438.073177960681
pldhiv,2003,all,6155.658221319277,5678.217119572214,6671.220648255054
pldhiv,2004,all,6374.553160210273,5872.9389637616205,6917.607251198294
pldhiv,2005,all,6597.658109769289,6009.168381410628,7205.160150481098
pldhiv,2006,all,6844.250021559795,6172.1534541094,7513.797959646893
pldhiv,2007,all,7105.588025214618,6354.106084226539,7833.353186819313
pldhiv,2008,all,7277.464620114268,6448.3567111740285,8066.323350400917
pldhiv,2009,all,7517.043979307753,6615.9405658248825,8363.805631965317
pldhiv,2010,all,7718.576258241291,6742.098168996431,8630.292305592051
pldhiv,2011,all,7949.089949721606,6900.272741972487,8925.183382892783
pldhiv,2012,all,8255.334878074236,7140.234520954732,9288.03805916537
pldhiv,2013,all,8463.346378263828,7277.214360480174,9559.86390721837
pldhiv,2014,all,8723.216893012506,7475.009460830687,9869.763846403166
pldhiv,2015,all,8981.366813894967,7667.9167528089865,10182.521211285532
pldhiv,2016,all,9226.587245103285,7842.8229579241815,10488.940174860207
retained,2013,all,8040.179059350637,6651.37392547888,9445.14554033175
retained,2014,all,8287.056048361881,6832.158647199249,9751.326680246328
retained,2015,all,8532.298473200219,7008.475912067414,10060.330956750106
retained,2016,all,8765.25788284812,7168.340183542702,10363.072892761884
