stage,year,population,value,lower,upper
infected,1980,all,323.7949881988709,183.11209,454.89696583724066
infected,1981,all,485.04405599609737,275.98606611267684,726.6932254520183
infected,1982,all,777.554509114383,170.2127661329447,1444.4732608053785
infected,1983,all,1234.3970180517936,301.5633737640246,2256.23144400889
infected,1984,all,2843.2264687469656,2447.4597949241524,3138.1881673626567
infected,1985,all,6074.1604617889625,4375.227450903196,8370.436816613215
infected,1986,all,7607.942798412777,5563.361110022186,10374.901129605045
infected,1987,all,8623.816836685746,6581.031416925928,11361.5748316533
infected,1988,all,8836.843568544204,7129.880625465365,11232.207654746282
infected,1989,all,8934.945711020444,7451.590870271406,10978.27812776307
infected,1990,all,8697.911031723434,7460.23116071925,10381.144234960915
infected,1991,all,8324.95033908806,7291.310571452765,9743.369097013054
infected,1992,all,8001.627122609554,7093.014973742649,9236.76283202101
infected,1993,all,7658.166473240083,6836.47380061166,8728.667250360453
infected,1994,all,7220.910908835836,6470.52115084857,8220.142335005428
infected,1995,all,6916.618743709885,6222.600341270072,7843.896098958081
infected,1996,all,6647.868027439149,5981.177743828857,7486.198449070619
infected,1997,all,6440.777832459613,5825.358450183841,7206.2901632833955
infected,1998,all,6448.674038746287,5848.969279516968,7174.406118670097
infected,1999,all,6558.063440475072,5961.837254956667,7267.337886794515
infected,2e3,all,6645.5284664961455,6053.29237531692,7348.73891912148
infected,2001,all,6736.445043978998,6144.315685997425,7434.549434127777
infected,2002,all,6930.590545114458,6326.898559435349,7638.766503396135
infected,2003,all,7127.703020239087,6508.610362315847,7833.724530939176
infected,2004,all,7337.539816840539,6688.813932678422,8056.421223022871
infected,2005,all,7553.220048649475,6796.370884215907,8334.243062907362
infected,2006,all,7793.5068782025,6936.314922478269,8650.559008935303
infected,2007,all,8049.73441572461,7099.083002632872,8978.96989990145
infected,2008,all,8209.07073657168,7167.200949466024,9194.928873306171
infected,2009,all,8440.857592209279,7329.239770461661,9479.004437470932
infected,2010,all,8632.966475738991,7452.335392164576,9718.512105418042
infected,2011,all,8855.565246134864,7587.592285224054,10003.546487428297
infected,2012,all,9159.662503928574,7817.798333677584,10381.807583290716
infected,2013,all,9359.40946119106,7920.630200718415,10650.919496851835
infected,2014,all,9615.022569703513,8095.880776485597,10976.376799943013
infected,2015,all,9869.612720571879,8259.814569252765,11348.721507786418
infected,2016,all,10109.944371387684,8398.125850993798,11722.925433956872
