stage,year,population,value,lower,upper
pldhiv,1980,all,0,0,0
pldhiv,1981,all,0.0114001951941124,0.0114001951941124,0.0114001951941124
pldhiv,1982,all,2.0170057422214045,2.016790686850876,2.0172252405604687
pldhiv,1983,all,7.913054566422646,7.844332457228328,7.9817825402650655
pldhiv,1984,all,206.68403983400512,206.27541777806633,207.09438475343813
pldhiv,1985,all,831.2882638196,824.0309085720744,838.5517609973145
pldhiv,1986,all,1372.7134693572025,1345.2331269895792,1400.272100036002
pldhiv,1987,all,2022.3638227452357,1974.9768027592131,2070.11859268882
pldhiv,1988,all,2584.901868417421,2511.6387460979836,2659.00555525075
pldhiv,1989,all,3034.001362476738,2935.7337185697534,3133.7715658216975
pldhiv,1990,all,3274.175421155753,3151.3277871746723,3399.6369194446966
pldhiv,1991,all,3438.7315935645934,3293.7084923762864,3587.90202444346
pldhiv,1992,all,3614.349605254454,3448.7381082717557,3785.787217561848
pldhiv,1993,all,3705.7753044128076,3519.4136315608985,3899.6896094184817
pldhiv,1994,all,3642.578749882991,3438.1011416118395,3856.513421666648
pldhiv,1995,all,3639.011720696078,3421.6395119699205,3867.8196125779896
pldhiv,1996,all,3590.3031140913263,3357.477364764505,3836.3889475401065
pldhiv,1997,all,3563.699224433993,3318.5665325394493,3823.7753329334855
pldhiv,1998,all,3625.970753512554,3369.7632819617284,3898.515946818519
pldhiv,1999,all,3761.941091887609,3495.106003557385,4046.5303993433654
pldhiv,2000,all,3866.216406023856,3586.1449937553457,4165.631913220696
pldhiv,2001,all,3965.794395464409,3672.3255013503303,4280.468049053624
pldhiv,2002,all,4120.026204504811,3812.3605675443114,4450.909910488931
pldhiv,2003,all,4284.081369703545,3960.139473470432,4633.300540350282
pldhiv,2004,all,4435.179477553785,4093.4701677553385,4804.479466329186
pldhiv,2005,all,4618.952798272692,4215.461714033909,5033.83034985116
pldhiv,2006,all,4798.845260796226,4334.667592505736,5258.76110237945
pldhiv,2007,all,4992.780240895448,4471.6235414507055,5494.316553407013
pldhiv,2008,all,5135.664792114984,4558.620095561995,5681.025172225942
pldhiv,2009,all,5317.007558546747,4687.416815511493,5904.539121391129
pldhiv,2010,all,5482.118774954433,4797.750530045508,6116.671832530513
pldhiv,2011,all,5686.621369350514,4949.03672550998,6368.346927484981
pldhiv,2012,all,5942.2213671635745,5154.735421278626,6666.442461575705
pldhiv,2013,all,6100.241412738422,5259.091414476498,6872.418401572681
pldhiv,2014,all,6308.637425526181,5421.495725547194,7117.57502841133
pldhiv,2015,all,6536.914365007369,5600.752658197924,7386.618306024567
pldhiv,2016,all,6740.284647378252,5750.000541462966,7636.820944687351
retained,2013,all,5795.2293421015,4806.80955283152,6789.949380753809
retained,2014,all,5993.205554249871,4955.247093150135,7032.164128070394
retained,2015,all,6210.068646757,5119.087929592903,7297.978886352272
retained,2016,all,6403.270415009339,5255.500494897151,7545.179093351102
