year,pldhiv,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1.9902594520183332,0.0,0.7994475510302242,0.0,0.0,0.041400933072812125,0.010635837463112278
1982,3.1600468053784088,0.0,0.0,0.0,0.0,0.06470640746522326,0.005715610976545503
1983,9.101056008889731,0.0,1.355394945426105,0.0,0.0,0.18351218457791643,0.1499088231161765
1984,281.2259933626568,4.486064339345048,10.184405741228252,0.0,0.0,5.586080645085211,2.693026652076445
1985,1345.7827601363851,60.36577349203453,45.58276925899888,0.0,0.0,26.342577444114973,11.215229610803952
1986,2382.3785864861215,125.69405655795373,105.72826542225692,0.0,0.0,45.969799070536936,16.292201838986752
1987,3475.912598997467,509.06012483484744,151.12506489937897,0.0,0.0,66.13791728323753,19.39500677960282
1988,4310.049566255538,216.99505733891544,182.79477186589125,0.0,0.0,80.89464020417289,22.187177736225664
1989,5023.129491082465,147.41784083923372,311.56401607503744,0.0,0.0,93.02476921782258,25.941648368769734
1990,5466.824123848348,97.65823031002803,394.3387533686768,0.0,0.0,99.92455412687478,28.613779743429834
1991,5735.000833899299,137.17376219692568,433.86553526203954,0.0,0.0,103.49160044470491,30.240262411683002
1992,5924.959112224603,33.92484837963561,459.2352883575824,0.0,0.0,105.58659513912168,31.34781842282353
1993,5973.213007320763,37.27203982995951,512.1390123511842,0.0,0.0,105.14689758913936,31.782727690631692
1994,5845.434046995162,74.27577807590875,540.0500671707645,0.0,0.0,101.66690410217149,31.79359963426858
1995,5768.090886644098,23.419788712397587,470.98454897019604,0.0,0.0,99.14594295960539,30.98226723965761
1996,5684.698842654577,18.243819299376426,373.65677152258206,0.0,0.0,96.59006585834166,30.952954991910257
1997,5633.829079259258,50.57588100630642,192.85613284744048,0.0,0.0,94.64759705556038,30.809005970476978
1998,5742.586429259098,47.54792606763645,139.27710806461133,0.0,0.0,95.40913842272954,31.511844434522693
1999,5920.795523844566,2.6165033617132707,126.13692742888756,0.0,0.0,97.3041896126024,32.64413629320029
2000,6066.530732050996,44.46781104528006,128.78555595640697,0.0,0.0,98.63942847164952,33.83665123375901
2001,6207.257805162175,23.684593694523723,117.7748819907813,0.0,0.0,99.87468914959244,35.27938618687519
2002,6438.073177960681,5.814442247994263,105.7281369001367,0.0,0.0,102.52771155461372,36.959019680139384
2003,6671.220648255054,27.555700931015924,98.48785181285972,0.0,0.0,105.17245229649565,38.483769541241244
2004,6917.607251198294,7.436862488646959,34.04908550308447,0.0,0.0,107.9799556913445,40.454061155816234
2005,7205.160150481098,21.872120678583062,29.276480967118225,0.0,0.0,111.3777157658638,42.78035051937382
2006,7513.797959646893,-5.511655379403257,17.750138634344328,0.0,0.0,115.04195347238273,45.251774605282066
2007,7833.353186819313,7.90445532613426,22.318415408451163,0.0,0.0,118.81164474015829,47.412673758611895
2008,8066.323350400917,41.312450028399525,22.005373926760196,0.0,0.0,121.21934557410714,49.26011441173633
2009,8363.805631965317,-4.446886653531576,33.355348060425975,0.0,0.0,124.55286353669749,51.90925785277242
2010,8630.292305592051,-16.485627371085197,32.56756820442985,0.0,0.0,127.37826865191637,54.98546640770918
2011,8925.183382892783,-7.851447749369838,15.885738966919604,0.0,0.0,130.5785338156697,57.71709293082746
2012,9288.03805916537,9.398143875650062,27.239418272080762,0.0,0.0,134.7182493897309,60.48144024343792
2013,9559.86390721837,27.697924528628104,7.159269654499755,0.0,0.0,137.4875191813686,63.33080996549249
2014,9869.763846403166,30.784081944830938,18.07377063195064,0.0,0.0,140.76255613617337,66.51605331733948
2015,10182.521211285532,8.922361666851959,25.39273622001339,0.0,0.0,144.03321651250334,69.0423270273366
2016,10488.940174860207,-4.802589279856255,8.751708088724499,0.0,0.0,147.17109769615828,72.43015352589188
