year,pldhiv,pldhiv_lower,pldhiv_upper,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pnumber,pnumber_lower,pnumber_upper,undiag,undiag_lower,undiag_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,uplower,upupper
1980,1,1,1,192.271681,182.11209,203.38739,99.77989,99.77955,99.78017,453.31829539774185,452.6176003629059,453.89696583724066,322.7949881988709,182.11209,453.89696583724066,323.7949881988709,183.11209,454.89696583724066,99.69116260706734,99.45388641459994,99.78017
1981,1.979576163624081,1.9688928752298238,1.9902594520183332,687.366173,653.087377,724.702966,99.294878,99.286597,99.303079,278.7627866649466,274.017173237447,283.58865867762853,483.0644798324733,274.017173237447,724.702966,485.04405599609737,275.98606611267684,726.6932254520183,99.59187703897149,99.286597,99.72612109452648
1982,3.01508000077709,2.871291917854081,3.1600468053784088,1372.143201,1306.139035,1441.313214,98.324497,98.313116,98.333936,176.93565722721172,167.3414742150906,186.51134669321516,774.5394291136059,167.3414742150906,1441.313214,777.554509114383,170.2127661329447,1444.4732608053785,99.61223554549105,98.31311599999998,99.78123189323586
1983,8.888465015339351,8.678059050469958,9.101056008889731,2148.260551,2054.440684,2247.130388,97.147888,97.12231,97.168539,302.7565550729086,292.88531471355464,312.32509144254,1225.5085530364543,292.88531471355464,2247.130388,1234.3970180517936,301.5633737640246,2256.23144400889,99.27993466564205,97.12230999999998,99.59662577910363
1984,280.6864863389578,280.15379641374824,281.2259933626568,2737.505218,2621.180737,2856.962174,89.480547,88.553283,90.306489,2387.5747468160152,2167.305998510404,2619.951849863155,2562.5399824080077,2167.305998510404,2856.962174,2843.2264687469656,2447.4597949241524,3138.1881673626567,90.12788853001011,88.553283,91.03858728780435
1985,1335.9121915138044,1326.0538369031958,1345.7827601363851,3180.657443,3049.173614,3312.915575,82.495339,80.986923,83.922192,6295.839097550317,5648.376640095324,7024.65405647683,4738.248270275159,3049.173614,7024.65405647683,6074.1604617889625,4375.227450903196,8370.436816613215,78.00663647400005,69.69177370128601,83.92219200000001
1986,2338.59896217438,2294.9300480221855,2382.3785864861215,3414.126523,3268.431062,3556.406475,75.287336,73.223623,77.037096,7124.561149476794,6275.79648463078,7992.522543118923,5269.343836238397,3268.431062,7992.522543118923,7607.942798412777,5563.361110022186,10374.901129605045,69.26108641796998,58.74921647836314,77.037096
1987,3395.489836269038,3315.6363799259284,3475.912598997467,3429.739655,3265.395037,3583.239984,67.421242,64.906171,69.406419,7026.9143458334165,6132.282169873606,7885.662232655834,5228.327000416708,3265.395037,7885.662232655834,8623.816836685746,6581.031416925928,11361.5748316533,60.62660072017517,49.618286711132306,69.406419
1988,4186.221828882152,4063.750095465365,4310.049566255538,3259.281316,3066.13053,3407.101885,59.0717,56.05153,61.627761,6041.962163324103,5182.874634509001,6922.158088490744,4650.621739662051,3066.13053,6922.158088490744,8836.843568544204,7129.880625465365,11232.207654746282,52.62763455739437,43.00395323659258,61.627761
1989,4861.149333720435,4701.612683271406,5023.129491082465,2960.27251,2749.978187,3109.807822,51.622988,48.299237,54.244833,5187.320244600019,4392.281507944702,5955.148636680604,4073.796377300009,2749.978187,5955.148636680604,8934.945711020444,7451.590870271406,10978.27812776307,45.5939689960886,36.90457829577322,54.24483300000001
1990,5265.169874403329,5067.7300617192495,5466.824123848348,2597.238999,2392.501099,2751.980389,44.771408,41.363845,47.338906,4268.243315640208,3574.9411054458715,4914.320111112567,3432.741157320104,2392.501099,4914.320111112567,8697.911031723434,7460.23116071925,10381.144234960915,39.46627120925987,32.07006656304918,47.338906
1991,5494.868557901643,5261.372113452765,5735.000833899299,2223.131054,2029.938458,2377.501588,38.480414,35.196077,41.139448,3437.032508372832,2857.5377763894985,4008.3682631137544,2830.0817811864163,2029.938458,4008.3682631137544,8324.95033908806,7291.310571452765,9743.369097013054,33.995179141169885,27.840515612483955,41.139447999999994
1992,5650.374567239862,5385.084420742649,5924.959112224603,1890.933944,1707.930553,2030.038594,33.22606,30.189936,35.854593,2811.5711667393844,2328.8240219464287,3311.8037197964068,2351.2525553696923,1707.930553,3311.8037197964068,8001.627122609554,7093.014973742649,9236.76283202101,29.384680382393064,24.079049026718824,35.854593
1993,5667.401110881445,5373.60270561166,5973.213007320763,1623.873803,1462.871095,1762.959397,29.37869,26.607633,31.567869,2357.6569217172773,1948.1433086729858,2755.4542430396905,1990.7653623586386,1462.871095,2755.4542430396905,7658.166473240083,6836.47380061166,8728.667250360453,25.995326287499317,21.398035561390092,31.567869
1994,5513.469935676662,5196.45869684857,5845.434046995162,1415.950888,1274.062454,1540.642125,26.608418,24.072358,28.888895,1998.931058318347,1647.5029486988715,2374.708288010266,1707.4409731591736,1274.062454,2374.708288010266,7220.910908835836,6470.52115084857,8220.142335005428,23.645783679035162,19.69026024793867,28.888894999999998
1995,5416.323415332763,5082.492799270072,5768.090886644098,1259.468519,1140.107542,1369.000621,24.326027,21.81907,26.463956,1741.1221377542442,1418.4439371822464,2075.8052123139832,1500.2953283771221,1140.107542,2075.8052123139832,6916.618743709885,6222.600341270072,7843.896098958081,21.69116708567349,18.322043510306766,26.463956000000003
1996,5311.062697801572,4958.0927258288575,5684.698842654577,1146.038892,1023.085018,1241.72003,22.33738,19.834364,24.064278,1527.5717672751553,1226.7178404203241,1801.4996064160423,1336.8053296375776,1023.085018,1801.4996064160423,6647.868027439149,5981.177743828857,7486.198449070619,20.10878260699368,17.105076321391362,24.064278
1997,5241.470589468368,4872.2481891838415,5633.829079259258,1067.192302,953.110261,1151.88511,20.256259,17.909714,21.820674,1331.4221839824886,1062.9829162161832,1572.4610840241376,1199.3072429912443,953.110261,1572.4610840241376,6440.777832459613,5825.358450183841,7206.2901632833955,18.620534261360344,16.361401090604492,21.820674
1998,5333.40603447283,4949.395990516968,5742.586429259098,1014.747133,899.573289,1111.023336,18.563944,16.308416,19.957327,1215.7888755469157,964.4555032210019,1431.8196894109997,1115.2680042734578,899.573289,1431.8196894109997,6448.674038746287,5848.969279516968,7174.406118670097,17.294532140599273,15.380031010767945,19.957327000000003
1999,5494.20332167502,5094.842590956667,5920.795523844566,981.319728,866.994664,1074.637693,17.263498,15.109801,18.528688,1146.4005096001047,906.8427048413405,1346.5423629499492,1063.8601188000523,866.994664,1346.5423629499492,6558.063440475072,5961.837254956667,7267.337886794515,16.222168761499283,14.542407431185433,18.528688000000006
2e3,5619.802737867085,5202.62646531692,6066.530732050996,960.430745,850.66591,1053.422776,16.257628,14.261994,17.448003,1091.0207122581214,865.4251585066149,1282.2081870704833,1025.7257286290608,850.66591,1282.2081870704833,6645.5284664961455,6053.29237531692,7348.73891912148,15.434825594387599,14.052946021056243,17.448003
2001,5739.570735657357,5304.138211061569,6207.257805162175,947.879211,849.143723,1038.150817,15.413435,13.674061,16.507949,1045.8694056432823,840.1774749358565,1227.2916289656023,996.8743083216411,840.1774749358565,1227.2916289656023,6736.445043978998,6144.315685997425,7434.549434127777,14.798225203553654,13.674061000000002,16.507949000000004
2002,5948.142404518901,5493.373329829802,6438.073177960681,941.342118,857.75416,1023.475781,14.681565,13.17431,15.718419,1023.5541631911146,833.5252296055469,1200.6933254354535,982.4481405955573,833.5252296055469,1200.6933254354535,6930.590545114458,6326.898559435349,7638.766503396135,14.17553286693742,13.174309999999997,15.718418999999997
2003,6155.658221319277,5678.217119572214,6671.220648255054,938.914053,858.522252,1009.779344,14.03713,12.75838,14.839734,1005.1755448396207,830.393242743633,1162.503882684122,972.0447989198103,830.393242743633,1162.503882684122,7127.703020239087,6508.610362315847,7833.724530939176,13.637560321462505,12.758380000000008,14.839734000000007
2004,6374.553160210273,5872.9389637616205,6917.607251198294,939.044362,868.759443,1007.467886,13.406661,12.197603,14.135482,986.9289512605328,815.8749689168017,1138.8139718245775,962.9866566302665,815.8749689168017,1138.8139718245775,7337.539816840539,6688.813932678422,8056.421223022871,13.12410808892779,12.197603000000008,14.135481999999996
2005,6597.658109769289,6009.168381410628,7205.160150481098,940.474172,859.183292,1009.272213,12.825188,11.582689,13.547516,970.649705760372,787.2025028052785,1129.0829124262646,955.561938880186,787.2025028052785,1129.0829124262646,7553.220048649475,6796.370884215907,8334.243062907362,12.651053891261139,11.582688999999998,13.547515999999995
2006,6844.250021559795,6172.1534541094,7513.797959646893,942.181168,852.251131,1010.869972,12.259758,11.016822,13.140897,956.3325452854106,764.1614683688695,1136.7610492884096,949.2568566427053,764.1614683688695,1136.7610492884096,7793.5068782025,6936.314922478269,8650.559008935303,12.180099042417766,11.016822000000007,13.140897000000008
2007,7105.588025214618,6354.106084226539,7833.353186819313,943.334282,837.740186,1022.516597,11.737818,10.493988,12.758888,944.9584990199837,744.9769184063334,1145.6167130821377,944.1463905099919,744.9769184063334,1145.6167130821377,8049.73441572461,7099.083002632872,8978.96989990145,11.728913548572063,10.493988000000002,12.758887999999994
2008,7277.464620114268,6448.3567111740285,8066.323350400917,942.577109,838.595917,1028.923884,11.22986,10.029637,12.274217,920.6351239148262,718.8442382919957,1128.6055229052545,931.606116457413,718.8442382919957,1128.6055229052545,8209.07073657168,7167.200949466024,9194.928873306171,11.34849663686143,10.029637000000001,12.274217
2009,7517.043979307753,6615.9405658248825,8363.805631965317,940.716191,856.098478,1028.945735,10.765858,9.73224,11.764936,906.9110348030499,713.2992046367781,1115.1988055056154,923.813612901525,713.2992046367781,1115.1988055056154,8440.857592209279,7329.239770461661,9479.004437470932,10.944546840290068,9.732240000000003,11.764936
2010,7718.576258241291,6742.098168996431,8630.292305592051,939.110629,861.776305,1020.225363,10.335088,9.530398,11.197391,889.6698059953987,710.2372231681447,1088.2197998259908,914.3902174976994,710.2372231681447,1088.2197998259908,8632.966475738991,7452.335392164576,9718.512105418042,10.591842561504057,9.530397999999998,11.197391000000005
2011,7949.089949721606,6900.272741972487,8925.183382892783,938.0542,857.374631,1015.202147,9.914979,9.058467,10.779808,874.8963928265139,687.3195432515668,1078.3631045355141,906.475296413257,687.3195432515668,1078.3631045355141,8855.565246134864,7587.592285224054,10003.546487428297,10.236221756808815,9.058467,10.779807999999996
2012,8255.334878074236,7140.234520954732,9288.03805916537,937.392857,847.708301,1026.896524,9.54641,8.666939,10.535444,871.2623947086759,677.5638127228522,1093.769524125346,904.327625854338,677.5638127228522,1093.769524125346,9159.662503928574,7817.798333677584,10381.807583290716,9.87293609853499,8.666938999999994,10.535443999999991
2013,8463.346378263828,7277.214360480174,9559.86390721837,936.898468,832.918023,1031.102965,9.177667,8.123291,10.243769,855.2276978544633,643.4158402382409,1091.0555896334645,896.0630829272316,643.4158402382409,1091.0555896334645,9359.40946119106,7920.630200718415,10650.919496851835,9.573927571421802,8.123291,10.243769000000002
2014,8723.216893012506,7475.009460830687,9869.763846403166,936.418908,810.966175,1071.749422,8.852207,7.668978,10.081769,847.1924453820138,620.8713156549102,1106.6129535398468,891.805676691007,620.8713156549102,1106.6129535398468,9615.022569703513,8095.880776485597,10976.376799943013,9.275128271680245,7.668978000000006,10.081769000000001
2015,8981.366813894967,7667.9167528089865,10182.521211285532,935.906458,775.82141,1130.780431,8.558231,7.165994,10.27605,840.5853553538218,591.8978164437785,1166.200296500887,888.2459066769109,591.8978164437785,1166.200296500887,9869.612720571879,8259.814569252765,11348.721507786418,8.999805076702573,7.165993999999995,10.276050000000005
2016,9226.587245103285,7842.8229579241815,10488.940174860207,935.400141,730.050375,1210.064116,8.265284,6.612224,10.526257,831.3141115687995,555.3028930696164,1233.9852590966657,883.3571262843998,555.3028930696164,1233.9852590966657,10109.944371387684,8398.125850993798,11722.925433956872,8.737507288214195,6.612224000000003,10.526257000000001
