year,population,diagnoses,diagnoses_lower,diagnoses_upper,undiag,undiag_lower,undiag_upper,undiag_percent,uplower,upupper,infections,infections_lower,infections_upper,start_plhiv,start_plhiv_lower,start_plhiv_upper,deaths,deaths_lower,deaths_upper,ydf,ydf_lower,ydf_upper,cdr,cdr_lower,cdr_upper,ipr,ipr_lower,ipr_upper,imr,imr_lower,imr_upper,pldhiv,pldhiv_lower,pldhiv_upper,plhiv,plhiv_lower,plhiv_upper,tdf_predict,tdf_predict_lower,tdf_predict_upper,ydf_predict,ydf_predict_lower,ydf_predict_upper,cdr_predict,cdr_predict_lower,cdr_predict_upper
2008,MSM-Aus,452.5161939,444.9567143,457.3963643,1022.712471,935.5530129,1091.864529,9.351098386,7.653701278,11.29316561,519.216316,503.081665,535.93434,10614.34912,9406.565853,11833.30346,106.179935,76.56695084,144.1232525,0.306743087,0.289530559,0.328365389,0.87153693,0.830244829,0.909189096,0.048916454,0.042514051,0.056974495,4.889966414,3.490634968,6.999551819,9914.104025,8732.812502,11131.67254,10936.8165,9668.365515,12223.53707,0.904999495,0.895734608,0.914264321,0.323204845,0.307413012,0.338996708,0.896355391,0.852295041,0.94041574
2009,MSM-Aus,478.8402064,475.21568,484.2769959,1008.37229,923.0982716,1087.327785,8.918963607,7.293229335,10.895102,521.945553,505.333097,540.5246,10936.8165,9668.365515,12223.53707,77.93932803,52.72292714,112.1145599,0.321971613,0.304129575,0.344099408,0.917414093,0.879174935,0.958332234,0.047723719,0.041340988,0.055906513,6.696818746,4.507292341,10.25217357,10297.5634,9056.870565,11569.59316,11305.93569,9979.968837,12656.92095,0.91018939,0.902027965,0.918350875,0.329319328,0.315364271,0.343274385,0.9276191,0.888106048,0.967132092
2010,MSM-Aus,495.8805219,491.2681787,499.8492823,988.2219241,909.9466073,1077.031396,8.459355947,6.944499391,10.45621399,519.338896,501.401782,539.969326,11305.93569,9979.968837,12656.92095,115.8209267,86.90039737,151.1284073,0.334128229,0.31324894,0.354554362,0.954830315,0.909807567,0.996903681,0.045935065,0.039614831,0.054105312,4.483981531,3.317720281,6.213657731,10693.77763,9390.448896,12026.09607,11681.99956,10300.3955,13103.12747,0.915409148,0.908286035,0.92253226,0.335549474,0.323305726,0.347793221,0.959973216,0.924803376,0.995143116
2011,MSM-Aus,506.5239944,501.7454662,512.6962601,960.8339196,879.3087959,1052.818386,7.954322387,6.484035378,9.90018928,511.011862,492.817168,532.034753,11681.99956,10300.3955,13103.12747,89.22416534,63.05956524,123.0681292,0.345194577,0.322756422,0.368314941,0.991217684,0.943068969,1.040337661,0.043743527,0.037610652,0.051651876,5.727280945,4.004425608,8.437019046,11118.55981,9755.017038,12508.31669,12079.39373,10634.32583,13561.13507,0.920658767,0.914466143,0.926851392,0.341897458,0.331115246,0.3526797,0.993455827,0.962046802,1.024864912
2012,MSM-Aus,558.1178439,552.441382,565.6188829,931.7682053,849.9144097,1040.074806,7.451374003,6.045604796,9.455555833,496.885211,478.368265,519.028167,12079.39373,10634.32583,13561.13507,75.6065175,51.23673907,108.3707795,0.374604383,0.34689844,0.399580063,1.123232955,1.064376497,1.182392153,0.041134946,0.035274943,0.048806871,6.571989128,4.414181268,10.13,11572.88134,10149.70131,13018.31039,12504.64954,10999.61572,14058.3852,0.925938487,0.920501113,0.931375861,0.348365575,0.338604748,0.358126372,1.028106332,0.999273717,1.056938887
2013,MSM-Aus,479.8861843,474.8527452,485.2995056,891.5794626,814.9707004,1002.17661,6.950153372,5.643572531,8.893965533,476.907451,458.781031,500.48616,12504.64954,10999.61572,14058.3852,93.2134002,65.89456306,128.4219144,0.34990755,0.321491745,0.373229736,1.006245936,0.94878297,1.057802029,0.03813841,0.032633978,0.045500331,5.11629712,3.572451268,7.595257283,11936.61892,10453.08073,13438.51138,12828.19838,11268.05143,14440.68799,0.931248546,0.926296949,0.936200082,0.354956031,0.345545024,0.364367038,1.063965321,1.035755754,1.092174888
2014,MSM-Aus,544.3611684,537.8647557,550.2843682,850.8905363,775.7105843,949.7731489,6.442320256,5.215845484,8.198479458,451.027089,435.991802,475.721249,12828.19838,11268.05143,14440.68799,132.6795784,100.5494717,171.0985915,0.390152663,0.361556232,0.414997332,1.206936749,1.130630084,1.262143842,0.035159036,0.0301919,0.042218591,3.399370833,2.54819048,4.731215799,12356.93681,10809.03698,13922.41942,13207.82734,11584.74756,14872.19257,0.936589003,0.931757867,0.941420138,0.36167118,0.35177815,0.371564209,1.101075053,1.070940495,1.131209493
2015,MSM-Aus,451.8933882,447.630243,455.381416,797.191617,703.8834758,915.0828578,5.879091005,4.602305299,7.716008679,419.192632,403.84085,446.393474,13207.82734,11584.74756,14872.19257,62.78583215,38.35912783,98.67520064,0.361779532,0.328484582,0.392819121,1.0780089,1.00277058,1.127625935,0.031738197,0.02715409,0.038532862,6.676548159,4.092627604,11.63721647,12762.58516,11155.65292,14379.06714,13559.77678,11859.5364,15294.15,0.941960096,0.936844766,0.947075427,0.368513346,0.357330441,0.37969628,1.139479041,1.104829907,1.174128294
2016,MSM-Aus,446.6279004,442.0056194,451.6353715,736.6791202,625.4538815,877.4102315,5.323250113,3.995791912,7.276187722,381.352589,362.425757,410.077865,13559.77678,11859.5364,15294.15,101.9583634,71.26439249,141.6782507,0.377440421,0.335000992,0.419311,1.171167873,1.077857785,1.246145901,0.02812381,0.023697019,0.0345779,3.740277659,2.558090286,5.754316436,13102.21826,11433.19915,14775.40391,13838.89738,12058.65303,15652.81414,0.947362006,0.941605568,0.953118443,0.375484973,0.362364888,0.388605058,1.179222584,1.137868643,1.220576644
2017,MSM-Aus,395.9,392,401,666.360224,542.9854683,827.2925177,4.744931096,3.407168001,6.78720096,337.455467,312.639116,374.396868,13838.89738,12058.65303,15652.81414,129.9249323,96.13362452,171.0409891,0.372695872,0.321497913,0.424794675,1.173191839,1.047017306,1.282629011,0.024384563,0.019973349,0.031047984,2.597311085,1.827860782,3.89454647,13377.26255,11646.02326,15109.27029,14043.62277,12189.00873,15936.5628,0.952794909,0.946132243,0.959457517,0.382588506,0.367055476,0.398121506,1.220352411,1.170562983,1.27014184
