"year","erp","permanent","resident","visitor","overall","rate_permanent","rate_resident","rate_vistor","overall_rate"
1981,15054117,19850,46730,19020,85600,0.00131857617421201,0.00310413423783009,0.0012634417548369,0.005686152166879
1982,15288891,22500,46900,22970,92370,0.00147165677353577,0.00306758678572566,0.00150239804836073,0.00604164160762216
1983,15483496,25870,48180,26450,100500,0.00167081129481352,0.00311170035501026,0.0017082705352848,0.00649078218510858
1984,15677282,22330,50780,23270,96380,0.00142435404300312,0.00323908187656508,0.00148431341606281,0.00614774933563101
1985,15900566,18610,51020,23790,93420,0.00117039858832698,0.00320869081012588,0.00149617315509398,0.00587526255354684
1986,16138769,18810,48350,25260,92420,0.00116551640338864,0.00299589144624351,0.00156517513820292,0.00572658298783507
1987,16394641,20430,49970,27380,97780,0.00124613890599983,0.00304794719201232,0.0016700579170962,0.00596414401510835
1988,16687082,20340,54140,30340,104820,0.00121890693651532,0.00324442583790264,0.00181817288367133,0.00628150565808929
1989,16936723,24850,59230,35990,120070,0.00146722597990178,0.00349713459917837,0.0021249683306505,0.00708932890973065
1990,17169768,30370,66310,40800,137480,0.00176880666063746,0.00386202073318638,0.00237626973177506,0.0080070971255989
1991,17378981,29890,66150,47680,143720,0.0017198937037793,0.00380632213131483,0.00274354405474061,0.00826975988983474
1992,17557133,28140,66990,48550,143680,0.0016027673766554,0.00381554323248562,0.0027652578584442,0.00818356846758523
1993,17719090,28070,64300,48050,140420,0.0015841671327365,0.00362885452921115,0.002711764543213,0.00792478620516065
1994,17893433,27030,66380,48310,141720,0.00151061006571517,0.00370974088650289,0.0026998731881132,0.00792022414033126
1995,18119616,27870,69100,52390,149360,0.00153811206595107,0.00381354660054606,0.00289134162666582,0.00824300029316295
1996,18330079,28500,70970,58830,158300,0.00155482144948748,0.00387177818491672,0.00320947880257363,0.00863607843697782
1997,18510004,30340,77190,69060,176590,0.00163911363822504,0.00417017738083687,0.00373095543361309,0.009540246452675
1998,18705620,33440,81070,65140,179650,0.00178769802872078,0.00433399160252373,0.00348237588489449,0.009604065516139
1999,18919210,38250,83450,64010,185710,0.00202175460814696,0.00441086070718598,0.0033833336592807,0.00981594897461363
2000,19141036,43840,88100,74220,206160,0.0022903671462715,0.00460267667852461,0.00387753306560836,0.0107705768904045
2001,19386461,47600,93470,75080,216150,0.00245532178358907,0.00482140603176619,0.00387280587209806,0.0111495336874533
2002,19605441,49070,89980,83880,222930,0.00250287662491244,0.00458954226023276,0.00427840414301316,0.0113708230281584
2003,19827155,54110,83980,86790,224880,0.00272908543863202,0.00423560515868263,0.00437732998001983,0.0113420205773345
2004,20046003,61850,92930,95210,249990,0.00308540311003645,0.00463583687980093,0.00474957526445546,0.0124708152542928
2005,20311543,64400,104090,95300,263790,0.00317061091813655,0.00512467221224897,0.0046919133617766,0.0129871964921621
2006,20627547,69400,110010,96790,276200,0.00336443300795776,0.00533315958509269,0.00469226903227999,0.0133898616253304
2007,21016121,38650,175960,104890,319500,0.00183906440203689,0.00837262023757857,0.00499093053375549,0.015202615173371
2008,21475625,0,246610,124280,370890,0,0.0114832513605541,0.00578702598876633,0.0172702773493205
2009,21865623,0,246450,159170,405620,0,0.011271117223598,0.00727946329267636,0.0185505805162743
2010,22172469,0,251980,179720,431700,0,0.0113645440207854,0.00810554746970218,0.0194700914904876
2011,22522197,0,257820,187860,445680,0,0.011447373451178,0.00834110455565236,0.0197884780068303
2012,22928023,0,256350,189290,445640,0,0.0111806412615689,0.0082558361006529,0.0194364773622218
2013,23297777,0,260410,188020,448430,0,0.0111774612659397,0.00807029786575775,0.0192477591316974
2014,23640331,0,257580,185580,443160,0,0.0108957865268469,0.0078501438918093,0.0187459304186562
2015,23984581,0,270600,192650,463250,0,0.0112822483744869,0.00803224371524356,0.0193144920897305
2016,24389684,0,282160,202160,484320,0,0.0115688255739599,0.00828875027655135,0.0198575758505112
2017,24775564,0,297350,217840,515190,0,0.0120017449451403,0.00879253445047709,0.0207942793956174
