"year","state","arrivals","departures"
"1982","nsw",68553,85128
"1983","nsw",60685,74867
"1984","nsw",69833,78098
"1985","nsw",70914,83146
"1986","nsw",73236,82381
"1987","nsw",78360,89155
"1988","nsw",81485,104770
"1989","nsw",79474,121949
"1990","nsw",79248,107171
"1991","nsw",83933,96317
"1992","nsw",92948,108704
"1993","nsw",82550,97321
"1994","nsw",82343,94700
"1995","nsw",86636,101077
"1996","nsw",92965,107344
"1997","nsw",94327,105045
"1998","nsw",91429,103392
"1999","nsw",91387,105289
"2000","nsw",96797,111505
"2001","nsw",94431,113953
"2002","nsw",94729,125803
"2003","nsw",91508,123454
"2004","nsw",87191,115119
"2005","nsw",82329,108813
"2006","nsw",80263,105808
"2007","nsw",85398,108312
"2008","nsw",86227,107754
"2009","nsw",85185,97876
"2010","nsw",83675,94524
"2011","nsw",83278,99239
"2012","nsw",79030,95828
"2013","nsw",87162,98381
"2014","nsw",85240,90812
"2015","nsw",88930,97679
"2016","nsw",94314,107136
"1982","vic",49816,58573
"1983","vic",45330,49247
"1984","vic",46421,49823
"1985","vic",48859,59149
"1986","vic",50111,63406
"1987","vic",55327,69192
"1988","vic",60764,72663
"1989","vic",60223,71790
"1990","vic",57059,66112
"1991","vic",49887,68342
"1992","vic",57047,78058
"1993","vic",50347,79065
"1994","vic",50117,74867
"1995","vic",56980,75185
"1996","vic",63767,73748
"1997","vic",67083,69724
"1998","vic",67479,66085
"1999","vic",68870,64987
"2000","vic",72634,67714
"2001","vic",72886,67782
"2002","vic",75316,74172
"2003","vic",72672,74893
"2004","vic",67745,70328
"2005","vic",63553,67124
"2006","vic",63677,64290
"2007","vic",66053,68611
"2008","vic",67201,67426
"2009","vic",65585,62993
"2010","vic",64101,60970
"2011","vic",67374,64002
"2012","vic",65178,62843
"2013","vic",72303,64775
"2014","vic",70875,61539
"2015","vic",76013,62964
"2016","vic",85331,67344
"1982","qld",77416,49917
"1983","qld",61046,48117
"1984","qld",61372,50103
"1985","qld",68909,54692
"1986","qld",72712,55705
"1987","qld",84480,61609
"1988","qld",98662,64401
"1989","qld",114178,65206
"1990","qld",100154,67605
"1991","qld",95713,64750
"1992","qld",111713,71289
"1993","qld",110500,61684
"1994","qld",107589,65770
"1995","qld",111679,73207
"1996","qld",109399,82596
"1997","qld",97250,79106
"1998","qld",93440,78007
"1999","qld",94210,77177
"2000","qld",100445,80078
"2001","qld",102011,79334
"2002","qld",118873,81436
"2003","qld",116804,80451
"2004","qld",109590,77238
"2005","qld",102330,73189
"2006","qld",97471,73318
"2007","qld",100712,78759
"2008","qld",98362,80846
"2009","qld",89919,79928
"2010","qld",84335,78951
"2011","qld",89121,80079
"2012","qld",86759,76535
"2013","qld",90670,83773
"2014","qld",84225,78627
"2015","qld",88721,80395
"2016","qld",97741,83089
"1982","sa",22465,25168
"1983","sa",21435,20607
"1984","sa",20979,22194
"1985","sa",22682,24581
"1986","sa",22386,25385
"1987","sa",24352,26083
"1988","sa",27994,29237
"1989","sa",28479,28539
"1990","sa",28046,27531
"1991","sa",26756,26113
"1992","sa",27865,30488
"1993","sa",24397,29058
"1994","sa",24247,29501
"1995","sa",25053,32898
"1996","sa",29339,33958
"1997","sa",29201,31666
"1998","sa",28621,30102
"1999","sa",28094,30298
"2000","sa",28319,31988
"2001","sa",28661,30213
"2002","sa",30254,31482
"2003","sa",28659,30311
"2004","sa",25453,28972
"2005","sa",23706,27072
"2006","sa",23109,25702
"2007","sa",23449,27113
"2008","sa",22082,27002
"2009","sa",21556,24607
"2010","sa",20984,24022
