"year","state","erp","arrivals","departures","nom","grouping","depart_rate"
2004,"nsw",6669206,128980,83010,45970,"Total",0.0124467590294857
2004,"vic",4957147,84780,45710,39080,"Total",0.00922102975764084
2004,"qld",3872351,67110,41170,25930,"Total",0.0106317841538642
2004,"sa",1532562,16290,8900,7390,"Total",0.0058072691349518
2004,"wa",1994241,39840,22950,16890,"Total",0.0115081376824566
2004,"tas",484778,3430,2140,1290,"Total",0.00441439174219952
2004,"nt",203857,4980,3750,1230,"Total",0.0183952476490873
2004,"act",329498,5610,4580,1020,"Total",0.0138999326247807
2004,"all",20046003,351010,212220,138800,"Total",0.0105866491190289
2005,"nsw",6718023,130480,79680,50810,"Total",0.0118606322127805
2005,"vic",5023203,85370,45200,40170,"Total",0.00899824275467267
2005,"qld",3964175,70280,40480,29800,"Total",0.0102114563559883
2005,"sa",1544852,19000,8480,10520,"Total",0.00548919896533778
2005,"wa",2029936,44160,21580,22570,"Total",0.0106308770325764
2005,"tas",488098,3250,2020,1230,"Total",0.00413851316743769
2005,"nt",207385,3990,2870,1120,"Total",0.0138389951057212
2005,"act",333505,5660,4690,970,"Total",0.0140627576797949
2005,"all",20311543,362180,205000,157180,"Total",0.0100927832021427
2006,"nsw",6786160,140230,78210,62030,"Total",0.0115249272047815
2006,"vic",5103965,97900,45550,52350,"Total",0.00892443423887115
2006,"qld",4055845,78060,39670,38390,"Total",0.00978094577085663
2006,"sa",1561300,22320,8900,13420,"Total",0.00570037789021969
2006,"wa",2076867,49990,21920,28070,"Total",0.0105543590417682
2006,"tas",491515,3410,2030,1390,"Total",0.00413008758634019
2006,"nt",211029,4090,3750,340,"Total",0.0177700695165119
2006,"act",338381,6140,4640,1500,"Total",0.0137123538260127
2006,"all",20627547,402140,204650,197490,"Total",0.00992119906453249
2007,"nsw",6883852,157740,80850,76900,"Total",0.0117448777225309
2007,"vic",5199503,114620,48150,66470,"Total",0.00926050047475691
2007,"qld",4159990,91950,44270,47680,"Total",0.0106418525044531
2007,"sa",1578489,23490,9660,13830,"Total",0.0061197765711386
2007,"wa",2135006,58170,23740,34430,"Total",0.011119406690192
2007,"tas",495858,3530,2060,1470,"Total",0.00415441517531229
2007,"nt",216618,4500,3130,1380,"Total",0.0144493994035583
2007,"act",344176,6580,4700,1880,"Total",0.0136558040072521
2007,"all",21016121,460580,216550,244030,"Total",0.0103039947286181
2008,"nsw",7001782,178560,82130,96430,"Total",0.0117298710528263
2008,"vic",5313285,133000,49770,83230,"Total",0.00936708646345905
2008,"qld",4275551,106900,44060,62840,"Total",0.0103051045350646
2008,"sa",1597880,27160,9540,17620,"Total",0.00597041079430245
2008,"wa",2208928,72850,24660,48190,"Total",0.0111637862347709
2008,"tas",501774,4270,2180,2090,"Total",0.00434458541096191
2008,"nt",222526,5190,3220,1970,"Total",0.0144702192103395
2008,"act",351101,8040,4710,3330,"Total",0.0134149432784299
2008,"all",21475625,535970,220280,315690,"Total",0.0102572102092489
2009,"nsw",7101504,155060,84900,70160,"Total",0.011955213994106
2009,"vic",5419249,123840,51750,72090,"Total",0.00954929363828826
2009,"qld",4367454,94200,46880,47330,"Total",0.0107339424754102
2009,"sa",1618578,26810,9630,17170,"Total",0.00594966692986066
2009,"wa",2263747,60960,28120,32840,"Total",0.01242188283408
2009,"tas",506461,4110,2180,1930,"Total",0.00430437881692766
2009,"nt",227783,5230,3540,1690,"Total",0.0155411071063249
2009,"act",357859,8560,4890,3670,"Total",0.0136645997445921
2009,"all",21865623,478790,231890,246900,"Total",0.0106052317832426
2010,"nsw",7179891,141230,91180,50040,"Total",0.0126993571350874
2010,"vic",5495711,102810,59600,43210,"Total",0.0108448206246653
2010,"qld",4436882,82310,50640,31670,"Total",0.0114134205056614
2010,"sa",1632482,21910,11010,10890,"Total",0.0067443316373473
2010,"wa",2319063,60980,29080,31900,"Total",0.0125395472223049
2010,"tas",510219,3740,2510,1230,"Total",0.00491945615510202
2010,"nt",230299,4590,3510,1090,"Total",0.0152410561921676
2010,"act",364833,7550,5550,2000,"Total",0.0152124396641751
2010,"all",22172469,425120,253080,172040,"Total",0.0114141550947709
2011,"nsw",7258722,141580,87410,54170,"Total",0.0120420647050541
2011,"vic",5591818,109070,58010,51060,"Total",0.0103740858518643
2011,"qld",4518649,88960,48040,40920,"Total",0.0106314962724478
2011,"sa",1647183,20980,10540,10430,"Total",0.00639880329022337
2011,"wa",2385947,70680,27400,43280,"Total",0.0114839097431754
2011,"tas",511739,3580,2330,1250,"Total",0.00455310226502182
2011,"nt",232952,5710,3640,2070,"Total",0.0156255365912291
2011,"act",372070,8460,5410,3050,"Total",0.0145402746794958
2011,"all",22522197,449020,242780,206240,"Total",0.0107795877995384
2012,"nsw",7353189,144960,81820,63140,"Total",0.0111271449707059
2012,"vic",5709586,115990,57230,58750,"Total",0.0100234938224943
2012,"qld",4611304,94890,47630,47260,"Total",0.0103289655160449
2012,"sa",1663082,22740,10860,11870,"Total",0.00653004482039972
2012,"wa",2457489,79310,29350,49970,"Total",0.0119430849944801
2012,"tas",511813,3860,2280,1580,"Total",0.00445475202857294
2012,"nt",238728,7490,3370,4120,"Total",0.0141164840320365
2012,"act",379812,9120,5560,3560,"Total",0.0146388213115963
2012,"all",22928023,478350,238110,240250,"Total",0.0103851082145198
2013,"nsw",7454938,157160,89570,67580,"Total",0.0120148551201901
2013,"vic",5832585,121650,63150,58500,"Total",0.0108271032483881
2013,"qld",4685439,88570,55110,33460,"Total",0.0117619715036307
2013,"sa",1678052,23700,11570,12130,"Total",0.0068948995621113
2013,"wa",2502188,67450,38390,29060,"Total",0.0153425721808273
2013,"tas",513015,4150,2360,1790,"Total",0.00460025535315732
2013,"nt",242304,7250,4060,3190,"Total",0.0167558108821976
2013,"act",386318,8750,6110,2650,"Total",0.0158159857940867
2013,"all",23297777,478680,270310,208380,"Total",0.0116023945117167
2014,"nsw",7562171,156990,88640,68350,"Total",0.0117215016692958
