"year","state","arrivals","departures","nom","grouping","erp","depart_rate"
2004,"nsw",23630,36060,-12430,"australian",6669206,0.00540694049636493
2004,"vic",15760,23150,-7390,"australian",4957147,0.00467002491554114
2004,"qld",14170,18730,-4560,"australian",3872351,0.00483685492353353
2004,"sa",3510,4980,-1470,"australian",1532562,0.00324946070697303
2004,"wa",7690,10580,-2890,"australian",1994241,0.00530527654380789
2004,"tas",930,1280,-350,"australian",484778,0.00264038384580158
2004,"nt",730,920,-190,"australian",203857,0.00451296742324276
2004,"act",1700,2860,-1160,"australian",329498,0.00867987059102028
2004,"all",68130,98550,-30420,"australian",20046003,0.00491619202092307
2004,"nsw",128980,83010,45970,"total",6669206,0.0124467590294857
2004,"vic",84780,45710,39070,"total",4957147,0.00922102975764084
2004,"qld",67110,41170,25940,"total",3872351,0.0106317841538642
2004,"sa",16290,8900,7390,"total",1532562,0.0058072691349518
2004,"wa",39840,22950,16890,"total",1994241,0.0115081376824566
2004,"tas",3430,2140,1290,"total",484778,0.00441439174219952
2004,"nt",4980,3750,1230,"total",203857,0.0183952476490873
2004,"act",5610,4580,1030,"total",329498,0.0138999326247807
2004,"all",351010,212220,138790,"total",20046003,0.0105866491190289
2005,"nsw",25110,33620,-8510,"australian",6718023,0.00500444848134637
2005,"vic",17460,20970,-3510,"australian",5023203,0.00417462722490013
2005,"qld",14580,17390,-2810,"australian",3964175,0.00438678918059874
2005,"sa",3750,4380,-630,"australian",1544852,0.00283522305049286
2005,"wa",8530,9530,-1000,"australian",2029936,0.00469472929195797
2005,"tas",1040,1140,-100,"australian",488098,0.00233559654003909
2005,"nt",600,860,-260,"australian",207385,0.00414687658220218
2005,"act",1890,2790,-900,"australian",333505,0.00836569166879057
2005,"all",72960,90660,-17700,"australian",20311543,0.00446347182978664
2005,"nsw",130480,79680,50800,"total",6718023,0.0118606322127805
2005,"vic",85370,45200,40170,"total",5023203,0.00899824275467267
2005,"qld",70280,40480,29800,"total",3964175,0.0102114563559883
2005,"sa",19000,8480,10520,"total",1544852,0.00548919896533778
2005,"wa",44160,21580,22580,"total",2029936,0.0106308770325764
2005,"tas",3250,2020,1230,"total",488098,0.00413851316743769
2005,"nt",3990,2870,1120,"total",207385,0.0138389951057212
2005,"act",5660,4690,970,"total",333505,0.0140627576797949
2005,"all",362180,205000,157180,"total",20311543,0.0100927832021427
2006,"nsw",26530,34470,-7940,"australian",6786160,0.00507945583363787
2006,"vic",17530,21830,-4300,"australian",5103965,0.00427706694697162
2006,"qld",15870,17040,-1170,"australian",4055845,0.00420134398627166
2006,"sa",3970,4280,-310,"australian",1561300,0.00274130532248767
2006,"wa",8480,9580,-1100,"australian",2076867,0.00461271713595526
2006,"tas",980,1070,-90,"australian",491515,0.00217694271792316
2006,"nt",680,840,-160,"australian",211029,0.00398049557169868
2006,"act",1970,2690,-720,"australian",338381,0.00794961892068408
2006,"all",76010,91800,-15790,"australian",20627547,0.00445035951196718
2006,"nsw",140230,78210,62020,"total",6786160,0.0115249272047815
2006,"vic",97900,45550,52350,"total",5103965,0.00892443423887115
2006,"qld",78060,39670,38390,"total",4055845,0.00978094577085663
2006,"sa",22320,8900,13420,"total",1561300,0.00570037789021969
2006,"wa",49990,21920,28070,"total",2076867,0.0105543590417682
2006,"tas",3410,2030,1380,"total",491515,0.00413008758634019
