"year","male < 15 yrs","male 15-19 yrs","male 20-24 yrs","male 25-29 yrs","male 30-34 yrs","male > 34 yrs","male all","female < 15 yrs","female 15-19 yrs","female 20-24 yrs","female 25-29 yrs","female 30-34 yrs","female > 34 yrs","female all"
2005,65,2178,5859,3475,2062,2856,16509,403,7437,9429,3697,1744,1411,24131
2006,76,2539,6703,4042,2258,3387,19014,382,8606,10784,4325,1974,1792,27871
2007,87,3033,7684,4503,2267,3687,21266,466,9897,11947,5030,2095,2073,31528
2008,63,3711,8282,5126,2464,4113,23771,511,11275,13060,5532,2202,2341,34936
2009,81,4081,9400,5376,2554,4338,25856,502,12099,13724,5984,2296,2387,37012
2010,102,5315,10957,6526,3014,5237,31175,616,14674,16028,6574,2604,2766,43303
2011,104,5501,12278,7123,3228,5417,33694,631,16263,17713,7231,2871,2934,47706
2012,105,5455,12359,7473,3712,6012,35149,667,15676,18243,7411,3059,3134,48256
2013,83,5100,12075,7998,3815,6155,35233,626,14595,18179,7916,3255,3330,47919
2014,72,4929,12484,8426,4199,6700,36812,604,14010,19013,8592,3558,3553,49334
