stage,region,context,sex,proportion,source,reference
notifications,urban,all,all,0.69,notifications data,
notifications,regional,all,all,0.26,notifications data,
notifications,remote,all,all,0.05,notifications data,
diagnoses,all,shc,all,0.14,(Bourne et al. 2013),"Bourne C, et al. What proportion of sexually transmissible infections and HIV are diagnosed in New South Wales' public sexual health services compared with other services? Sexual Health. 2013;10(2):119-23."
diagnoses,all,gp,all,0.81,(Grulich et al. 2003),"Grulich A, et al. Sex in Australia: sexually transmissible infection and blood-borne virus history in a representative sample of adults. Australian and New Zealand Journal of Public Health. 2003;27(2):234-41"
diagnoses,all,other,all,0.05,(Grulich et al. 2003) ‘Alternative practitioner’ & ‘other’,"Grulich A, et al. Sex in Australia: sexually transmissible infection and blood-borne virus history in a representative sample of adults. Australian and New Zealand Journal of Public Health. 2003;27(2):234-41"
treated,urban,all,all,0.99,(Foster et al. 2014),"Foster et al. Does being in a regional area impact on the timeliness of treatment?  Australian Sexual Health Conference. 2014; Sydney, NSW: Australasian Society for HIV Medicine; 6."
treated,regional,all,all,1,(Foster et al. 2014),"Foster et al. Does being in a regional area impact on the timeliness of treatment?  Australian Sexual Health Conference. 2014; Sydney, NSW: Australasian Society for HIV Medicine; 6."
treated,remote,shc,all,0.96,(Foster et al. 2014),"Foster et al. Does being in a regional area impact on the timeliness of treatment?  Australian Sexual Health Conference. 2014; Sydney, NSW: Australasian Society for HIV Medicine; 6."
treated,remote,phc,all,0.85,(Guy et al. 2012),"Guy R, et al. The impact of sexually transmissible infection programs in remote Aboriginal communities in Australia: a systematic review. Sexual Health. 2012;9 (3):205-12."
retested,urban,shc,males,0.22,ACCESS,
retested,regional,shc,males,0.17,ACCESS,
retested,urban,gp,males,0.29,ACCESS,
retested,regional,gp,males,0.2,ACCESS,
retested,remote,phc,males,0.2,STRIVE,
retested,urban,shc,females,0.22,ACCESS,
retested,regional,shc,females,0.17,ACCESS,
retested,urban,gp,females,0.29,ACCESS,
retested,regional,gp,females,0.2,ACCESS,
retested,remote,phc,females,0.2,STRIVE,
positive,urban,shc,males,0.23,ACCESS,
positive,regional,shc,males,0.22,ACCESS,
positive,urban,gp,males,0.04,ACCESS,
positive,regional,gp,males,0.11,ACCESS,
positive,remote,phc,males,0.05,STRIVE,
positive,urban,shc,females,0.23,ACCESS,
positive,regional,shc,females,0.22,ACCESS,
positive,urban,gp,females,0.04,ACCESS,
positive,regional,gp,females,0.11,ACCESS,
positive,remote,phc,females,0.05,STRIVE,
